FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PIIND,25-Mar-2021,0.0,XX,2225.5,2260.0,2125.0,2182.6,2182.6,228.0,1263.5,27000.0,27000.0,26-Feb-2021,,,N,,,,,
FUTSTK,PIIND,29-Apr-2021,0.0,XX,2259.65,2259.65,2149.65,2180.05,2180.05,3.0,16.54,500.0,500.0,26-Feb-2021,,,N,,,,,
FUTSTK,PIIND,27-May-2021,0.0,XX,0.0,0.0,0.0,2237.3,2200.75,0.0,0.0,0.0,0.0,26-Feb-2021,,,N,,,,,
FUTSTK,PIIND,25-Mar-2021,0.0,XX,2170.0,2199.0,2156.75,2191.35,2191.35,247.0,1350.38,60250.0,33250.0,01-Mar-2021,,,N,,,,,
FUTSTK,PIIND,29-Apr-2021,0.0,XX,2195.2,2195.2,2195.2,2195.2,2187.9,1.0,5.48,750.0,250.0,01-Mar-2021,,,N,,,,,
FUTSTK,PIIND,27-May-2021,0.0,XX,0.0,0.0,0.0,2237.3,2194.2,0.0,0.0,0.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,PIIND,25-Mar-2021,0.0,XX,2195.25,2335.2,2192.0,2290.25,2290.25,1638.0,9359.22,215750.0,155500.0,02-Mar-2021,,,N,,,,,
FUTSTK,PIIND,29-Apr-2021,0.0,XX,2224.0,2345.75,2203.0,2310.0,2288.8,30.0,172.37,4750.0,4000.0,02-Mar-2021,,,N,,,,,
FUTSTK,PIIND,27-May-2021,0.0,XX,0.0,0.0,0.0,2237.3,2295.35,0.0,0.0,0.0,0.0,02-Mar-2021,,,N,,,,,
FUTSTK,PIIND,25-Mar-2021,0.0,XX,2298.85,2344.65,2285.0,2294.1,2294.1,531.0,3069.32,219500.0,3750.0,03-Mar-2021,,,N,,,,,
FUTSTK,PIIND,29-Apr-2021,0.0,XX,2311.15,2330.7,2288.8,2293.1,2293.1,9.0,51.94,5750.0,1000.0,03-Mar-2021,,,N,,,,,
FUTSTK,PIIND,27-May-2021,0.0,XX,0.0,0.0,0.0,2237.3,2299.15,0.0,0.0,0.0,0.0,03-Mar-2021,,,N,,,,,
FUTSTK,PIIND,25-Mar-2021,0.0,XX,2252.0,2342.85,2240.0,2274.35,2274.35,683.0,3904.25,237750.0,18250.0,04-Mar-2021,,,N,,,,,
FUTSTK,PIIND,29-Apr-2021,0.0,XX,2275.0,2275.0,2252.9,2252.9,2281.2,16.0,90.72,7750.0,2000.0,04-Mar-2021,,,N,,,,,
