FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,PNB,28-Jan-2021,0.0,XX,33.35,35.15,33.3,35.0,35.0,9559.0,52819.56,92880000.0,58592000.0,01-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Feb-2021,0.0,XX,33.7,35.25,33.5,35.15,35.15,351.0,1950.96,5168000.0,3296000.0,01-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Mar-2021,0.0,XX,34.1,35.45,34.0,35.3,35.3,18.0,100.39,224000.0,224000.0,01-Jan-2021,,,N,,,,
FUTSTK,PNB,28-Jan-2021,0.0,XX,35.6,35.95,34.2,35.8,35.8,10524.0,59463.9,116272000.0,23392000.0,04-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Feb-2021,0.0,XX,35.95,36.15,34.45,35.95,35.95,480.0,2718.32,7616000.0,2448000.0,04-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Mar-2021,0.0,XX,35.8,36.2,34.7,36.1,36.1,66.0,375.33,880000.0,656000.0,04-Jan-2021,,,N,,,,
FUTSTK,PNB,28-Jan-2021,0.0,XX,35.3,35.95,34.9,35.8,35.8,6146.0,34966.28,119920000.0,3648000.0,05-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Feb-2021,0.0,XX,35.25,36.05,35.15,35.95,35.95,299.0,1706.75,9072000.0,1456000.0,05-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Mar-2021,0.0,XX,35.9,36.2,35.55,36.0,35.95,65.0,372.96,1600000.0,720000.0,05-Jan-2021,,,N,,,,
FUTSTK,PNB,28-Jan-2021,0.0,XX,35.9,36.55,34.9,35.45,35.45,9750.0,56039.53,126864000.0,6944000.0,06-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Feb-2021,0.0,XX,35.85,36.7,35.1,35.55,35.55,356.0,2050.3,10720000.0,1648000.0,06-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Mar-2021,0.0,XX,36.05,36.8,35.4,35.75,35.75,41.0,237.33,1840000.0,240000.0,06-Jan-2021,,,N,,,,
FUTSTK,PNB,28-Jan-2021,0.0,XX,35.7,36.1,35.55,35.7,35.7,4314.0,24696.49,132080000.0,5216000.0,07-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Feb-2021,0.0,XX,36.15,36.25,35.7,35.85,35.85,191.0,1098.21,11168000.0,448000.0,07-Jan-2021,,,N,,,,
FUTSTK,PNB,25-Mar-2021,0.0,XX,36.05,36.3,35.95,36.15,36.15,27.0,155.8,2144000.0,304000.0,07-Jan-2021,,,N,,,,
FUTSTK,PNB,28-Jan-2021,0.0,XX,36.6,36.6,35.25,35.6,35.6,3829.0,21865.66,135600000.0,3520000.0,08-Jan-2021,,,N,,,,
