FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,1860.0,1929.35,1804.2,1905.1,1905.75,1889.15,1905.1,1049.0,648582902.5,187200.0,187200.0,325.0,29-Nov-2024,,1893.9,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,1916.2,1919.95,1889.95,1919.3,1919.3,1902.7,1919.3,12.0,7426558.75,1950.0,1950.0,325.0,29-Nov-2024,,1893.9,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,1916.8,1920.15,1904.05,1919.95,1919.95,1913.4,1919.95,10.0,6229340.0,2275.0,2275.0,325.0,29-Nov-2024,,1893.9,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,1891.1,2013.4,1858.95,1979.15,2006.1,1905.1,1979.15,1259.0,792642678.75,364000.0,176800.0,325.0,02-Dec-2024,,1946.2,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,0.0,0.0,0.0,1919.3,1919.3,1919.3,1919.3,0.0,0.0,1950.0,0.0,325.0,02-Dec-2024,,1946.2,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,1879.1,1937.45,1879.1,1937.45,1937.45,1919.95,1937.45,2.0,1240378.75,2925.0,650.0,325.0,02-Dec-2024,,1946.2,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2019.95,2020.0,1885.55,1937.1,1939.0,1979.15,1937.1,3838.0,2429965021.25,759525.0,395525.0,325.0,03-Dec-2024,,1926.25,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2024.95,2024.95,1908.0,1943.2,1949.4,1919.3,1943.2,16.0,10194535.0,2925.0,975.0,325.0,03-Dec-2024,,1926.25,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2005.0,2005.0,1998.5,1998.5,1998.5,1937.45,1998.5,2.0,1301137.5,3250.0,325.0,325.0,03-Dec-2024,,1926.25,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,1930.0,2029.65,1925.0,2014.25,2002.15,1937.1,2014.25,3219.0,2090904757.5,1039675.0,280150.0,325.0,04-Dec-2024,,2004.7,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,1942.0,2036.95,1934.55,2022.75,2024.35,1943.2,2022.75,44.0,28732080.0,7800.0,4875.0,325.0,04-Dec-2024,,2004.7,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,1994.0,2026.9,1994.0,2026.9,2026.9,1998.5,2026.9,4.0,2617046.25,3900.0,650.0,325.0,04-Dec-2024,,2004.7,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2008.85,2049.0,1991.15,2031.8,2032.25,2014.25,2031.8,2040.0,1336344652.5,1158950.0,119275.0,325.0,05-Dec-2024,,2017.4,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2011.35,2050.0,2001.7,2039.85,2047.3,2022.75,2039.85,27.0,17728360.0,7800.0,0.0,325.0,05-Dec-2024,,2017.4,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,0.0,0.0,0.0,2026.9,2026.9,2026.9,2026.9,0.0,0.0,3900.0,0.0,325.0,05-Dec-2024,,2017.4,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2040.0,2150.8,2019.0,2144.3,2136.0,2031.8,2144.3,4188.0,2864729400.0,1380275.0,221325.0,325.0,06-Dec-2024,,2142.3,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2084.0,2159.4,2062.1,2153.45,2145.0,2039.85,2153.45,46.0,31806498.75,12025.0,4225.0,325.0,06-Dec-2024,,2142.3,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2102.0,2152.0,2102.0,2152.0,2152.0,2026.9,2152.0,13.0,9040135.0,5525.0,1625.0,325.0,06-Dec-2024,,2142.3,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2120.15,2198.4,2107.0,2139.65,2145.9,2144.3,2139.65,3696.0,2586614355.0,1621750.0,241475.0,325.0,09-Dec-2024,,2131.15,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2138.75,2203.0,2109.95,2143.05,2145.85,2153.45,2143.05,172.0,121163282.5,33475.0,21450.0,325.0,09-Dec-2024,,2131.15,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2170.0,2200.6,2125.4,2125.4,2125.4,2152.0,2125.4,25.0,17569175.0,6500.0,975.0,325.0,09-Dec-2024,,2131.15,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2125.15,2195.1,2058.0,2178.6,2184.0,2139.65,2178.6,4962.0,3449120593.75,1967550.0,345800.0,325.0,10-Dec-2024,,2172.65,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2114.1,2197.35,2066.6,2183.95,2185.0,2143.05,2183.95,180.0,125203178.75,42250.0,8775.0,325.0,10-Dec-2024,,2172.65,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2109.0,2190.4,2080.0,2190.4,2190.4,2125.4,2190.4,8.0,5539023.75,6500.0,0.0,325.0,10-Dec-2024,,2172.65,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2190.0,2195.3,2136.85,2166.65,2160.5,2178.6,2166.65,2471.0,1731615015.0,1940900.0,-26650.0,325.0,11-Dec-2024,,2165.1,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2184.1,2184.3,2144.55,2178.05,2173.0,2183.95,2178.05,62.0,43633882.5,44525.0,2275.0,325.0,11-Dec-2024,,2165.1,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2191.0,2191.0,2154.3,2173.0,2173.0,2190.4,2173.0,7.0,4942177.5,6825.0,325.0,325.0,11-Dec-2024,,2165.1,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2153.35,2195.0,2134.45,2146.3,2142.0,2166.65,2146.3,1966.0,1381407381.25,1975025.0,34125.0,325.0,12-Dec-2024,,2139.95,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2169.95,2199.75,2148.0,2157.0,2155.0,2178.05,2157.0,61.0,43042772.5,39975.0,-4550.0,325.0,12-Dec-2024,,2139.95,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2164.75,2180.0,2164.75,2180.0,2180.0,2173.0,2180.0,2.0,1412043.75,6825.0,0.0,325.0,12-Dec-2024,,2139.95,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2123.2,2153.55,2096.25,2109.25,2102.75,2146.3,2109.25,1695.0,1164769255.0,2038075.0,63050.0,325.0,13-Dec-2024,,2104.0,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2155.0,2155.0,2105.4,2118.55,2110.0,2157.0,2118.55,56.0,38590532.5,43225.0,3250.0,325.0,13-Dec-2024,,2104.0,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2131.0,2131.0,2130.8,2130.85,2130.85,2180.0,2130.85,3.0,2077611.25,7475.0,650.0,325.0,13-Dec-2024,,2104.0,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2096.8,2132.75,2080.45,2121.95,2128.0,2109.25,2121.95,2323.0,1590703123.75,2065375.0,27300.0,325.0,16-Dec-2024,,2108.75,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2110.0,2146.45,2094.0,2132.8,2143.05,2118.55,2132.8,159.0,109640456.25,67925.0,24700.0,325.0,16-Dec-2024,,2108.75,
FUTSTK,POLICYBZR,27-Feb-2025,,XX,N,2124.8,2150.4,2105.6,2137.4,2150.4,2130.85,2137.4,9.0,6205485.0,8775.0,1300.0,325.0,16-Dec-2024,,2108.75,
FUTSTK,POLICYBZR,26-Dec-2024,,XX,N,2119.85,2188.0,2115.7,2139.75,2140.0,2121.95,2139.75,2890.0,2023503998.75,2187900.0,122525.0,325.0,17-Dec-2024,,2133.4,
FUTSTK,POLICYBZR,30-Jan-2025,,XX,N,2132.0,2200.55,2132.0,2151.05,2157.25,2132.8,2151.05,359.0,252819108.75,115050.0,47125.0,325.0,17-Dec-2024,,2133.4,
