FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,1872.7,1916.9,1864.5,1903.95,1903.95,533.0,3030.65,67200.0,67200.0,27-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,1895.05,1916.0,1895.0,1914.6,1914.6,24.0,137.02,4800.0,4800.0,27-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,0.0,0.0,0.0,1874.95,1912.3,0.0,0.0,0.0,0.0,27-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,1920.95,2055.0,1913.0,2043.55,2043.55,3613.0,21864.86,384300.0,317100.0,30-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,1929.95,2059.0,1929.95,2049.1,2049.1,32.0,191.24,8400.0,3600.0,30-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,2042.0,2042.0,2041.0,2041.0,2052.25,6.0,36.75,1200.0,1200.0,30-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,2062.95,2134.0,2042.1,2077.45,2077.45,2756.0,17331.5,422700.0,38400.0,31-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,2094.2,2134.65,2055.35,2084.25,2084.25,32.0,201.29,13200.0,4800.0,31-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,2110.0,2110.05,2100.0,2103.4,2103.4,10.0,63.25,1800.0,600.0,31-Aug-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,2088.85,2174.0,2035.3,2138.25,2138.25,3545.0,22514.11,477300.0,54600.0,01-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,2109.9,2178.0,2045.0,2144.7,2144.7,42.0,267.36,16200.0,3000.0,01-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,0.0,0.0,0.0,2103.4,2145.75,0.0,0.0,1800.0,0.0,01-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,2140.0,2222.8,2122.3,2214.05,2214.05,2605.0,17070.18,413700.0,-63600.0,02-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,2157.2,2229.8,2144.75,2216.1,2216.1,72.0,471.55,18600.0,2400.0,02-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,2160.0,2188.55,2160.0,2188.55,2231.45,2.0,13.04,2100.0,300.0,02-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,2221.8,2254.35,2204.0,2231.9,2231.9,1467.0,9821.88,389700.0,-24000.0,03-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,28-Oct-2021,0.0,XX,2225.5,2260.25,2218.45,2245.1,2245.1,36.0,242.06,19800.0,1200.0,03-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,25-Nov-2021,0.0,XX,2234.25,2234.25,2234.25,2234.25,2251.7,1.0,6.7,2400.0,300.0,03-Sep-2021,,,N,,,,,
FUTSTK,POLYCAB,30-Sep-2021,0.0,XX,2236.2,2374.0,2210.1,2327.95,2327.95,3136.0,21790.92,439800.0,50100.0,06-Sep-2021,,,N,,,,,
