FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,189.6,190.8,189.4,190.6,190.6,857.0,6519.1,17340000.0,584000.0,01-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,190.0,190.65,189.95,190.6,190.7,10.0,76.11,132000.0,12000.0,01-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,0.0,0.0,0.0,191.5,191.35,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,190.8,191.3,189.0,189.45,189.45,1330.0,10093.45,18272000.0,932000.0,04-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,191.0,191.5,189.2,189.25,189.6,60.0,455.3,276000.0,144000.0,04-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,189.15,189.15,189.15,189.15,190.2,1.0,7.56,4000.0,4000.0,04-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,189.55,189.75,187.25,188.6,188.6,1345.0,10123.99,19052000.0,780000.0,05-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,187.7,188.7,187.7,188.45,188.45,130.0,978.01,580000.0,304000.0,05-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,187.6,187.6,187.45,187.45,189.75,2.0,15.0,12000.0,8000.0,05-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,188.1,198.45,187.2,197.0,197.0,5867.0,45654.53,21416000.0,2364000.0,06-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,188.15,198.05,188.1,196.95,196.95,329.0,2531.85,1424000.0,844000.0,06-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,187.45,196.0,187.45,196.0,197.95,8.0,61.46,20000.0,8000.0,06-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,198.1,202.25,196.5,197.6,197.6,5447.0,43483.65,19392000.0,-2024000.0,07-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,198.0,202.1,196.75,197.6,197.6,102.0,814.46,1524000.0,100000.0,07-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,199.0,201.0,198.0,198.0,198.8,9.0,71.75,52000.0,32000.0,07-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,198.4,204.3,197.75,203.8,203.8,3966.0,32117.54,17964000.0,-1428000.0,08-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,198.3,204.15,198.3,203.65,203.65,97.0,785.02,1600000.0,76000.0,08-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,198.0,203.2,198.0,200.85,205.35,11.0,88.14,64000.0,12000.0,08-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,28-Jan-2021,0.0,XX,204.85,205.75,201.65,203.6,203.6,2127.0,17342.56,17356000.0,-608000.0,11-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Feb-2021,0.0,XX,205.0,205.25,201.95,203.85,203.85,47.0,383.39,1624000.0,24000.0,11-Jan-2021,,,N,,,,,
FUTSTK,POWERGRID,25-Mar-2021,0.0,XX,202.0,202.0,202.0,202.0,205.3,1.0,8.08,60000.0,-4000.0,11-Jan-2021,,,N,,,,,
