FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,POWERINDIA,28-Oct-2025,0.0,FF,,,,,,,,,,,,,,30-Sep-2025,2025-09-29T18:30:00.000+00:00,18001.0,
FUTSTK,POWERINDIA,25-Nov-2025,0.0,FF,,,,,,,,,,,,,,30-Sep-2025,2025-09-29T18:30:00.000+00:00,18001.0,
FUTSTK,POWERINDIA,30-Dec-2025,0.0,FF,,,,,,,,,,,,,,30-Sep-2025,2025-09-29T18:30:00.000+00:00,18001.0,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,18026.0,18340.0,17683.0,18254.0,18330.0,18084.0,18254.0,195.0,176970400.0,5650.0,5650.0,50.0,01-Oct-2025,,18135.0,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18169.0,18415.0,18169.0,18348.0,18281.0,18171.0,18348.0,4.0,3656750.0,100.0,100.0,50.0,01-Oct-2025,,18135.0,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,01-Oct-2025,,18135.0,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,18490.0,18620.0,18160.0,18290.0,18210.0,18254.0,18290.0,380.0,348752350.0,13500.0,7850.0,50.0,03-Oct-2025,,18223.0,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18348.0,18411.0,18245.0,18403.0,18411.0,18348.0,18403.0,6.0,5497750.0,200.0,100.0,50.0,03-Oct-2025,,18223.0,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,03-Oct-2025,,18223.0,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,18241.0,18492.0,18241.0,18305.0,18320.0,18290.0,18305.0,370.0,340306600.0,19550.0,6050.0,50.0,06-Oct-2025,,18203.0,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18416.0,18515.0,18315.0,18338.0,18315.0,18403.0,18338.0,10.0,9205850.0,250.0,50.0,50.0,06-Oct-2025,,18203.0,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,06-Oct-2025,,18203.0,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,18371.0,18601.0,17525.0,17643.0,17735.0,18305.0,17643.0,1018.0,914298250.0,31050.0,11500.0,50.0,07-Oct-2025,,17546.95,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18424.0,18495.0,17700.0,17700.0,17700.0,18338.0,17700.0,25.0,22458100.0,850.0,600.0,50.0,07-Oct-2025,,17546.95,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,07-Oct-2025,,17546.95,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17450.0,18299.0,17450.0,17871.0,17879.0,17643.0,17871.0,1192.0,1068848700.0,55750.0,24700.0,50.0,08-Oct-2025,,17793.45,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18088.0,18088.0,17893.0,17893.0,17893.0,17700.0,17893.0,21.0,18914350.0,650.0,-200.0,50.0,08-Oct-2025,,17793.45,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,08-Oct-2025,,17793.45,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17655.0,18063.0,17628.0,17840.0,17852.0,17871.0,17840.0,333.0,295956200.0,57200.0,1450.0,50.0,09-Oct-2025,,17730.05,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,17888.0,17952.0,17746.0,17883.0,17952.0,17893.0,17883.0,11.0,9820400.0,800.0,150.0,50.0,09-Oct-2025,,17730.05,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,09-Oct-2025,,17730.05,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17552.0,18087.0,17552.0,17716.0,17730.0,17840.0,17716.0,336.0,299808750.0,60200.0,3000.0,50.0,10-Oct-2025,,17644.8,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,17878.0,17878.0,17758.0,17766.0,17780.0,17883.0,17766.0,6.0,5346600.0,950.0,150.0,50.0,10-Oct-2025,,17644.8,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,10-Oct-2025,,17644.8,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17860.0,17889.0,17387.0,17850.0,17822.0,17716.0,17850.0,664.0,586785950.0,66750.0,6550.0,50.0,13-Oct-2025,,17785.95,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,17594.0,17933.0,17500.0,17882.0,17882.0,17766.0,17882.0,17.0,15089900.0,1050.0,100.0,50.0,13-Oct-2025,,17785.95,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,13-Oct-2025,,17785.95,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17909.0,18020.0,17312.0,17506.0,17459.0,17850.0,17506.0,712.0,625564350.0,70600.0,3850.0,50.0,14-Oct-2025,,17452.0,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,18000.0,18021.0,17409.0,17553.0,17567.0,17882.0,17553.0,24.0,21261650.0,1550.0,500.0,50.0,14-Oct-2025,,17452.0,
FUTSTK,POWERINDIA,30-Dec-2025,,XX,N,0.0,0.0,0.0,18278.0,0.0,18278.0,18278.0,0.0,0.0,0.0,0.0,50.0,14-Oct-2025,,17452.0,
FUTSTK,POWERINDIA,28-Oct-2025,,XX,N,17562.0,17594.0,17138.0,17536.0,17460.0,17506.0,17536.0,782.0,680291600.0,79550.0,8950.0,50.0,15-Oct-2025,,17487.8,
FUTSTK,POWERINDIA,25-Nov-2025,,XX,N,17524.0,17598.0,17269.0,17584.0,17575.0,17553.0,17584.0,30.0,26140000.0,2200.0,650.0,50.0,15-Oct-2025,,17487.8,
