FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,875.0,882.9,834.45,844.45,846.55,856.0,844.45,2132.0,1045657653.75,591675.0,591675,575,31-Dec-2025,,842.15,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,879.95,879.95,840.4,844.8,846.7,860.0,844.8,100.0,48897396.25,38525.0,38525,575,31-Dec-2025,,842.15,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,865.0,865.0,839.5,839.5,839.5,864.9,839.5,9.0,4447452.5,4600.0,4600,575,31-Dec-2025,,842.15,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,846.0,855.5,845.55,852.05,851.5,844.45,852.05,525.0,257335327.5,642275.0,50600,575,01-Jan-2026,,847.2,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,846.7,858.35,846.7,853.85,853.35,844.8,853.85,70.0,34496981.25,71875.0,33350,575,01-Jan-2026,,847.2,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,858.75,858.75,858.75,858.75,858.75,839.5,858.75,1.0,493781.25,5175.0,575,575,01-Jan-2026,,847.2,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,852.2,858.1,848.55,850.5,850.65,852.05,850.5,956.0,469144713.75,825700.0,183425,575,02-Jan-2026,,845.95,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,855.0,861.0,852.95,854.85,853.5,853.85,854.85,60.0,29556811.25,81650.0,9775,575,02-Jan-2026,,845.95,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,860.0,861.65,857.6,857.85,857.6,858.75,857.85,10.0,4942671.25,10925.0,5750,575,02-Jan-2026,,845.95,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,848.35,852.0,766.35,789.65,788.0,850.5,789.65,6247.0,2840749090.0,2074025.0,1248325,575,05-Jan-2026,,787.75,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,851.0,852.35,769.4,786.75,785.0,854.85,786.75,1120.0,506538890.0,250125.0,168475,575,05-Jan-2026,,787.75,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,817.2,817.2,772.1,787.3,787.0,857.85,787.3,165.0,74598976.25,66700.0,55775,575,05-Jan-2026,,787.75,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,795.0,795.0,744.15,763.75,763.95,789.65,763.75,4521.0,1987148250.0,2940550.0,866525,575,06-Jan-2026,,762.1,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,783.7,783.7,740.35,762.75,762.65,786.75,762.75,543.0,237853551.25,364550.0,114425,575,06-Jan-2026,,762.1,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,760.0,772.75,751.0,764.8,765.25,787.3,764.8,78.0,34254705.0,92575.0,25875,575,06-Jan-2026,,762.1,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,766.15,768.9,748.15,755.55,753.35,763.75,755.55,2488.0,1079939383.75,3299350.0,358800,575,07-Jan-2026,,752.0,
FUTSTK,PREMIERENE,24-Feb-2026,,XX,N,765.0,765.0,749.15,753.8,752.5,762.75,753.8,315.0,136658180.0,419175.0,54625,575,07-Jan-2026,,752.0,
FUTSTK,PREMIERENE,30-Mar-2026,,XX,N,765.0,765.95,751.05,753.9,753.65,764.8,753.9,35.0,15206536.25,96025.0,3450,575,07-Jan-2026,,752.0,
FUTSTK,PREMIERENE,27-Jan-2026,,XX,N,757.5,769.75,723.65,726.5,724.75,755.55,726.5,4003.0,1712346866.25,3858825.0,559475,575,08-Jan-2026,,730.25,
