FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,229.9,232.3,229.8,231.55,231.55,1995.0,13389.26,15329400.0,501700.0,01-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,230.45,231.6,229.8,231.2,231.2,90.0,602.82,443700.0,2900.0,01-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,231.0,231.0,231.0,231.0,233.3,1.0,6.69,2900.0,2900.0,01-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,233.05,241.4,231.25,240.1,240.1,8716.0,59686.16,17643600.0,2314200.0,04-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,232.6,240.6,230.9,239.45,239.45,146.0,995.5,487200.0,43500.0,04-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,234.6,240.3,231.5,240.3,241.85,10.0,68.11,11600.0,8700.0,04-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,238.15,252.6,237.05,251.75,251.75,14702.0,104948.26,19093600.0,1450000.0,05-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,238.15,251.8,237.25,251.05,251.05,309.0,2190.85,498800.0,11600.0,05-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,243.0,249.0,240.9,249.0,253.15,14.0,99.09,26100.0,14500.0,05-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,252.95,269.45,252.3,263.2,263.2,16666.0,126082.68,17576900.0,-1516700.0,06-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,253.0,268.25,251.55,261.75,261.75,529.0,3963.96,800400.0,301600.0,06-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,253.15,267.0,252.7,262.0,262.0,24.0,180.49,31900.0,5800.0,06-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,266.0,272.95,261.6,268.35,268.35,7259.0,56214.96,17234700.0,-342200.0,07-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,265.85,271.75,260.8,267.25,267.25,344.0,2651.91,1099100.0,298700.0,07-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,264.1,271.5,263.3,267.25,267.25,12.0,92.95,43500.0,11600.0,07-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,271.5,273.75,263.35,264.3,264.3,5698.0,44431.8,17110000.0,-124700.0,08-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,271.6,272.0,262.85,263.5,263.5,162.0,1258.05,1162900.0,63800.0,08-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,270.95,270.95,262.65,262.95,262.95,14.0,108.1,60900.0,17400.0,08-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,264.55,266.3,254.5,256.15,256.15,4712.0,35356.97,18478800.0,1368800.0,11-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,264.4,264.95,254.0,255.05,255.05,162.0,1210.95,1162900.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,264.15,264.15,252.55,254.45,254.45,29.0,216.15,78300.0,17400.0,11-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,253.35,263.5,249.5,257.9,257.9,6656.0,49717.59,20166600.0,1687800.0,12-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,250.95,262.85,249.65,256.6,256.6,182.0,1355.99,1287600.0,124700.0,12-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,253.3,262.65,253.0,256.6,256.6,17.0,126.24,87000.0,8700.0,12-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,258.65,263.45,245.8,253.7,253.7,7608.0,56320.44,20964100.0,797500.0,13-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,258.05,262.35,244.55,252.7,252.7,356.0,2618.54,1496400.0,208800.0,13-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,261.0,261.0,245.15,252.0,256.5,22.0,162.38,110200.0,23200.0,13-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,254.55,257.75,251.9,253.05,253.05,4075.0,30109.38,21764500.0,800400.0,14-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,253.8,255.95,250.5,251.75,251.75,297.0,2182.47,1803800.0,307400.0,14-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,254.0,254.0,252.0,252.0,256.3,5.0,36.68,118900.0,8700.0,14-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,252.85,259.0,249.85,252.6,252.6,5841.0,43132.49,23391400.0,1626900.0,15-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,251.95,257.2,249.0,251.45,251.45,331.0,2434.72,1992300.0,188500.0,15-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,255.9,257.0,249.85,251.45,251.45,14.0,102.68,139200.0,20300.0,15-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,250.8,251.7,241.05,242.65,242.65,4823.0,34281.49,23490000.0,98600.0,18-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,248.6,250.15,240.0,241.3,241.3,450.0,3181.16,2395400.0,403100.0,18-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,248.15,249.85,240.1,240.1,240.1,10.0,70.88,156600.0,17400.0,18-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,245.35,255.35,244.15,254.45,254.45,4173.0,30293.47,23092700.0,-397300.0,19-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,245.95,254.3,243.0,253.65,253.65,779.0,5629.3,2699900.0,304500.0,19-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,246.0,253.3,246.0,253.15,253.15,7.0,50.74,156600.0,0.0,19-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,254.75,257.3,250.75,253.35,253.35,3768.0,27697.68,23339200.0,246500.0,20-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,253.25,256.35,249.65,252.4,252.4,668.0,4889.55,3480000.0,780100.0,20-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,254.0,254.0,250.0,251.6,251.6,9.0,65.79,153700.0,-2900.0,20-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,254.9,266.1,247.85,250.35,250.35,9094.0,68364.14,20616100.0,-2723100.0,21-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,254.75,265.35,247.0,249.25,249.25,1595.0,11924.24,4605200.0,1125200.0,21-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,254.95,264.0,247.8,248.6,248.6,24.0,179.95,156600.0,2900.0,21-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,248.55,249.85,226.45,229.3,229.3,11317.0,77326.12,22115400.0,1499300.0,22-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,248.05,248.95,225.3,227.8,227.8,3916.0,26572.31,9300300.0,4695100.0,22-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,247.2,247.2,225.05,226.9,226.9,77.0,520.7,243600.0,87000.0,22-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,234.9,237.85,215.5,222.35,222.35,12033.0,78560.31,15401900.0,-6713500.0,25-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,234.4,236.25,214.0,221.15,221.15,7070.0,45902.15,16414000.0,7113700.0,25-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,233.0,234.6,215.15,220.2,220.2,85.0,550.42,362500.0,118900.0,25-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,224.95,226.8,217.25,218.4,218.4,8995.0,57838.72,5933400.0,-9468500.0,27-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,224.1,225.0,214.7,215.9,215.9,7638.0,48679.11,21291800.0,4877800.0,27-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,219.1,223.5,214.0,214.8,214.8,115.0,726.72,568400.0,205900.0,27-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,28-Jan-2021,0.0,XX,214.1,220.35,208.7,215.2,215.05,5240.0,32641.07,1853100.0,-4080300.0,28-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,210.5,217.7,205.15,212.35,212.35,10689.0,65629.73,25920200.0,4628400.0,28-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,210.7,215.5,206.0,211.55,211.55,188.0,1152.72,664100.0,95700.0,28-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,218.15,229.0,210.0,211.25,211.25,17358.0,109850.92,25580900.0,-339300.0,29-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,215.6,227.0,208.45,209.8,209.8,375.0,2340.84,945400.0,281300.0,29-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,223.4,223.4,209.45,209.55,209.55,9.0,56.2,14500.0,14500.0,29-Jan-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,214.75,240.4,209.25,237.6,237.6,14076.0,91412.07,20775600.0,-4805300.0,01-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,212.7,238.95,208.15,236.95,236.95,499.0,3228.74,748200.0,-197200.0,01-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,210.0,237.0,208.05,235.0,235.0,17.0,108.85,29000.0,14500.0,01-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,241.6,249.6,237.6,242.3,242.3,10129.0,71541.76,18490400.0,-2285200.0,02-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,242.15,248.7,237.15,241.05,241.05,216.0,1519.49,756900.0,8700.0,02-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,240.0,245.9,237.0,240.65,240.65,19.0,132.69,43500.0,14500.0,02-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,243.5,263.0,238.8,256.95,256.95,13055.0,96744.71,16155900.0,-2334500.0,03-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,241.35,261.5,237.0,255.8,255.8,350.0,2580.91,768500.0,11600.0,03-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,239.5,260.0,239.5,255.0,255.0,19.0,137.99,37700.0,-5800.0,03-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,255.05,259.6,251.15,257.6,257.6,5581.0,41539.82,16756200.0,600300.0,04-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,251.15,258.5,250.8,256.75,256.75,198.0,1468.18,791700.0,23200.0,04-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,254.2,257.25,253.0,255.9,255.9,44.0,326.27,104400.0,66700.0,04-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,258.95,269.1,247.25,249.55,249.55,11542.0,86080.73,19192200.0,2436000.0,05-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,260.15,268.0,246.3,247.45,247.45,680.0,4996.18,1452900.0,661200.0,05-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,260.1,266.1,245.7,246.65,246.65,32.0,235.61,127600.0,23200.0,05-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,253.85,256.85,244.1,245.75,245.75,5643.0,40765.49,21755800.0,2563600.0,08-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,253.25,254.15,243.0,244.3,244.3,169.0,1212.82,1534100.0,81200.0,08-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,252.0,252.75,245.2,246.0,249.7,12.0,86.94,150800.0,23200.0,08-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,247.75,250.9,242.3,245.5,245.5,5139.0,36827.74,22286500.0,530700.0,09-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,246.85,249.2,241.1,243.85,243.85,301.0,2154.18,1574700.0,40600.0,09-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,246.75,248.25,246.0,246.0,248.65,6.0,42.93,159500.0,8700.0,09-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,247.4,247.8,238.5,242.95,242.95,6990.0,49143.78,23762600.0,1476100.0,10-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,245.9,246.0,237.05,242.05,242.05,210.0,1470.61,1600800.0,26100.0,10-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,242.8,242.8,237.8,241.8,241.8,16.0,111.12,182700.0,23200.0,10-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,241.7,246.0,240.55,242.9,242.9,4111.0,28979.31,25021200.0,1258600.0,11-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,239.8,243.95,239.55,241.55,241.55,153.0,1071.24,1624000.0,23200.0,11-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,238.5,241.75,238.5,241.0,241.0,11.0,76.29,176900.0,-5800.0,11-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,243.8,247.9,239.7,242.0,242.0,6566.0,46424.46,24853000.0,-168200.0,12-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,241.65,246.0,238.5,240.6,240.6,262.0,1843.93,1713900.0,89900.0,12-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,29-Apr-2021,0.0,XX,240.45,240.6,238.0,240.0,240.0,19.0,131.82,179800.0,2900.0,12-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Feb-2021,0.0,XX,243.2,256.8,243.2,254.65,254.65,8974.0,65244.64,24673200.0,-179800.0,15-Feb-2021,,,N,,,,,
FUTSTK,RBLBANK,25-Mar-2021,0.0,XX,244.75,255.2,244.1,253.35,253.35,429.0,3102.58,1954600.0,240700.0,15-Feb-2021,,,N,,,,,
