FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1993.4,2005.55,1988.45,1994.75,1994.75,19987.0,99740.64,31879500.0,365250.0,01-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,2006.1,2013.0,1940.0,2002.8,2002.8,569.0,2848.25,519750.0,29250.0,01-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,2016.4,2017.0,2010.0,2011.2,2011.2,49.0,246.51,11000.0,11000.0,01-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,2000.75,2008.95,1972.1,2002.55,2002.55,49254.0,245315.33,31885000.0,5500.0,04-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,2007.5,2015.1,1981.0,2010.1,2010.1,1874.0,9359.96,617250.0,97500.0,04-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,2007.0,2022.0,1990.0,2019.9,2019.9,179.0,897.43,28000.0,17000.0,04-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1980.15,1993.85,1961.9,1974.8,1974.8,42592.0,210608.96,32800500.0,915500.0,05-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1993.65,1999.6,1970.3,1982.85,1982.85,1401.0,6955.54,717500.0,100250.0,05-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1998.95,2013.0,1980.0,1991.7,1991.7,179.0,893.25,54000.0,26000.0,05-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1970.9,1973.15,1915.7,1925.4,1925.4,69041.0,334627.39,34962750.0,2162250.0,06-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1978.95,1980.75,1923.3,1931.8,1931.8,5281.0,25612.88,1285000.0,567500.0,06-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1990.05,1990.05,1932.9,1941.2,1941.2,673.0,3277.62,158750.0,104750.0,06-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1931.0,1956.0,1915.05,1922.85,1922.85,49538.0,239107.98,36128500.0,1165750.0,07-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1950.5,1963.2,1923.0,1930.0,1930.0,2614.0,12658.24,1459500.0,174500.0,07-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1960.0,1970.6,1933.55,1938.3,1938.3,333.0,1619.83,194750.0,36000.0,07-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1927.7,1948.6,1916.4,1941.85,1941.85,49439.0,238919.93,36149250.0,20750.0,08-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1927.75,1956.15,1925.9,1948.75,1948.75,1804.0,8745.54,1538000.0,78500.0,08-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1942.0,1963.7,1937.0,1957.15,1957.15,191.0,929.64,203750.0,9000.0,08-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1946.35,1946.9,1900.25,1905.65,1905.65,50365.0,241475.81,37401000.0,1251750.0,11-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1945.0,1945.35,1908.05,1913.2,1913.2,2739.0,13177.42,1829250.0,291250.0,11-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1953.1,1953.1,1918.0,1922.05,1922.05,335.0,1619.7,255750.0,52000.0,11-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1907.9,1966.0,1905.8,1962.35,1962.35,77797.0,377859.34,38477750.0,1076750.0,12-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1914.9,1972.7,1914.3,1968.7,1968.7,3437.0,16743.08,1971750.0,142500.0,12-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1924.0,1980.4,1924.0,1977.95,1977.95,336.0,1644.0,251250.0,-4500.0,12-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1966.0,1979.7,1922.0,1943.5,1943.5,57490.0,280570.26,38379750.0,-98000.0,13-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1972.9,1987.15,1931.3,1951.0,1951.0,3023.0,14799.56,1989000.0,17250.0,13-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1993.35,1995.1,1940.0,1958.65,1958.65,319.0,1566.91,260250.0,9000.0,13-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,28-Jan-2021,0.0,XX,1945.0,1969.9,1944.35,1963.55,1963.55,40919.0,200573.86,37439250.0,-940500.0,14-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Feb-2021,0.0,XX,1951.75,1977.0,1951.75,1970.35,1970.35,1797.0,8841.82,2054250.0,65250.0,14-Jan-2021,,,N,,,,,
FUTSTK,RELIANCE,25-Mar-2021,0.0,XX,1961.95,1984.95,1960.5,1979.25,1979.25,203.0,1003.05,252250.0,-8000.0,14-Jan-2021,,,N,,,,,
