FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,RVNL,26-Jun-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,418.1,
FUTSTK,RVNL,31-Jul-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,418.1,
FUTSTK,RVNL,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,29-May-2025,2025-05-28T18:30:00.000+00:00,418.1,
FUTSTK,RVNL,26-Jun-2025,,XX,N,417.95,429.85,404.95,408.05,407.7,420.2,408.05,2065.0,1180612468.75,1413500.0,1413500.0,1375.0,30-May-2025,,405.55,
FUTSTK,RVNL,31-Jul-2025,,XX,N,426.2,426.2,406.8,409.9,408.3,422.9,409.9,125.0,70790087.5,149875.0,149875.0,1375.0,30-May-2025,,405.55,
FUTSTK,RVNL,28-Aug-2025,,XX,N,408.0,408.0,408.0,408.0,408.0,425.1,408.0,2.0,1122000.0,2750.0,2750.0,1375.0,30-May-2025,,405.55,
FUTSTK,RVNL,26-Jun-2025,,XX,N,407.8,412.55,398.65,408.65,408.5,408.05,408.65,1848.0,1030907900.0,2388375.0,974875.0,1375.0,02-Jun-2025,,406.9,
FUTSTK,RVNL,31-Jul-2025,,XX,N,403.5,412.25,399.9,409.05,409.3,409.9,409.05,54.0,30211706.25,195250.0,45375.0,1375.0,02-Jun-2025,,406.9,
FUTSTK,RVNL,28-Aug-2025,,XX,N,406.0,406.0,406.0,406.0,406.0,408.0,406.0,1.0,558250.0,4125.0,1375.0,1375.0,02-Jun-2025,,406.9,
FUTSTK,RVNL,26-Jun-2025,,XX,N,409.45,415.0,403.8,405.2,405.1,408.65,405.2,1570.0,881968450.0,2865500.0,477125.0,1375.0,03-Jun-2025,,403.75,
FUTSTK,RVNL,31-Jul-2025,,XX,N,409.5,414.2,404.7,405.85,407.45,409.05,405.85,63.0,35426737.5,254375.0,59125.0,1375.0,03-Jun-2025,,403.75,
FUTSTK,RVNL,28-Aug-2025,,XX,N,408.75,410.55,403.5,403.5,403.5,406.0,403.5,8.0,4482775.0,8250.0,4125.0,1375.0,03-Jun-2025,,403.75,
FUTSTK,RVNL,26-Jun-2025,,XX,N,406.05,437.0,402.9,432.7,434.35,405.2,432.7,8670.0,5104384656.25,5248375.0,2382875.0,1375.0,04-Jun-2025,,429.95,
FUTSTK,RVNL,31-Jul-2025,,XX,N,407.8,437.95,405.0,434.4,435.3,405.85,434.4,323.0,190436262.5,380875.0,126500.0,1375.0,04-Jun-2025,,429.95,
FUTSTK,RVNL,28-Aug-2025,,XX,N,407.3,437.4,407.3,434.75,435.6,403.5,434.75,48.0,28407018.75,39875.0,31625.0,1375.0,04-Jun-2025,,429.95,
