FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SAIL,28-Jan-2021,0.0,XX,74.15,75.85,73.0,74.9,74.9,3906.0,55365.22,95019000.0,3097000.0,01-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,74.8,76.0,73.65,75.2,75.2,107.0,1522.49,1957000.0,380000.0,01-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,74.1,75.3,74.1,75.3,75.3,5.0,71.28,76000.0,76000.0,01-Jan-2021,,,N,,,,,
FUTSTK,SAIL,28-Jan-2021,0.0,XX,75.9,80.05,75.85,79.35,79.35,6641.0,98280.21,105336000.0,10317000.0,04-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,76.4,80.2,76.4,79.65,79.65,294.0,4377.05,3116000.0,1159000.0,04-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,76.7,80.1,76.7,79.8,79.8,26.0,389.04,323000.0,247000.0,04-Jan-2021,,,N,,,,,
FUTSTK,SAIL,28-Jan-2021,0.0,XX,78.6,80.3,77.3,78.0,78.0,5712.0,85398.18,110010000.0,4674000.0,05-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,78.5,80.55,77.7,78.0,78.0,425.0,6354.73,6213000.0,3097000.0,05-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,80.15,80.4,77.75,78.2,78.2,28.0,418.09,361000.0,38000.0,05-Jan-2021,,,N,,,,,
FUTSTK,SAIL,28-Jan-2021,0.0,XX,77.9,78.8,75.15,76.35,76.35,765.0,11186.46,96026000.0,-13984000.0,06-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,78.7,78.7,75.5,76.2,76.2,39.0,569.66,5472000.0,-741000.0,06-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,78.2,78.2,78.2,78.2,76.9,1.0,14.85,342000.0,-19000.0,06-Jan-2021,,,N,,,,,
FUTSTK,SAIL,28-Jan-2021,0.0,XX,77.1,79.0,77.0,78.0,78.0,180.0,2675.16,92910000.0,-3116000.0,07-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,77.3,79.2,77.3,78.55,78.45,11.0,163.68,5263000.0,-209000.0,07-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,0.0,0.0,0.0,78.2,78.7,0.0,0.0,342000.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,SAIL,28-Jan-2021,0.0,XX,78.25,80.0,76.3,76.85,76.85,208.0,3074.33,89034000.0,-3876000.0,08-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Feb-2021,0.0,XX,78.6,79.8,76.45,76.7,76.7,34.0,505.08,4617000.0,-646000.0,08-Jan-2021,,,N,,,,,
FUTSTK,SAIL,25-Mar-2021,0.0,XX,79.95,79.95,79.95,79.95,77.75,1.0,15.19,323000.0,-19000.0,08-Jan-2021,,,N,,,,,
