FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,Unnamed: 15
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,222.0,226.4,219.3,223.1,,,223.1,5099.0,35266.9,31744000.0,737800.0,,01-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,222.0,225.6,219.4,222.55,,,222.55,92.0,636.44,390600.0,68200.0,,01-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,224.5,224.6,221.9,221.9,,,223.9,12.0,83.16,15500.0,15500.0,,01-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,224.55,227.15,217.3,221.9,,,221.9,5661.0,39022.11,30513300.0,-1230700.0,,04-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,224.85,226.0,217.3,221.3,,,221.3,89.0,609.52,427800.0,37200.0,,04-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,222.85,222.85,219.0,222.1,,,222.1,12.0,82.17,34100.0,18600.0,,04-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,219.2,223.0,216.4,220.5,,,220.5,7022.0,47737.75,30380000.0,-133300.0,,05-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,217.35,221.4,215.05,219.1,,,219.1,217.0,1470.04,709900.0,282100.0,,05-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,219.5,220.0,217.0,219.5,,,219.5,10.0,67.73,43400.0,9300.0,,05-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,220.7,228.45,216.65,221.0,,,221.0,8421.0,58163.81,29924300.0,-455700.0,,06-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,220.25,227.15,215.35,219.4,,,219.4,206.0,1413.68,824600.0,114700.0,,06-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,222.35,226.8,219.0,219.0,,,222.0,4.0,27.63,52700.0,9300.0,,06-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,223.8,239.8,223.4,235.3,,,235.3,14268.0,102623.29,33179300.0,3255000.0,,07-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,224.35,238.0,223.55,234.2,,,234.2,276.0,1968.17,895900.0,71300.0,,07-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,230.0,237.8,224.0,235.0,,,235.0,12.0,85.3,58900.0,6200.0,,07-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,250.0,251.4,236.2,241.6,,,241.6,13197.0,100112.06,31387500.0,-1791800.0,,08-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,247.25,250.0,237.95,240.1,,,240.1,361.0,2721.97,948600.0,52700.0,,08-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,245.2,250.0,240.0,241.45,,,241.45,28.0,211.88,89900.0,31000.0,,08-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,241.9,242.95,231.0,235.15,,,235.15,4483.0,32745.26,30147500.0,-1240000.0,,11-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,241.05,241.05,230.0,233.75,,,233.75,157.0,1141.82,1047800.0,99200.0,,11-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,241.45,241.45,232.0,234.25,,,234.25,15.0,109.57,108500.0,18600.0,,11-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,232.1,242.0,229.75,235.85,,,235.85,4503.0,33112.27,30879100.0,731600.0,,12-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,231.5,240.0,231.4,235.35,,,235.35,138.0,1009.67,1131500.0,83700.0,,12-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,234.25,236.45,234.25,235.3,,,235.3,8.0,58.34,120900.0,12400.0,,12-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,237.35,244.2,222.9,234.9,,,234.9,9938.0,72374.22,29468600.0,-1410500.0,,13-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,236.4,243.05,222.55,234.95,,,234.95,486.0,3531.38,1500400.0,368900.0,,13-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,242.5,242.6,228.15,235.1,,,235.1,17.0,124.31,164300.0,43400.0,,13-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,234.8,238.35,230.0,233.65,,,233.65,4755.0,34548.68,29177200.0,-291400.0,,14-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Feb-2021,0.0,XX,N,234.9,238.0,230.45,233.3,,,233.3,306.0,2226.49,1788700.0,288300.0,,14-Jan-2021,,,,
FUTSTK,SAMMAANCAP,25-Mar-2021,0.0,XX,N,233.05,235.45,233.05,233.5,,,233.5,10.0,72.69,170500.0,6200.0,,14-Jan-2021,,,,
FUTSTK,SAMMAANCAP,28-Jan-2021,0.0,XX,N,235.7,240.1,227.7,231.1,,,231.1,5946.0,43117.4,28780400.0,-396800.0,,15-Jan-2021,,,,
