FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1120.0,1120.0,1041.0,1059.5,1059.5,2165.0,11631.79,548500.0,548500.0,29-Oct-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1162.95,1162.95,1057.0,1064.85,1064.85,62.0,333.75,16500.0,16500.0,29-Oct-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1073.15,1073.15,1073.15,1073.15,1065.2,1.0,5.36,500.0,500.0,29-Oct-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1069.05,1083.55,1064.05,1074.85,1074.85,1104.0,5921.61,755000.0,206500.0,01-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1075.0,1088.3,1069.65,1081.15,1081.15,42.0,226.54,24500.0,8000.0,01-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1079.9,1084.95,1079.9,1083.1,1083.1,4.0,21.64,2000.0,1500.0,01-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1077.95,1091.0,1070.25,1075.1,1075.1,1255.0,6780.35,945500.0,190500.0,02-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1085.0,1091.0,1080.9,1084.85,1084.85,19.0,103.14,28000.0,3500.0,02-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1090.0,1090.0,1086.0,1086.0,1086.0,2.0,10.88,2500.0,500.0,02-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1080.75,1117.6,1079.05,1110.55,1110.55,2538.0,13952.08,1033500.0,88000.0,03-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1084.75,1122.0,1084.75,1114.2,1114.2,107.0,589.83,29500.0,1500.0,03-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1105.0,1121.1,1105.0,1121.1,1121.1,5.0,27.75,4000.0,1500.0,03-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1131.7,1131.7,1114.6,1123.2,1123.2,536.0,3007.24,1028500.0,-5000.0,04-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1136.45,1136.45,1124.7,1129.55,1129.55,40.0,225.71,33500.0,4000.0,04-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1134.15,1134.15,1134.15,1134.15,1134.15,3.0,17.01,4500.0,500.0,04-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1128.05,1132.15,1102.05,1108.3,1108.3,856.0,4744.13,1074000.0,45500.0,08-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1120.1,1120.1,1110.0,1114.15,1114.15,63.0,350.68,43500.0,10000.0,08-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1140.75,1140.75,1114.0,1116.5,1116.5,7.0,39.25,6500.0,2000.0,08-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,25-Nov-2021,0.0,XX,1103.45,1109.0,1035.05,1087.1,1087.1,1364.0,7428.1,1328500.0,254500.0,09-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,30-Dec-2021,0.0,XX,1064.15,1107.7,1064.15,1093.05,1093.05,84.0,459.55,57000.0,13500.0,09-Nov-2021,,,N,,,,,
FUTSTK,SBICARD,27-Jan-2022,0.0,XX,1100.0,1108.4,1097.8,1098.35,1098.35,13.0,71.7,12500.0,6000.0,09-Nov-2021,,,N,,,,,
