FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,SHREECEM,28-Jan-2021,0.0,XX,24239.65,24334.4,24001.15,24098.75,24098.75,781.0,9433.1,161100.0,5550.0,01-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Feb-2021,0.0,XX,24256.45,24256.45,24100.0,24100.0,24104.2,2.0,24.17,150.0,100.0,01-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,24216.9,24182.95,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,28-Jan-2021,0.0,XX,24228.7,24359.95,24000.0,24179.1,24179.1,1067.0,12895.39,169850.0,8750.0,04-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Feb-2021,0.0,XX,24180.85,24350.0,24103.0,24103.0,24180.0,107.0,1297.53,550.0,400.0,04-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,24216.9,24258.95,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,28-Jan-2021,0.0,XX,24195.8,24238.3,23772.4,23966.8,23966.8,1206.0,14447.93,171450.0,1600.0,05-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Feb-2021,0.0,XX,24217.9,24217.95,23880.0,24050.35,24050.35,51.0,614.01,1000.0,450.0,05-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,24216.9,24116.35,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,28-Jan-2021,0.0,XX,24069.7,24972.0,23905.1,24863.85,24863.85,2100.0,25690.83,161750.0,-9700.0,06-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Feb-2021,0.0,XX,24071.75,24901.0,23982.45,24897.5,24897.5,17.0,206.89,1400.0,400.0,06-Jan-2021,,,N,,,,
FUTSTK,SHREECEM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,24216.9,25050.7,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,
