FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1315.45,1327.0,1304.5,1323.6,1323.6,1631.0,12884.56,6279000.0,-149400.0,20-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1290.4,1299.9,1281.1,1296.4,1296.4,444.0,3442.29,617400.0,19200.0,20-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1279.0,1282.15,1279.0,1286.5,1286.5,4.0,30.8,226200.0,0.0,20-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1326.75,1361.0,1320.0,1331.65,1331.65,3914.0,31458.04,5971800.0,-307200.0,21-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1302.1,1321.9,1293.1,1303.5,1303.5,1187.0,9297.53,709200.0,91800.0,21-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1297.4,1308.4,1287.35,1296.8,1296.8,17.0,132.26,231000.0,4800.0,21-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1344.1,1345.0,1307.9,1319.7,1319.7,1200.0,9507.07,5845800.0,-126000.0,22-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1310.0,1312.95,1280.65,1294.0,1294.0,488.0,3790.32,750600.0,41400.0,22-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1292.5,1292.5,1285.4,1285.4,1285.4,3.0,23.17,232200.0,1200.0,22-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1312.5,1312.5,1281.9,1291.9,1291.9,3554.0,27559.11,4955400.0,-890400.0,23-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1289.65,1289.65,1253.05,1260.35,1260.35,2110.0,15991.32,1322400.0,571800.0,23-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1257.0,1257.0,1250.0,1253.5,1253.5,7.0,52.66,232800.0,600.0,23-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1285.6,1366.4,1283.65,1343.2,1343.2,3913.0,31357.63,3924600.0,-1030800.0,26-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1254.55,1327.9,1248.7,1309.25,1309.25,2953.0,23007.1,2270400.0,948000.0,26-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1279.9,1312.0,1279.9,1301.3,1301.3,14.0,109.21,232800.0,0.0,26-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,29-Dec-2022,0.0,XX,1347.6,1372.35,1320.55,1345.5,1345.5,4818.0,38806.84,2855400.0,-1069200.0,27-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,25-Jan-2023,0.0,XX,1312.1,1334.95,1285.0,1318.35,1318.35,4549.0,35747.56,3789000.0,1518600.0,27-Dec-2022,,,N,,,,,
FUTSTK,SHRIRAMFIN,23-Feb-2023,0.0,XX,1315.0,1324.0,1288.05,1310.15,1310.15,18.0,141.46,231000.0,-1800.0,27-Dec-2022,,,N,,,,,
