FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SIEMENS,28-Jan-2021,0.0,XX,1582.4,1624.85,1577.15,1607.65,1607.65,1806.0,15968.11,876700.0,18150.0,01-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Feb-2021,0.0,XX,1584.0,1617.95,1584.0,1613.0,1613.0,9.0,79.61,9900.0,550.0,01-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1588.95,1617.2,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,28-Jan-2021,0.0,XX,1612.0,1621.1,1587.0,1601.45,1601.45,1030.0,9086.35,871200.0,-5500.0,04-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Feb-2021,0.0,XX,1596.75,1600.0,1594.0,1595.0,1607.95,6.0,52.67,11550.0,1650.0,04-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1588.95,1613.2,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,28-Jan-2021,0.0,XX,1590.55,1619.0,1582.8,1614.7,1614.7,833.0,7367.95,882200.0,11000.0,05-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Feb-2021,0.0,XX,1603.35,1615.0,1601.0,1601.0,1622.45,7.0,61.84,12650.0,1100.0,05-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,1588.95,1627.75,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,SIEMENS,28-Jan-2021,0.0,XX,1619.0,1634.0,1599.2,1615.6,1615.6,1441.0,12817.55,796950.0,-85250.0,06-Jan-2021,,,N,,,,,
