FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,673.9,679.55,660.0,675.5,673.95,668.35,675.5,683.0,354750592.5,303800.0,303800.0,775.0,29-Nov-2024,,671.6,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,672.0,672.0,670.85,671.6,671.6,673.15,671.6,3.0,1561198.75,1550.0,1550.0,775.0,29-Nov-2024,,671.6,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,0.0,0.0,0.0,676.95,0.0,676.95,676.95,0.0,0.0,0.0,0.0,775.0,29-Nov-2024,,671.6,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,675.0,690.0,674.85,681.3,679.6,675.5,681.3,437.0,230917178.75,478175.0,174375.0,775.0,02-Dec-2024,,676.05,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,689.95,691.05,683.5,686.1,686.1,671.6,686.1,6.0,3201137.5,3875.0,2325.0,775.0,02-Dec-2024,,676.05,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,0.0,0.0,0.0,676.95,0.0,676.95,676.95,0.0,0.0,0.0,0.0,775.0,02-Dec-2024,,676.05,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,680.35,682.0,674.0,675.9,675.95,681.3,675.9,180.0,94463665.0,525450.0,47275.0,775.0,03-Dec-2024,,672.7,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,678.2,678.2,678.2,678.2,678.2,686.1,678.2,1.0,525605.0,3875.0,0.0,775.0,03-Dec-2024,,672.7,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,683.0,683.35,682.85,683.35,683.35,676.95,683.35,3.0,1588130.0,2325.0,2325.0,775.0,03-Dec-2024,,672.7,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,677.8,700.95,674.5,692.6,693.0,675.9,692.6,1529.0,821670383.75,996650.0,471200.0,775.0,04-Dec-2024,,689.15,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,679.7,705.0,679.7,695.75,695.95,678.2,695.75,14.0,7571633.75,9300.0,5425.0,775.0,04-Dec-2024,,689.15,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,685.0,700.1,685.0,699.3,699.55,683.35,699.3,5.0,2699053.75,3875.0,1550.0,775.0,04-Dec-2024,,689.15,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,691.25,691.25,670.45,678.05,679.45,692.6,678.05,972.0,510295611.25,1199700.0,203050.0,775.0,05-Dec-2024,,675.0,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,693.85,695.15,675.0,683.15,683.7,695.75,683.15,41.0,21725148.75,24025.0,14725.0,775.0,05-Dec-2024,,675.0,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,690.2,690.2,680.0,682.5,682.5,699.3,682.5,16.0,8472028.75,14725.0,10850.0,775.0,05-Dec-2024,,675.0,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,675.2,680.35,668.65,671.15,670.6,678.05,671.15,537.0,280232482.5,1379500.0,179800.0,775.0,06-Dec-2024,,669.0,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,683.0,683.0,673.3,676.35,676.05,683.15,676.35,15.0,7896901.25,30225.0,6200.0,775.0,06-Dec-2024,,669.0,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,0.0,0.0,0.0,682.5,682.5,682.5,682.5,0.0,0.0,14725.0,0.0,775.0,06-Dec-2024,,669.0,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,670.95,677.55,661.15,662.5,662.95,671.15,662.5,727.0,376400372.5,1601150.0,221650.0,775.0,09-Dec-2024,,659.65,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,676.35,680.5,665.0,666.3,665.0,676.35,666.3,22.0,11468876.25,36425.0,6200.0,775.0,09-Dec-2024,,659.65,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,674.75,680.1,670.45,670.5,670.45,682.5,670.5,13.0,6801322.5,19375.0,4650.0,775.0,09-Dec-2024,,659.65,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,657.65,662.0,639.15,646.25,645.4,662.5,646.25,2226.0,1118817667.5,2020425.0,419275.0,775.0,10-Dec-2024,,645.55,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,665.0,665.0,645.0,649.6,650.5,666.3,649.6,168.0,84832546.25,80600.0,44175.0,775.0,10-Dec-2024,,645.55,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,663.7,665.25,649.75,653.35,654.7,670.5,653.35,36.0,18361881.25,27900.0,8525.0,775.0,10-Dec-2024,,645.55,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,645.8,650.5,642.8,643.85,644.0,646.25,643.85,559.0,279462442.5,2097925.0,77500.0,775.0,11-Dec-2024,,641.75,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,650.5,653.7,647.5,648.75,649.0,649.6,648.75,61.0,30704260.0,93775.0,13175.0,775.0,11-Dec-2024,,641.75,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,651.45,652.2,651.0,652.05,651.85,653.35,652.05,7.0,3534658.75,30225.0,2325.0,775.0,11-Dec-2024,,641.75,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,646.8,646.8,632.5,635.65,636.65,643.85,635.65,664.0,327588392.5,2169225.0,71300.0,775.0,12-Dec-2024,,635.4,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,648.75,648.75,637.75,640.85,641.25,648.75,640.85,87.0,43338930.0,106950.0,13175.0,775.0,12-Dec-2024,,635.4,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,642.5,643.75,642.5,643.75,643.75,652.05,643.75,2.0,996843.75,31775.0,1550.0,775.0,12-Dec-2024,,635.4,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,635.95,636.6,627.95,633.5,632.8,635.65,633.5,532.0,260631027.5,2215725.0,46500.0,775.0,13-Dec-2024,,631.8,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,641.15,641.15,632.8,638.15,638.0,640.85,638.15,51.0,25184865.0,117025.0,10075.0,775.0,13-Dec-2024,,631.8,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,643.75,643.75,637.0,640.95,642.2,643.75,640.95,7.0,3469558.75,33325.0,1550.0,775.0,13-Dec-2024,,631.8,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,639.0,639.0,620.35,634.05,634.85,633.5,634.05,1027.0,499451268.75,2353675.0,137950.0,775.0,16-Dec-2024,,631.65,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,636.0,638.5,624.6,637.15,638.5,638.15,637.15,321.0,156833611.25,181350.0,64325.0,775.0,16-Dec-2024,,631.65,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,637.9,639.75,627.95,639.75,639.75,640.95,639.75,17.0,8333032.5,35650.0,2325.0,775.0,16-Dec-2024,,631.65,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,629.0,641.0,617.5,623.3,620.05,634.05,623.3,1639.0,798442975.0,2449000.0,95325.0,775.0,17-Dec-2024,,621.4,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,637.0,643.05,622.0,626.9,624.1,637.15,626.9,276.0,135279195.0,238700.0,57350.0,775.0,17-Dec-2024,,621.4,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,630.65,646.5,627.5,630.7,628.15,639.75,630.7,48.0,23651992.5,59675.0,24025.0,775.0,17-Dec-2024,,621.4,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,623.5,623.5,603.65,612.35,614.9,623.3,612.35,1172.0,556380947.5,2566025.0,117025.0,775.0,18-Dec-2024,,611.15,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,621.65,624.75,608.35,617.7,620.1,626.9,617.7,212.0,101228601.25,281325.0,42625.0,775.0,18-Dec-2024,,611.15,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,625.85,625.85,612.0,617.1,617.1,630.7,617.1,20.0,9603451.25,64325.0,4650.0,775.0,18-Dec-2024,,611.15,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,602.5,617.95,598.2,610.85,612.25,612.35,610.85,1093.0,516791893.75,2531925.0,-34100.0,775.0,19-Dec-2024,,609.6,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,604.0,621.65,602.85,614.9,614.5,617.7,614.9,287.0,136906346.25,349525.0,68200.0,775.0,19-Dec-2024,,609.6,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,618.95,622.55,618.3,619.5,619.5,617.1,619.5,13.0,6246306.25,62775.0,-1550.0,775.0,19-Dec-2024,,609.6,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,609.45,614.6,587.4,590.0,589.05,610.85,590.0,1551.0,721601066.25,2002600.0,-529325.0,775.0,20-Dec-2024,,588.45,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,611.65,618.0,591.6,593.15,592.2,614.9,593.15,1256.0,588260727.5,889700.0,540175.0,775.0,20-Dec-2024,,588.45,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,619.5,621.8,595.45,595.85,595.45,619.5,595.85,15.0,7056840.0,65875.0,3100.0,775.0,20-Dec-2024,,588.45,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,590.25,593.85,581.6,584.25,582.45,590.0,584.25,1616.0,733385212.5,1455450.0,-547150.0,775.0,23-Dec-2024,,584.15,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,595.9,596.9,585.0,587.85,586.5,593.15,587.85,1635.0,746545797.5,1770875.0,881175.0,775.0,23-Dec-2024,,584.15,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,601.0,601.0,590.0,591.4,591.4,595.85,591.4,15.0,6880760.0,73625.0,7750.0,775.0,23-Dec-2024,,584.15,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,584.25,597.0,581.5,595.05,593.75,584.25,595.05,1715.0,780360713.75,817625.0,-637825.0,775.0,24-Dec-2024,,594.95,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,586.5,600.75,581.4,598.95,596.95,587.85,598.95,2246.0,1029386310.0,2906250.0,1135375.0,775.0,24-Dec-2024,,594.95,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,595.0,600.6,590.0,599.75,600.6,591.4,599.75,33.0,15138617.5,82925.0,9300.0,775.0,24-Dec-2024,,594.95,
FUTSTK,SONACOMS,26-Dec-2024,,XX,N,595.0,600.0,587.45,594.45,590.5,595.05,594.45,1155.0,530078183.75,537850.0,-279775.0,775.0,26-Dec-2024,,593.55,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,601.45,601.45,591.3,598.1,599.55,598.95,598.1,1577.0,728587420.0,3248025.0,341775.0,775.0,26-Dec-2024,,593.55,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,596.5,601.8,596.5,601.75,601.8,599.75,601.75,4.0,1860930.0,84475.0,1550.0,775.0,26-Dec-2024,,593.55,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,597.3,605.4,594.8,603.05,602.4,598.1,603.05,815.0,379745195.0,3234075.0,-13950.0,775.0,27-Dec-2024,,600.35,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,598.4,606.0,598.4,605.55,605.05,601.75,605.55,11.0,5150262.5,85250.0,775.0,775.0,27-Dec-2024,,600.35,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,0.0,0.0,0.0,604.5,0.0,604.5,604.5,0.0,0.0,0.0,0.0,775.0,27-Dec-2024,,600.35,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,600.55,603.0,595.85,601.9,600.6,603.05,601.9,647.0,300584292.5,3317775.0,83700.0,775.0,30-Dec-2024,,599.25,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,603.4,604.8,601.0,603.0,603.0,605.55,603.0,13.0,6079410.0,89900.0,4650.0,775.0,30-Dec-2024,,599.25,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,0.0,0.0,0.0,604.5,0.0,604.5,604.5,0.0,0.0,0.0,0.0,775.0,30-Dec-2024,,599.25,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,593.4,601.7,586.75,598.25,598.0,601.9,598.25,968.0,446066595.0,3454175.0,136400.0,775.0,31-Dec-2024,,594.8,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,598.0,602.05,591.4,601.05,602.05,603.0,601.05,23.0,10644392.5,93000.0,3100.0,775.0,31-Dec-2024,,594.8,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,596.0,600.0,596.0,600.0,600.0,604.5,600.0,2.0,926900.0,775.0,775.0,775.0,31-Dec-2024,,594.8,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,603.15,604.35,590.4,593.95,594.15,598.25,593.95,727.0,335426122.5,3561900.0,107725.0,775.0,01-Jan-2025,,591.6,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,605.75,605.75,593.05,596.45,595.85,601.05,596.45,24.0,11100170.0,96100.0,3100.0,775.0,01-Jan-2025,,591.6,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,600.0,605.5,598.05,600.8,600.8,600.0,600.8,6.0,2799920.0,4650.0,3875.0,775.0,01-Jan-2025,,591.6,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,594.55,600.55,588.55,599.5,600.0,593.95,599.5,1673.0,771082297.5,3999775.0,437875.0,775.0,02-Jan-2025,,597.45,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,598.8,602.5,592.15,601.85,602.2,596.45,601.85,37.0,17161251.25,103075.0,6975.0,775.0,02-Jan-2025,,597.45,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,603.0,603.0,596.0,597.75,597.75,600.8,597.75,6.0,2783218.75,4650.0,0.0,775.0,02-Jan-2025,,597.45,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,596.7,608.7,586.8,592.35,590.45,599.5,592.35,1457.0,675408315.0,4384175.0,384400.0,775.0,03-Jan-2025,,591.1,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,601.55,610.2,592.1,594.45,593.45,601.85,594.45,77.0,35834450.0,132525.0,29450.0,775.0,03-Jan-2025,,591.1,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,606.0,606.0,596.5,596.5,596.5,597.75,596.5,5.0,2323643.75,8525.0,3875.0,775.0,03-Jan-2025,,591.1,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,594.8,595.5,578.6,581.95,581.25,592.35,581.95,1241.0,562492403.75,4554675.0,170500.0,775.0,06-Jan-2025,,581.55,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,587.0,596.95,580.4,584.5,584.3,594.45,584.5,50.0,22778955.0,141050.0,8525.0,775.0,06-Jan-2025,,581.55,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,587.0,587.0,587.0,587.0,587.0,596.5,587.0,2.0,909850.0,9300.0,775.0,775.0,06-Jan-2025,,581.55,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,586.0,588.9,575.3,587.1,586.15,581.95,587.1,877.0,397021805.0,4612800.0,58125.0,775.0,07-Jan-2025,,584.45,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,585.95,590.0,578.0,588.35,587.05,584.5,588.35,175.0,79669070.0,191425.0,50375.0,775.0,07-Jan-2025,,584.45,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,585.35,592.4,583.6,592.4,592.4,587.0,592.4,9.0,4109011.25,9300.0,0.0,775.0,07-Jan-2025,,584.45,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,582.15,591.0,572.5,576.0,575.55,587.1,576.0,779.0,347958221.25,4777100.0,164300.0,775.0,08-Jan-2025,,573.15,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,587.1,587.15,575.45,577.2,575.45,588.35,577.2,44.0,19748976.25,193750.0,2325.0,775.0,08-Jan-2025,,573.15,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,582.5,582.5,578.95,578.95,578.95,592.4,578.95,5.0,2251181.25,10075.0,775.0,775.0,08-Jan-2025,,573.15,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,573.4,576.9,560.95,566.8,566.5,576.0,566.8,1536.0,674281736.25,5135925.0,358825.0,775.0,09-Jan-2025,,565.75,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,573.0,577.15,562.3,568.5,568.8,577.2,568.5,40.0,17659072.5,195300.0,1550.0,775.0,09-Jan-2025,,565.75,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,577.0,577.0,570.0,571.95,571.95,578.95,571.95,4.0,1775447.5,11625.0,1550.0,775.0,09-Jan-2025,,565.75,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,562.95,574.45,559.95,570.6,569.15,566.8,570.6,1534.0,676499398.75,5497075.0,361150.0,775.0,10-Jan-2025,,569.55,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,564.95,574.0,561.75,571.15,569.5,568.5,571.15,57.0,25109263.75,193750.0,-1550.0,775.0,10-Jan-2025,,569.55,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,569.15,576.35,569.15,576.35,576.35,571.95,576.35,10.0,4427923.75,13950.0,2325.0,775.0,10-Jan-2025,,569.55,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,554.15,571.7,554.15,562.3,560.75,570.6,562.3,2122.0,930783602.5,5933400.0,436325.0,775.0,13-Jan-2025,,561.9,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,566.3,572.0,561.05,562.55,562.25,571.15,562.55,55.0,24206040.0,213125.0,19375.0,775.0,13-Jan-2025,,561.9,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,0.0,0.0,0.0,576.35,576.35,576.35,576.35,0.0,0.0,13950.0,0.0,775.0,13-Jan-2025,,561.9,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,560.65,576.85,559.15,571.4,572.5,562.3,571.4,1447.0,637495741.25,6145750.0,212350.0,775.0,14-Jan-2025,,569.9,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,573.75,577.15,562.95,572.9,573.85,562.55,572.9,186.0,81968998.75,191425.0,-21700.0,775.0,14-Jan-2025,,569.9,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,570.65,573.6,567.7,573.6,573.6,576.35,573.6,4.0,1766728.75,16275.0,2325.0,775.0,14-Jan-2025,,569.9,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,567.95,576.2,561.15,573.3,573.15,571.4,573.3,1038.0,459069002.5,6117850.0,-27900.0,775.0,15-Jan-2025,,570.95,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,572.0,578.0,562.3,574.25,574.6,572.9,574.25,97.0,43137313.75,224750.0,33325.0,775.0,15-Jan-2025,,570.95,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,573.6,576.15,573.6,576.15,576.15,573.6,576.15,3.0,1337572.5,15500.0,-775.0,775.0,15-Jan-2025,,570.95,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,577.65,583.1,572.1,580.3,580.85,573.3,580.3,1659.0,745204427.5,6158150.0,40300.0,775.0,16-Jan-2025,,582.75,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,568.55,583.8,568.55,579.95,581.5,574.25,579.95,325.0,146289775.0,316975.0,92225.0,775.0,16-Jan-2025,,582.75,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,584.0,584.0,583.25,581.85,583.25,576.15,581.85,5.0,2260171.25,16275.0,775.0,775.0,16-Jan-2025,,582.75,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,573.35,586.3,573.0,575.35,575.95,580.3,575.35,1777.0,796995352.5,6663450.0,505300.0,775.0,17-Jan-2025,,574.7,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,572.25,586.35,572.25,575.7,575.55,579.95,575.7,202.0,90681665.0,341000.0,24025.0,775.0,17-Jan-2025,,574.7,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,582.0,588.0,577.65,579.0,579.0,581.85,579.0,9.0,4063983.75,19375.0,3100.0,775.0,17-Jan-2025,,574.7,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,576.4,578.2,555.55,565.65,565.35,575.35,565.65,2521.0,1101320996.25,6998250.0,334800.0,775.0,20-Jan-2025,,566.3,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,581.0,581.0,555.3,564.5,565.0,575.7,564.5,361.0,157569628.75,351850.0,10850.0,775.0,20-Jan-2025,,566.3,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,570.05,570.05,558.85,566.6,566.6,579.0,566.6,35.0,15304506.25,32550.0,13175.0,775.0,20-Jan-2025,,566.3,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,564.0,571.9,552.1,554.15,553.25,565.65,554.15,1791.0,775715402.5,7295850.0,297600.0,775.0,21-Jan-2025,,556.4,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,567.35,569.9,552.0,553.3,552.2,564.5,553.3,329.0,142592211.25,447175.0,95325.0,775.0,21-Jan-2025,,556.4,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,566.65,566.9,554.0,554.5,554.0,566.6,554.5,15.0,6522632.5,37975.0,5425.0,775.0,21-Jan-2025,,556.4,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,547.65,557.0,528.95,533.4,536.05,554.15,533.4,3938.0,1643953327.5,7364050.0,68200.0,775.0,22-Jan-2025,,531.35,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,550.4,555.45,527.9,533.55,532.85,553.3,533.55,347.0,144809873.75,470425.0,23250.0,775.0,22-Jan-2025,,531.35,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,549.0,553.5,532.9,533.0,533.0,554.5,533.0,14.0,5851831.25,42625.0,4650.0,775.0,22-Jan-2025,,531.35,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,538.7,551.55,531.1,543.2,540.1,533.4,543.2,2712.0,1138685993.75,7094350.0,-269700.0,775.0,23-Jan-2025,,542.6,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,533.25,549.0,531.95,542.5,538.3,533.55,542.5,440.0,184490261.25,539400.0,68975.0,775.0,23-Jan-2025,,542.6,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,536.0,547.5,535.55,540.2,540.2,533.0,540.2,19.0,7991761.25,46500.0,3875.0,775.0,23-Jan-2025,,542.6,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,512.75,548.1,510.4,524.6,525.95,543.2,524.6,6389.0,2640096748.75,7073425.0,-20925.0,775.0,24-Jan-2025,,525.05,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,528.35,546.35,514.2,523.9,524.55,542.5,523.9,1613.0,661601108.75,997425.0,458025.0,775.0,24-Jan-2025,,525.05,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,540.2,540.2,521.0,525.05,525.1,540.2,525.05,44.0,18066451.25,59675.0,13175.0,775.0,24-Jan-2025,,525.05,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,519.65,522.1,507.8,512.5,512.85,524.6,512.5,3876.0,1542983731.25,5118100.0,-1955325.0,775.0,27-Jan-2025,,512.3,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,523.2,523.2,505.0,509.55,510.65,523.9,509.55,4148.0,1642141416.25,2871375.0,1873950.0,775.0,27-Jan-2025,,512.3,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,520.0,520.0,509.8,511.6,511.6,525.05,511.6,23.0,9104545.0,62775.0,3100.0,775.0,27-Jan-2025,,512.3,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,521.0,521.0,496.4,498.95,497.1,512.5,498.95,3955.0,1552688397.5,3298400.0,-1819700.0,775.0,28-Jan-2025,,497.2,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,511.85,515.85,496.05,497.6,498.15,509.55,497.6,4044.0,1581509562.5,4820500.0,1949125.0,775.0,28-Jan-2025,,497.2,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,516.5,516.65,498.25,499.65,499.25,511.6,499.65,53.0,20716176.25,77500.0,14725.0,775.0,28-Jan-2025,,497.2,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,497.55,512.9,493.55,503.55,505.7,498.95,503.55,3513.0,1375143260.0,1992525.0,-1305875.0,775.0,29-Jan-2025,,502.25,
FUTSTK,SONACOMS,27-Feb-2025,,XX,N,506.15,514.0,494.9,503.5,504.55,497.6,503.5,4656.0,1823361138.75,5743525.0,923025.0,775.0,29-Jan-2025,,502.25,
FUTSTK,SONACOMS,27-Mar-2025,,XX,N,499.5,513.7,499.5,506.6,505.5,499.65,506.6,42.0,16488706.25,81375.0,3875.0,775.0,29-Jan-2025,,502.25,
FUTSTK,SONACOMS,30-Jan-2025,,XX,N,510.75,517.4,497.45,504.05,506.4,503.55,504.05,2883.0,1130362106.25,523900.0,-1468625.0,775.0,30-Jan-2025,,503.8,
