FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SRF,28-Jan-2021,0.0,XX,5555.25,5725.0,5550.15,5695.6,5695.6,1798.0,12714.15,313750.0,9750.0,01-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5605.15,5738.05,5605.15,5727.55,5727.55,10.0,70.8,3375.0,875.0,01-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5621.2,5736.7,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5728.85,5736.3,5631.1,5713.5,5713.5,1813.0,12915.71,314250.0,500.0,04-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5700.0,5736.95,5650.0,5736.95,5721.55,6.0,42.82,3500.0,125.0,04-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5621.2,5740.2,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5697.15,5734.05,5602.15,5711.45,5711.45,1714.0,12151.84,335375.0,21125.0,05-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5700.0,5735.05,5655.05,5732.0,5732.0,16.0,113.73,4750.0,1250.0,05-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,5644.55,5644.55,5644.55,5644.55,5747.95,1.0,7.05,125.0,125.0,05-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5715.0,5823.95,5660.0,5721.75,5721.75,2547.0,18301.52,343875.0,8500.0,06-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5750.0,5795.0,5719.0,5719.0,5734.95,8.0,57.59,5000.0,250.0,06-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5644.55,5753.65,0.0,0.0,125.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5739.0,5814.1,5722.5,5739.05,5739.05,1173.0,8453.95,335625.0,-8250.0,07-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5771.45,5771.45,5745.95,5745.95,5745.95,2.0,14.39,5125.0,125.0,07-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5644.55,5761.25,0.0,0.0,125.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5794.8,5945.9,5755.0,5922.65,5922.65,2679.0,19636.18,331500.0,-4125.0,08-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Feb-2021,0.0,XX,5850.0,5932.9,5841.1,5932.9,5932.9,14.0,102.61,5750.0,625.0,08-Jan-2021,,,N,,,,,
FUTSTK,SRF,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5644.55,5968.55,0.0,0.0,125.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,SRF,28-Jan-2021,0.0,XX,5937.25,6035.0,5861.0,5918.4,5918.4,2001.0,14834.93,310375.0,-21125.0,11-Jan-2021,,,N,,,,,
