FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,SUNPHARMA,28-Jan-2021,0.0,XX,593.2,602.8,587.95,598.6,598.6,8742.0,72962.04,44956800.0,326200.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,596.7,605.0,590.85,601.5,601.5,123.0,1027.11,228200.0,28000.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,0.0,0.0,0.0,597.4,602.05,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,28-Jan-2021,0.0,XX,601.85,610.7,596.95,605.5,605.5,12687.0,107350.26,44594200.0,-362600.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,603.15,613.1,600.0,607.75,607.75,269.0,2286.5,295400.0,67200.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,0.0,0.0,0.0,597.4,610.05,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,28-Jan-2021,0.0,XX,609.35,609.9,600.6,604.9,604.9,7337.0,62219.46,45161200.0,567000.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,608.05,611.85,604.0,607.3,607.3,124.0,1056.18,301000.0,5600.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,608.0,608.35,605.5,608.35,608.35,3.0,25.5,2800.0,2800.0,05-Jan-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,28-Jan-2021,0.0,XX,605.1,611.9,597.05,606.85,606.85,8249.0,69963.61,43764000.0,-1397200.0,06-Jan-2021,,,N,,,,,,,
