FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4546.8,4808.9,4538.4,4682.15,4635.25,4544.9,4682.15,237.0,139423812.5,14625.0,14625.0,125.0,29-Nov-2024,,4651.15,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,0.0,0.0,0.0,4577.55,0.0,4577.55,4577.55,0.0,0.0,0.0,0.0,125.0,29-Nov-2024,,4651.15,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4603.25,0.0,4603.25,4603.25,0.0,0.0,0.0,0.0,125.0,29-Nov-2024,,4651.15,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4639.6,4831.6,4639.6,4802.2,4795.0,4682.15,4802.2,495.0,297479231.25,41000.0,26375.0,125.0,02-Dec-2024,,4772.65,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,0.0,0.0,0.0,4577.55,0.0,4577.55,4577.55,0.0,0.0,0.0,0.0,125.0,02-Dec-2024,,4772.65,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4603.25,0.0,4603.25,4603.25,0.0,0.0,0.0,0.0,125.0,02-Dec-2024,,4772.65,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4824.8,4851.85,4768.1,4789.8,4776.2,4802.2,4789.8,819.0,490989100.0,99875.0,58875.0,125.0,03-Dec-2024,,4763.0,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,0.0,0.0,0.0,4577.55,0.0,4577.55,4577.55,0.0,0.0,0.0,0.0,125.0,03-Dec-2024,,4763.0,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4603.25,0.0,4603.25,4603.25,0.0,0.0,0.0,0.0,125.0,03-Dec-2024,,4763.0,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4800.0,4832.0,4727.8,4738.45,4732.0,4789.8,4738.45,1362.0,813854231.25,183625.0,83750.0,125.0,04-Dec-2024,,4715.35,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,0.0,0.0,0.0,4577.55,0.0,4577.55,4577.55,0.0,0.0,0.0,0.0,125.0,04-Dec-2024,,4715.35,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4603.25,0.0,4603.25,4603.25,0.0,0.0,0.0,0.0,125.0,04-Dec-2024,,4715.35,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4764.4,4783.25,4671.3,4776.6,4779.0,4738.45,4776.6,679.0,402397856.25,190500.0,6875.0,125.0,05-Dec-2024,,4757.95,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4773.05,4806.8,4773.05,4806.8,4806.8,4577.55,4806.8,4.0,2391350.0,375.0,375.0,125.0,05-Dec-2024,,4757.95,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4603.25,0.0,4603.25,4603.25,0.0,0.0,0.0,0.0,125.0,05-Dec-2024,,4757.95,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4769.9,4839.95,4711.1,4765.9,4786.7,4776.6,4765.9,912.0,544461868.75,210375.0,19875.0,125.0,06-Dec-2024,,4738.4,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4808.1,4808.1,4796.0,4796.0,4796.0,4806.8,4796.0,4.0,2401275.0,625.0,250.0,125.0,06-Dec-2024,,4738.4,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4816.65,4816.65,4816.65,4816.65,4816.65,4603.25,4816.65,1.0,602081.25,125.0,125.0,125.0,06-Dec-2024,,4738.4,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4776.1,5076.6,4766.25,5040.95,5054.5,4765.9,5040.95,3855.0,2380921943.75,316750.0,106375.0,125.0,09-Dec-2024,,5012.75,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4800.05,5092.3,4800.05,5073.45,5078.1,4796.0,5073.45,43.0,26822531.25,2375.0,1750.0,125.0,09-Dec-2024,,5012.75,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,5085.6,5093.4,5057.2,5075.3,5093.4,4816.65,5075.3,4.0,2540225.0,500.0,375.0,125.0,09-Dec-2024,,5012.75,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,5051.1,5073.2,4889.0,4938.6,4936.1,5040.95,4938.6,1259.0,781751587.5,312250.0,-4500.0,125.0,10-Dec-2024,,4921.8,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,5073.45,5073.45,4922.95,4974.1,4980.9,5073.45,4974.1,28.0,17435293.75,4375.0,2000.0,125.0,10-Dec-2024,,4921.8,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4985.0,4985.0,4954.9,4954.9,4954.9,5075.3,4954.9,4.0,2488225.0,375.0,-125.0,125.0,10-Dec-2024,,4921.8,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4938.45,4979.0,4915.65,4967.05,4969.35,4938.6,4967.05,581.0,359650775.0,316250.0,4000.0,125.0,11-Dec-2024,,4957.8,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4974.25,5014.6,4960.0,5005.5,5014.6,4974.1,5005.5,25.0,15581662.5,4875.0,500.0,125.0,11-Dec-2024,,4957.8,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4989.0,4989.0,4989.0,4989.0,4989.0,4954.9,4989.0,1.0,623625.0,500.0,125.0,125.0,11-Dec-2024,,4957.8,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4967.05,4987.6,4828.1,4848.5,4842.25,4967.05,4848.5,1131.0,688355987.5,332125.0,15875.0,125.0,12-Dec-2024,,4847.35,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4975.7,4975.7,4868.85,4878.1,4873.4,5005.5,4878.1,25.0,15299956.25,5500.0,625.0,125.0,12-Dec-2024,,4847.35,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4942.95,4942.95,4936.0,4936.0,4936.0,4989.0,4936.0,2.0,1234868.75,625.0,125.0,125.0,12-Dec-2024,,4847.35,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4840.75,4840.75,4752.75,4819.1,4815.4,4848.5,4819.1,799.0,479378031.25,341500.0,9375.0,125.0,13-Dec-2024,,4803.75,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4879.0,4879.05,4791.8,4850.6,4842.8,4878.1,4850.6,52.0,31463106.25,8375.0,2875.0,125.0,13-Dec-2024,,4803.75,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4840.0,4883.95,4840.0,4879.75,4879.75,4936.0,4879.75,4.0,2432462.5,1000.0,375.0,125.0,13-Dec-2024,,4803.75,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4786.25,4954.95,4786.25,4912.85,4906.0,4819.1,4912.85,919.0,561016325.0,350875.0,9375.0,125.0,16-Dec-2024,,4901.4,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4859.0,4985.55,4848.05,4946.35,4948.55,4850.6,4946.35,79.0,48577906.25,9875.0,1500.0,125.0,16-Dec-2024,,4901.4,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4879.75,4879.75,4879.75,4879.75,0.0,0.0,1000.0,0.0,125.0,16-Dec-2024,,4901.4,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4899.7,4997.25,4899.7,4973.7,4975.1,4912.85,4973.7,1436.0,889829737.5,291500.0,-59375.0,125.0,17-Dec-2024,,4969.55,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4999.9,5033.05,4940.05,5006.85,5023.45,4946.35,5006.85,57.0,35575256.25,9625.0,-250.0,125.0,17-Dec-2024,,4969.55,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,5007.95,5020.0,4998.4,4998.4,4998.4,4879.75,4998.4,4.0,2504568.75,875.0,-125.0,125.0,17-Dec-2024,,4969.55,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4992.8,5148.8,4977.05,5100.7,5100.0,4973.7,5100.7,3259.0,2068793443.75,279750.0,-11750.0,125.0,18-Dec-2024,,5105.15,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,5033.7,5177.1,5020.0,5134.9,5134.8,5006.85,5134.9,242.0,154919293.75,17000.0,7375.0,125.0,18-Dec-2024,,5105.15,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,5096.15,5191.4,5096.15,5191.4,5191.4,4998.4,5191.4,6.0,3864175.0,1125.0,250.0,125.0,18-Dec-2024,,5105.15,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,5033.0,5090.0,4961.25,5025.35,5032.2,5100.7,5025.35,1030.0,648051831.25,257500.0,-22250.0,125.0,19-Dec-2024,,5028.5,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,5022.15,5128.25,5007.7,5061.35,5045.05,5134.9,5061.35,185.0,117557668.75,30375.0,13375.0,125.0,19-Dec-2024,,5028.5,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,5050.0,5081.45,5050.0,5081.45,5081.45,5191.4,5081.45,4.0,2528931.25,750.0,-375.0,125.0,19-Dec-2024,,5028.5,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,5008.2,5031.2,4830.95,4848.95,4862.0,5025.35,4848.95,1122.0,693135456.25,207750.0,-49750.0,125.0,20-Dec-2024,,4839.8,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,5040.8,5070.0,4865.0,4883.55,4880.45,5061.35,4883.55,852.0,526574743.75,78500.0,48125.0,125.0,20-Dec-2024,,4839.8,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,5065.6,5065.6,4895.0,4895.0,4895.0,5081.45,4895.0,2.0,1245075.0,750.0,0.0,125.0,20-Dec-2024,,4839.8,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4841.1,4841.15,4733.55,4771.1,4767.85,4848.95,4771.1,1054.0,631358062.5,165625.0,-42125.0,125.0,23-Dec-2024,,4765.55,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4861.2,4878.9,4765.55,4807.35,4805.8,4883.55,4807.35,1294.0,780538506.25,168625.0,90125.0,125.0,23-Dec-2024,,4765.55,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4912.25,4912.25,4912.25,4912.25,4912.25,4895.0,4912.25,2.0,1222431.25,1000.0,250.0,125.0,23-Dec-2024,,4765.55,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4817.0,4817.0,4658.0,4765.8,4765.6,4771.1,4765.8,1589.0,937366237.5,49000.0,-116625.0,125.0,24-Dec-2024,,4761.85,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4833.3,4844.55,4686.25,4800.5,4794.4,4807.35,4800.5,3011.0,1790476437.5,372875.0,204250.0,125.0,24-Dec-2024,,4761.85,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4912.25,4912.25,4912.25,4912.25,0.0,0.0,1000.0,0.0,125.0,24-Dec-2024,,4761.85,
FUTSTK,SUPREMEIND,26-Dec-2024,,XX,N,4753.25,4787.6,4717.65,4763.05,4777.95,4765.8,4763.05,772.0,458694225.0,37750.0,-11250.0,125.0,26-Dec-2024,,4756.2,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4779.6,4813.8,4754.6,4784.5,4782.0,4800.5,4784.5,1174.0,701559212.5,382125.0,9250.0,125.0,26-Dec-2024,,4756.2,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,0.0,0.0,0.0,4912.25,4912.25,4912.25,4912.25,0.0,0.0,1000.0,0.0,125.0,26-Dec-2024,,4756.2,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4829.15,4850.0,4770.0,4795.4,4770.0,4784.5,4795.4,1108.0,664606412.5,382750.0,625.0,125.0,27-Dec-2024,,4777.3,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4840.0,4840.0,4816.6,4817.35,4817.35,4912.25,4817.35,5.0,3017156.25,1250.0,250.0,125.0,27-Dec-2024,,4777.3,
FUTSTK,SUPREMEIND,27-Mar-2025,,XX,N,0.0,0.0,0.0,4844.05,0.0,4844.05,4844.05,0.0,0.0,0.0,0.0,125.0,27-Dec-2024,,4777.3,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4756.8,4803.55,4631.75,4678.55,4719.55,4795.4,4678.55,1497.0,881417925.0,439750.0,57000.0,125.0,30-Dec-2024,,4643.55,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4793.5,4807.2,4670.0,4714.05,4750.85,4817.35,4714.05,16.0,9522618.75,2000.0,750.0,125.0,30-Dec-2024,,4643.55,
FUTSTK,SUPREMEIND,27-Mar-2025,,XX,N,4744.75,4744.75,4744.75,4744.75,4744.75,4844.05,4744.75,1.0,593093.75,125.0,125.0,125.0,30-Dec-2024,,4643.55,
FUTSTK,SUPREMEIND,30-Jan-2025,,XX,N,4649.95,4773.95,4648.65,4733.85,4728.0,4678.55,4733.85,632.0,373330781.25,455625.0,15875.0,125.0,31-Dec-2024,,4700.5,
FUTSTK,SUPREMEIND,27-Feb-2025,,XX,N,4750.0,4787.0,4715.0,4757.9,4758.05,4714.05,4757.9,32.0,18970300.0,3000.0,1000.0,125.0,31-Dec-2024,,4700.5,
FUTSTK,SUPREMEIND,27-Mar-2025,,XX,N,0.0,0.0,0.0,4744.75,4744.75,4744.75,4744.75,0.0,0.0,125.0,0.0,125.0,31-Dec-2024,,4700.5,
