FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SUZLON,28-Aug-2025,0.0,FF,,,,,,,,,,,,,,31-Jul-2025,2025-07-30T18:30:00.000+00:00,61.6,
FUTSTK,SUZLON,30-Sep-2025,0.0,FF,,,,,,,,,,,,,,31-Jul-2025,2025-07-30T18:30:00.000+00:00,61.6,
FUTSTK,SUZLON,28-Oct-2025,0.0,FF,,,,,,,,,,,,,,31-Jul-2025,2025-07-30T18:30:00.000+00:00,61.6,
FUTSTK,SUZLON,28-Aug-2025,,XX,N,62.9,67.13,62.76,66.26,66.2,61.88,66.26,8922.0,4693024480.0,39960000.0,39960000.0,8000.0,01-Aug-2025,,65.95,
FUTSTK,SUZLON,30-Sep-2025,,XX,N,65.22,67.11,64.99,66.44,66.2,62.23,66.44,164.0,86899200.0,576000.0,576000.0,8000.0,01-Aug-2025,,65.95,
FUTSTK,SUZLON,28-Oct-2025,,XX,N,65.5,67.47,65.31,66.61,66.55,62.52,66.61,43.0,22740240.0,176000.0,176000.0,8000.0,01-Aug-2025,,65.95,
FUTSTK,SUZLON,28-Aug-2025,,XX,N,66.97,67.14,65.0,65.29,65.42,66.26,65.29,3160.0,1662420400.0,52448000.0,12488000.0,8000.0,04-Aug-2025,,65.0,
FUTSTK,SUZLON,30-Sep-2025,,XX,N,66.51,67.25,65.3,65.52,65.56,66.44,65.52,204.0,107865040.0,1472000.0,896000.0,8000.0,04-Aug-2025,,65.0,
FUTSTK,SUZLON,28-Oct-2025,,XX,N,66.98,66.98,65.48,65.74,65.68,66.61,65.74,34.0,17991920.0,368000.0,192000.0,8000.0,04-Aug-2025,,65.0,
FUTSTK,SUZLON,28-Aug-2025,,XX,N,65.29,66.4,65.02,65.75,65.81,65.29,65.75,2282.0,1201102720.0,61160000.0,8712000.0,8000.0,05-Aug-2025,,65.44,
FUTSTK,SUZLON,30-Sep-2025,,XX,N,65.47,66.6,65.4,65.93,65.99,65.52,65.93,111.0,58548720.0,1800000.0,328000.0,8000.0,05-Aug-2025,,65.44,
FUTSTK,SUZLON,28-Oct-2025,,XX,N,65.68,66.73,65.68,65.87,65.87,65.74,65.87,17.0,8984880.0,464000.0,96000.0,8000.0,05-Aug-2025,,65.44,
FUTSTK,SUZLON,28-Aug-2025,,XX,N,65.94,65.95,64.84,65.52,65.36,65.75,65.52,1838.0,959975440.0,64024000.0,2864000.0,8000.0,06-Aug-2025,,65.26,
FUTSTK,SUZLON,30-Sep-2025,,XX,N,66.12,66.13,65.16,65.82,65.71,65.93,65.82,98.0,51434640.0,2120000.0,320000.0,8000.0,06-Aug-2025,,65.26,
FUTSTK,SUZLON,28-Oct-2025,,XX,N,66.12,66.12,65.31,66.06,66.06,65.87,66.06,9.0,4728880.0,504000.0,40000.0,8000.0,06-Aug-2025,,65.26,
FUTSTK,SUZLON,28-Aug-2025,,XX,N,65.16,65.6,62.34,64.51,64.58,65.52,64.51,3222.0,1650382800.0,66736000.0,2712000.0,8000.0,07-Aug-2025,,64.21,
FUTSTK,SUZLON,30-Sep-2025,,XX,N,65.5,65.8,62.89,64.8,64.91,65.82,64.8,168.0,86841600.0,2832000.0,712000.0,8000.0,07-Aug-2025,,64.21,
