FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,398.8,398.8,387.1,388.4,387.5,395.9,388.4,3352.0,1710564310.0,2541500.0,2541500,1300,31-Dec-2025,,386.25,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,397.7,397.7,388.5,389.2,388.55,397.75,389.2,26.0,13245050.0,16900.0,16900,1300,31-Dec-2025,,386.25,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,394.75,396.0,391.0,391.0,391.0,400.0,391.0,16.0,8203065.0,15600.0,15600,1300,31-Dec-2025,,386.25,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,389.85,396.2,388.7,393.25,392.65,388.4,393.25,2868.0,1462225570.0,5014100.0,2472600,1300,01-Jan-2026,,390.7,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,390.0,395.55,390.0,393.9,393.7,389.2,393.9,26.0,13283855.0,18200.0,1300,1300,01-Jan-2026,,390.7,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,391.0,398.3,391.0,398.3,398.3,391.0,398.3,9.0,4620460.0,24700.0,9100,1300,01-Jan-2026,,390.7,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,392.55,392.55,381.85,388.7,388.7,393.25,388.7,2781.0,1395158635.0,7034300.0,2020200,1300,02-Jan-2026,,387.2,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,391.2,393.05,384.0,390.05,389.6,393.9,390.05,36.0,18160545.0,37700.0,19500,1300,02-Jan-2026,,387.2,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,393.0,393.0,385.4,391.5,391.5,398.3,391.5,8.0,4045145.0,32500.0,7800,1300,02-Jan-2026,,387.2,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,387.1,391.0,378.1,379.85,379.25,388.7,379.85,2719.0,1347569275.0,8299200.0,1264900,1300,05-Jan-2026,,378.4,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,391.55,391.55,378.75,378.95,379.0,390.05,378.95,94.0,46758595.0,78000.0,40300,1300,05-Jan-2026,,378.4,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,389.7,389.7,380.55,381.3,380.55,391.5,381.3,18.0,8993400.0,39000.0,6500,1300,05-Jan-2026,,378.4,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,378.1,379.25,356.05,362.25,364.95,379.85,362.25,12206.0,5745356565.0,13858000.0,5558800,1300,06-Jan-2026,,361.0,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,375.0,375.0,355.9,360.75,364.55,378.95,360.75,634.0,298021815.0,266500.0,188500,1300,06-Jan-2026,,361.0,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,370.0,370.0,357.0,362.95,364.0,381.3,362.95,133.0,62507380.0,135200.0,96200,1300,06-Jan-2026,,361.0,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,364.0,366.45,359.6,363.1,363.9,362.25,363.1,5117.0,2414246185.0,16675100.0,2817100,1300,07-Jan-2026,,361.85,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,364.65,365.75,359.3,362.8,363.7,360.75,362.8,273.0,128617515.0,361400.0,94900,1300,07-Jan-2026,,361.85,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,365.0,365.95,360.0,363.3,363.5,362.95,363.3,23.0,10831990.0,145600.0,10400,1300,07-Jan-2026,,361.85,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,363.9,363.9,351.6,353.0,351.9,363.1,353.0,5525.0,2552850560.0,18499000.0,1823900,1300,08-Jan-2026,,352.85,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,361.9,361.9,351.7,352.45,352.25,362.8,352.45,211.0,97579820.0,391300.0,29900,1300,08-Jan-2026,,352.85,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,358.0,359.0,353.1,353.25,353.3,363.3,353.25,35.0,16231605.0,180700.0,35100,1300,08-Jan-2026,,352.85,
FUTSTK,SWIGGY,27-Jan-2026,,XX,N,351.8,358.95,349.85,351.8,352.0,353.0,351.8,6505.0,2985308820.0,20906600.0,2407600,1300,09-Jan-2026,,351.65,
FUTSTK,SWIGGY,24-Feb-2026,,XX,N,351.2,358.75,350.25,351.65,351.5,352.45,351.65,152.0,69716725.0,422500.0,31200,1300,09-Jan-2026,,351.65,
FUTSTK,SWIGGY,30-Mar-2026,,XX,N,356.05,356.2,351.5,352.7,352.9,353.25,352.7,10.0,4599530.0,188500.0,7800,1300,09-Jan-2026,,351.65,
