FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,587.0,609.95,587.0,604.7,604.7,4380.0,35778.72,12837150.0,650700.0,01-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,597.7,610.45,596.15,607.35,605.35,42.0,343.55,89100.0,20250.0,01-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,608.85,613.0,608.85,611.2,611.2,5.0,41.27,4050.0,4050.0,01-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,604.9,610.25,599.9,607.45,607.45,3090.0,25295.83,12614400.0,-222750.0,04-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,607.7,611.5,605.0,609.7,609.7,50.0,410.73,90450.0,1350.0,04-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,610.9,611.9,609.5,609.5,609.65,5.0,41.23,8100.0,4050.0,04-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,606.95,616.75,604.0,612.0,612.0,3895.0,32165.79,12804750.0,190350.0,05-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,607.25,618.0,607.25,614.4,614.4,62.0,514.23,106650.0,16200.0,05-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,616.5,620.0,615.0,615.0,615.0,5.0,41.62,5400.0,-2700.0,05-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,614.9,615.4,597.95,607.85,607.85,2603.0,21359.88,12503700.0,-301050.0,06-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,614.45,615.5,600.95,609.85,609.85,43.0,353.52,98550.0,-8100.0,06-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,611.0,611.0,611.0,611.0,610.45,1.0,8.24,6750.0,1350.0,06-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,611.1,612.0,601.8,604.1,604.1,2175.0,17824.31,12599550.0,95850.0,07-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,612.0,613.6,604.6,607.3,607.3,29.0,238.46,113400.0,14850.0,07-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,613.0,615.5,613.0,615.5,606.25,2.0,16.58,8100.0,1350.0,07-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,608.35,614.35,606.0,611.5,611.5,3099.0,25538.92,12523950.0,-75600.0,08-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,613.0,615.6,609.0,614.65,614.65,39.0,322.33,122850.0,9450.0,08-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,615.5,614.95,0.0,0.0,8100.0,0.0,08-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,28-Jan-2021,0.0,XX,613.5,635.85,611.0,631.9,631.9,9302.0,78424.09,13547250.0,1023300.0,11-Jan-2021,,,N,,,,
FUTSTK,TATACONSUM,25-Feb-2021,0.0,XX,616.8,635.05,614.2,633.6,633.6,331.0,2806.19,371250.0,248400.0,11-Jan-2021,,,N,,,,
