FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,76.25,78.1,76.15,77.8,77.8,2164.0,22563.11,88087500.0,742500.0,01-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,76.2,78.25,76.2,78.15,78.15,38.0,396.19,985500.0,121500.0,01-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,76.3,78.1,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,78.25,79.75,78.1,79.5,79.5,2694.0,28745.77,84429000.0,-3658500.0,04-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,78.65,79.95,78.65,79.75,79.75,60.0,641.91,1107000.0,121500.0,04-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,79.5,80.15,79.5,80.15,80.0,3.0,32.36,40500.0,40500.0,04-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,78.55,82.35,78.0,81.25,81.25,5224.0,56809.3,82471500.0,-1957500.0,05-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,79.4,82.6,78.45,81.55,81.55,79.0,861.52,1296000.0,189000.0,05-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,79.6,82.1,79.0,81.9,81.9,7.0,76.63,108000.0,67500.0,05-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,82.05,83.65,80.95,82.85,82.85,4912.0,54696.96,78124500.0,-4347000.0,06-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,82.9,83.95,81.35,83.3,83.3,100.0,1118.98,1444500.0,148500.0,06-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,82.15,83.4,82.15,82.45,83.2,9.0,100.58,121500.0,13500.0,06-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,83.25,83.9,81.7,82.3,82.3,3614.0,40343.03,79339500.0,1215000.0,07-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,83.85,84.05,82.25,82.7,82.7,129.0,1446.16,1863000.0,418500.0,07-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,84.2,84.2,82.65,83.35,82.6,12.0,135.09,229500.0,108000.0,07-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,84.05,84.85,82.75,83.35,83.35,3695.0,41724.72,84361500.0,5022000.0,08-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,84.5,85.0,83.15,83.75,83.75,147.0,1667.68,2011500.0,148500.0,08-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,84.5,85.5,83.5,83.5,83.8,16.0,182.64,351000.0,121500.0,08-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,83.95,84.0,82.25,83.55,83.55,2066.0,23225.92,82633500.0,-1728000.0,11-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,84.15,84.35,82.8,83.85,83.85,91.0,1026.91,2146500.0,135000.0,11-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,84.0,84.35,82.85,84.2,84.2,14.0,158.5,432000.0,81000.0,11-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,28-Jan-2021,0.0,XX,83.2,87.6,83.05,86.45,86.45,5028.0,58428.56,85414500.0,2781000.0,12-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Feb-2021,0.0,XX,83.75,87.9,83.55,86.75,86.75,320.0,3723.54,2902500.0,756000.0,12-Jan-2021,,,N,,,,
FUTSTK,TATAPOWER,25-Mar-2021,0.0,XX,85.0,88.0,85.0,87.0,87.0,32.0,374.41,472500.0,40500.0,12-Jan-2021,,,N,,,,
