FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,646.25,652.4,642.5,645.0,645.0,7052.0,77562.77,37592100.0,-392700.0,01-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,649.4,653.75,644.75,647.2,647.2,191.0,2106.76,268600.0,22100.0,01-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,655.0,655.0,655.0,655.0,649.35,1.0,11.13,1700.0,1700.0,01-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,649.7,699.95,649.3,695.1,695.1,28363.0,325664.6,40936000.0,3343900.0,04-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,653.1,702.15,652.65,697.7,697.7,426.0,4908.05,428400.0,159800.0,04-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,654.0,702.0,654.0,698.15,698.15,8.0,92.28,6800.0,5100.0,04-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,687.65,696.0,676.4,682.2,682.2,18023.0,209875.32,37989900.0,-2946100.0,05-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,692.7,697.8,679.55,685.2,685.2,259.0,3029.27,467500.0,39100.0,05-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,697.85,697.85,683.0,683.0,686.85,14.0,164.37,15300.0,8500.0,05-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,685.0,698.4,676.6,686.3,686.3,18910.0,220930.21,36638400.0,-1351500.0,06-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,688.7,700.5,680.0,688.2,688.2,363.0,4249.8,533800.0,66300.0,06-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,694.15,701.0,684.4,691.9,691.9,15.0,175.88,20400.0,5100.0,06-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,694.85,733.9,694.5,724.1,724.1,30830.0,377247.14,39428100.0,2789700.0,07-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,699.7,736.0,699.7,726.45,726.45,413.0,5074.83,540600.0,6800.0,07-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,706.75,737.75,706.75,731.2,731.2,26.0,320.58,44200.0,23800.0,07-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,728.5,729.45,704.35,713.95,713.95,15719.0,191647.6,37915100.0,-1513000.0,08-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,728.7,729.45,707.95,716.8,716.8,345.0,4222.54,593300.0,52700.0,08-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,726.5,728.0,710.6,718.95,718.95,76.0,928.69,127500.0,83300.0,08-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,710.0,712.0,690.0,698.3,698.3,15632.0,185406.3,37478200.0,-436900.0,11-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,711.15,711.2,693.6,700.95,700.95,398.0,4740.92,754800.0,161500.0,11-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,715.0,715.0,698.0,702.8,702.8,48.0,574.07,171700.0,44200.0,11-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,695.2,726.5,693.95,698.35,698.35,18954.0,229012.53,38159900.0,681700.0,12-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,698.1,728.1,697.5,700.8,700.8,442.0,5355.17,795600.0,40800.0,12-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,705.0,730.0,702.0,702.0,702.0,34.0,411.53,190400.0,18700.0,12-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,705.3,717.1,694.35,711.5,711.5,17849.0,214697.87,37983100.0,-176800.0,13-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,710.8,719.1,697.8,714.1,714.1,580.0,7002.65,918000.0,122400.0,13-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,712.25,713.25,708.0,711.0,715.05,14.0,169.22,204000.0,13600.0,13-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,712.05,715.55,698.65,708.45,708.45,9205.0,110529.62,37874300.0,-108800.0,14-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,717.65,718.3,702.0,711.05,711.05,227.0,2733.34,974100.0,56100.0,14-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,707.9,713.4,706.75,713.4,713.4,13.0,156.83,202300.0,-1700.0,14-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,713.0,723.55,700.2,708.85,708.85,18880.0,228945.97,39067700.0,1193400.0,15-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,717.9,725.8,703.1,711.0,711.0,555.0,6744.99,1069300.0,95200.0,15-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,720.0,726.0,710.05,710.85,710.85,14.0,170.83,202300.0,0.0,15-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,708.5,709.2,661.1,668.0,668.0,23781.0,273876.33,37547900.0,-1519800.0,18-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,710.0,711.7,663.6,669.85,669.85,984.0,11359.91,1603100.0,533800.0,18-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,702.0,702.0,668.0,671.0,671.0,25.0,289.93,202300.0,0.0,18-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,673.05,687.0,653.0,684.35,684.35,23111.0,264309.97,39414500.0,1866600.0,19-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,670.45,689.0,655.55,686.5,686.5,1464.0,16780.73,2597600.0,994500.0,19-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,672.2,682.75,660.55,680.0,686.25,19.0,217.4,205700.0,3400.0,19-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,692.0,701.35,683.65,690.7,690.7,16773.0,197352.49,38066400.0,-1348100.0,20-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,695.0,703.75,686.5,692.9,692.9,1244.0,14682.22,2618000.0,20400.0,20-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,698.75,705.0,690.0,697.0,697.0,15.0,177.74,204000.0,-1700.0,20-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,691.05,695.65,662.65,667.8,667.8,16228.0,187335.44,32993600.0,-5072800.0,21-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,696.0,698.55,665.45,670.3,670.3,4109.0,47552.46,7413700.0,4795700.0,21-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,697.0,697.15,669.7,672.75,672.75,24.0,278.25,204000.0,0.0,21-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,670.1,676.3,634.2,647.5,647.5,24971.0,276668.34,25481300.0,-7512300.0,22-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,671.75,678.55,637.0,649.45,649.45,8477.0,93806.49,15094300.0,7680600.0,22-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,675.0,678.5,640.0,652.0,652.0,163.0,1793.84,158100.0,-45900.0,22-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,649.15,662.5,631.35,651.2,651.2,18748.0,207524.84,15296600.0,-10184700.0,25-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,653.85,664.3,633.8,653.0,653.0,10370.0,115227.77,24330400.0,9236100.0,25-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,660.1,664.5,637.45,655.5,655.5,51.0,567.93,173400.0,15300.0,25-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,651.0,651.95,625.6,627.35,627.35,14057.0,152379.0,8571400.0,-6725200.0,27-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,651.0,653.9,627.25,629.15,629.15,10724.0,116418.0,31111700.0,6781300.0,27-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,646.9,649.0,629.35,631.35,631.35,140.0,1513.17,202300.0,28900.0,27-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,28-Jan-2021,0.0,XX,618.2,631.75,614.25,624.5,623.7,10394.0,110184.11,2412300.0,-6159100.0,28-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,623.85,633.9,615.55,627.2,627.2,17691.0,188264.16,38785500.0,7673800.0,28-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,620.0,636.5,620.0,629.0,629.0,210.0,2243.47,222700.0,20400.0,28-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,631.7,636.55,598.55,604.35,604.35,26812.0,279782.88,40966600.0,2181100.0,29-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,634.75,638.4,601.0,605.8,605.8,343.0,3593.44,277100.0,54400.0,29-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,29-Apr-2021,0.0,XX,610.0,622.6,605.0,606.4,606.4,9.0,93.21,10200.0,10200.0,29-Jan-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Feb-2021,0.0,XX,607.0,641.85,599.7,638.5,638.5,23006.0,242903.85,39795300.0,-1171300.0,01-Feb-2021,,,N,,,,,
FUTSTK,TATASTEEL,25-Mar-2021,0.0,XX,611.85,643.45,601.45,640.55,640.55,400.0,4230.6,319600.0,42500.0,01-Feb-2021,,,N,,,,,
