FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TECHM,28-Jan-2021,0.0,XX,979.95,985.65,975.2,982.6,982.6,1631.0,19209.7,10780800.0,9600.0,01-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,980.0,987.4,980.0,985.15,985.15,10.0,118.0,73200.0,8400.0,01-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,983.35,989.0,983.35,989.0,987.45,5.0,59.22,4800.0,4800.0,01-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,984.9,1008.9,978.05,1005.85,1005.85,4781.0,57119.49,11011200.0,230400.0,04-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,990.9,1011.35,982.35,1009.05,1009.05,56.0,672.18,92400.0,19200.0,04-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,992.65,1010.0,988.0,1010.0,1010.0,8.0,95.85,12000.0,7200.0,04-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1004.4,1013.2,997.3,1008.6,1008.6,4251.0,51316.08,11305200.0,294000.0,05-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1005.6,1016.0,1001.2,1010.65,1010.65,62.0,750.91,109200.0,16800.0,05-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1007.25,1014.0,1006.85,1010.5,1013.15,6.0,72.75,12000.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1007.3,1028.7,987.1,999.65,999.65,6025.0,72927.41,11373600.0,68400.0,06-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1006.0,1031.15,991.0,1004.65,1004.65,95.0,1153.52,123600.0,14400.0,06-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1007.7,1032.0,1000.0,1000.0,1006.25,14.0,170.98,15600.0,3600.0,06-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1005.0,1011.85,990.75,996.95,996.95,2870.0,34435.75,11089200.0,-284400.0,07-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,997.15,1013.0,994.15,1001.0,1001.0,40.0,480.77,134400.0,10800.0,07-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1006.25,1006.25,1006.25,1006.25,1003.7,1.0,12.07,15600.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1008.0,1061.95,1006.8,1052.65,1052.65,8280.0,103316.81,10443600.0,-645600.0,08-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1013.0,1064.95,1013.0,1056.55,1056.55,153.0,1918.01,146400.0,12000.0,08-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1034.0,1042.0,1034.0,1042.0,1060.45,3.0,37.39,16800.0,1200.0,08-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1066.25,1084.55,1043.15,1080.8,1080.8,8413.0,107572.15,11475600.0,1032000.0,11-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1066.4,1087.9,1047.2,1084.6,1084.6,241.0,3091.2,202800.0,56400.0,11-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1069.0,1089.0,1049.5,1089.0,1086.8,12.0,152.88,19200.0,2400.0,11-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1075.9,1078.75,1056.2,1069.85,1069.85,5094.0,65276.05,11805600.0,330000.0,12-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1071.05,1081.15,1061.0,1073.05,1073.05,108.0,1388.3,217200.0,14400.0,12-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1072.2,1082.8,1065.0,1078.95,1073.15,9.0,116.17,25200.0,6000.0,12-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1072.9,1080.0,1054.0,1074.75,1074.75,5291.0,67902.91,11737200.0,-68400.0,13-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1075.0,1083.15,1060.0,1077.15,1077.15,69.0,889.61,226800.0,9600.0,13-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1078.45,1083.0,1072.55,1083.0,1083.0,8.0,103.55,25200.0,0.0,13-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1061.7,1068.9,1033.0,1057.85,1057.85,6306.0,79710.46,12147600.0,410400.0,14-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1065.05,1077.15,1038.15,1061.25,1061.25,188.0,2385.08,278400.0,51600.0,14-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1057.0,1070.0,1045.1,1063.35,1063.35,10.0,127.08,28800.0,3600.0,14-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1045.0,1067.75,1007.55,1012.1,1012.1,6386.0,78895.47,12356400.0,208800.0,15-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1060.45,1065.8,1011.25,1015.5,1015.5,338.0,4172.63,411600.0,133200.0,15-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1067.55,1069.55,1015.0,1016.0,1016.0,9.0,112.3,36000.0,7200.0,15-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1002.85,1016.9,994.4,998.85,998.85,3983.0,48082.51,11878800.0,-477600.0,18-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1008.6,1019.0,998.05,1002.55,1002.55,276.0,3341.95,555600.0,144000.0,18-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1004.45,1020.0,1004.45,1008.5,1005.95,6.0,72.73,36000.0,0.0,18-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1007.2,1009.8,989.95,997.6,997.6,4344.0,52098.09,12058800.0,180000.0,19-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Feb-2021,0.0,XX,1019.9,1019.9,994.35,1000.1,1000.1,618.0,7431.64,919200.0,363600.0,19-Jan-2021,,,N,,,,,
FUTSTK,TECHM,25-Mar-2021,0.0,XX,1012.55,1012.55,997.65,1004.95,1000.05,11.0,132.55,43200.0,7200.0,19-Jan-2021,,,N,,,,,
FUTSTK,TECHM,28-Jan-2021,0.0,XX,1000.25,1026.65,999.85,1023.05,1023.05,5936.0,72606.28,12196800.0,138000.0,20-Jan-2021,,,N,,,,,
