FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,946.2,946.9,933.05,939.2,940.45,941.05,939.2,11935800.0,11215884513.75,61074075.0,397575.0,1425.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,933.8,11215884513.75
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,951.8,952.25,940.45,946.6,947.15,948.15,946.6,1254000.0,1186986810.0,3595275.0,243675.0,1425.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,933.8,1186986810.0
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,958.4,959.15,948.45,954.2,954.15,955.45,954.2,215175.0,205479442.5,809400.0,55575.0,1425.0,07-Feb-2024,2024-02-06T18:30:00.000+00:00,933.8,205479442.5
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,938.95,942.8,924.05,929.2,930.95,939.2,929.2,17479050.0,16281877503.75,61578525.0,504450.0,1425.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,924.3,16281877503.75
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,947.7,949.55,932.0,935.9,937.4,946.6,935.9,1501950.0,1409184566.25,3861750.0,266475.0,1425.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,924.3,1409184566.25
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,954.65,955.0,939.5,944.4,945.2,954.2,944.4,199500.0,188878620.0,840750.0,31350.0,1425.0,08-Feb-2024,2024-02-07T18:30:00.000+00:00,924.3,188878620.0
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,929.75,930.4,909.3,919.0,918.8,929.2,919.0,15495450.0,14233863870.0,62309550.0,731025.0,1425.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,915.0,14233863870.0
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,935.05,937.3,916.95,926.05,925.25,935.9,926.05,1554675.0,1438927308.75,4109700.0,247950.0,1425.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,915.0,1438927308.75
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,943.1,944.1,927.0,933.5,933.3,944.4,933.5,206625.0,192999648.75,877800.0,37050.0,1425.0,09-Feb-2024,2024-02-08T18:30:00.000+00:00,915.0,192999648.75
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,920.0,927.25,911.6,915.7,916.1,919.0,915.7,13509000.0,12424819601.25,62621625.0,312075.0,1425.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,911.6,12424819601.25
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,926.25,934.25,918.8,922.4,922.7,926.05,922.4,1229775.0,1139165235.0,4198050.0,88350.0,1425.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,911.6,1139165235.0
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,933.85,941.0,927.95,929.6,930.1,933.5,929.6,161025.0,150435326.25,892050.0,14250.0,1425.0,12-Feb-2024,2024-02-11T18:30:00.000+00:00,911.6,150435326.25
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,915.7,921.25,895.75,909.05,910.0,915.7,909.05,18925425.0,17212085085.0,62395050.0,-226575.0,1425.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,906.9,17212085085.0
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,923.2,927.9,903.35,915.7,916.95,922.4,915.7,1889550.0,1728185208.75,4463100.0,265050.0,1425.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,906.9,1728185208.75
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,931.2,932.0,911.0,923.25,924.25,929.6,923.25,215175.0,198308130.0,924825.0,32775.0,1425.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,906.9,198308130.0
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,903.1,921.6,897.55,919.8,921.25,909.05,919.8,14235750.0,12979514246.25,61564275.0,-830775.0,1425.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,918.3,12979514246.25
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,909.9,928.45,904.3,926.75,927.3,915.7,926.75,1653000.0,1516812963.75,4806525.0,343425.0,1425.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,918.3,1516812963.75
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,912.6,935.8,912.6,933.8,934.5,923.25,933.8,228000.0,210930637.5,946200.0,21375.0,1425.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,918.3,210930637.5
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,921.5,928.0,918.15,923.95,924.15,919.8,923.95,11001000.0,10157145281.25,61014225.0,-550050.0,1425.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,920.55,10157145281.25
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,931.3,934.7,925.65,930.6,931.0,926.75,930.6,1416450.0,1317182148.75,5031675.0,225150.0,1425.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,920.55,1317182148.75
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,938.25,941.9,934.0,938.1,937.7,933.8,938.1,153900.0,144366180.0,961875.0,15675.0,1425.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,920.55,144366180.0
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,926.2,951.0,926.2,941.6,941.25,923.95,941.6,26037600.0,24575332545.0,60120750.0,-893475.0,1425.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,938.6,24575332545.0
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,935.55,957.9,935.55,948.25,948.6,930.6,948.25,4200900.0,3993320321.25,5722800.0,691125.0,1425.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,938.6,3993320321.25
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,946.55,964.95,946.5,955.8,956.0,938.1,955.8,508725.0,487337175.0,1010325.0,48450.0,1425.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,938.6,487337175.0
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,944.05,944.8,931.8,933.75,935.1,941.6,933.75,10161675.0,9504668418.75,58865325.0,-1255425.0,1425.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,932.6,9504668418.75
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,949.95,951.7,939.0,940.6,942.45,948.25,940.6,3408600.0,3210813063.75,7880250.0,2157450.0,1425.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,932.6,3210813063.75
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,958.05,958.05,947.0,948.35,949.2,955.8,948.35,199500.0,189543881.25,1124325.0,114000.0,1425.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,932.6,189543881.25
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,934.95,934.95,921.65,927.6,927.5,933.75,927.6,10458075.0,9695518740.0,57951900.0,-913425.0,1425.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,926.35,9695518740.0
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,941.95,941.95,928.65,934.55,934.25,940.6,934.55,2547900.0,2378673127.5,8973225.0,1092975.0,1425.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,926.35,2378673127.5
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,945.0,945.0,936.2,941.95,941.2,948.35,941.95,219450.0,206570422.5,1219800.0,95475.0,1425.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,926.35,206570422.5
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,929.6,937.2,918.35,922.4,921.95,927.6,922.4,12470175.0,11573717831.25,56529750.0,-1422150.0,1425.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,921.05,11573717831.25
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,933.45,943.95,925.1,928.9,927.8,934.55,928.9,3304575.0,3087521137.5,10144575.0,1171350.0,1425.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,921.05,3087521137.5
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,945.5,951.0,933.0,936.35,935.25,941.95,936.35,159600.0,150325031.25,1256850.0,37050.0,1425.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,921.05,150325031.25
FUTSTK,TATAMOTORS,29-Feb-2024,0.0,XX,N,926.1,932.9,916.5,931.8,932.5,922.4,931.8,13101450.0,12132589863.75,54920925.0,-1608825.0,1425.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,932.3,12132589863.75
FUTSTK,TATAMOTORS,28-Mar-2024,0.0,XX,N,933.0,939.7,923.1,938.6,939.5,928.9,938.6,4916250.0,4584326531.25,12175200.0,2030625.0,1425.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,932.3,4584326531.25
FUTSTK,TATAMOTORS,25-Apr-2024,0.0,XX,N,939.0,946.55,930.75,945.45,946.0,936.35,945.45,203775.0,191347361.25,1241175.0,-15675.0,1425.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,932.3,191347361.25
