FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2820.0,2829.55,2802.05,2812.45,2812.45,676.0,4759.68,730500.0,19250.0,01-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Feb-2021,0.0,XX,2835.15,2838.05,2814.0,2827.05,2827.05,93.0,656.44,13750.0,-2500.0,01-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2826.5,2822.2,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2814.35,2834.75,2797.0,2809.25,2809.25,1453.0,10223.71,733000.0,2500.0,04-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Feb-2021,0.0,XX,2826.65,2841.3,2800.95,2816.3,2816.3,76.0,536.15,16750.0,3000.0,04-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2826.5,2820.75,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2789.15,2838.0,2789.15,2823.75,2823.75,1270.0,8955.67,751750.0,18750.0,05-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Feb-2021,0.0,XX,2784.9,2837.0,2784.9,2831.0,2831.0,94.0,664.21,17750.0,1000.0,05-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2826.5,2835.4,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2847.65,2856.15,2778.9,2805.6,2805.6,1433.0,10090.2,760500.0,8750.0,06-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Feb-2021,0.0,XX,2842.6,2842.6,2776.85,2776.85,2806.95,23.0,162.27,17750.0,0.0,06-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2826.5,2816.1,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2799.95,2825.0,2775.15,2790.8,2790.8,1413.0,9898.13,805750.0,45250.0,07-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Feb-2021,0.0,XX,2809.65,2820.0,2780.0,2793.65,2793.65,15.0,104.91,18000.0,250.0,07-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,25-Mar-2021,0.0,XX,0.0,0.0,0.0,2826.5,2800.95,0.0,0.0,0.0,0.0,07-Jan-2021,,,N,,,,
FUTSTK,TORNTPHARM,28-Jan-2021,0.0,XX,2799.05,2870.5,2786.85,2859.15,2859.15,2241.0,15947.03,798750.0,-7000.0,08-Jan-2021,,,N,,,,
