FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,316.5,322.8,316.05,321.35,321.35,448.0,4301.47,2988000.0,-105000.0,01-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,317.3,322.05,317.3,322.05,322.9,4.0,38.35,117000.0,6000.0,01-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,323.95,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,321.7,323.4,319.8,321.7,321.7,501.0,4832.92,3183000.0,195000.0,04-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,321.3,321.3,320.3,320.4,321.95,8.0,76.95,120000.0,3000.0,04-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,323.0,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,319.0,323.2,318.05,322.2,322.2,597.0,5745.64,3255000.0,72000.0,05-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,317.1,321.0,317.1,321.0,322.45,2.0,19.14,120000.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,323.5,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,323.45,335.2,323.3,331.7,331.7,1714.0,16986.06,3462000.0,207000.0,06-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,322.5,332.0,322.5,329.75,329.75,28.0,276.26,141000.0,21000.0,06-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,333.1,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,332.9,336.0,331.2,333.95,333.95,879.0,8807.6,3471000.0,9000.0,07-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,334.0,334.0,330.8,333.8,333.8,16.0,159.53,150000.0,9000.0,07-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,335.05,0.0,0.0,0.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,339.0,349.6,335.25,337.5,337.5,3102.0,31801.97,4983000.0,1512000.0,08-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,340.5,346.85,335.1,337.45,337.45,32.0,325.83,180000.0,30000.0,08-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,338.95,0.0,0.0,0.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,338.45,342.8,333.3,335.8,335.8,1157.0,11711.05,4770000.0,-213000.0,11-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Feb-2021,0.0,XX,337.25,342.0,333.25,335.4,335.4,22.0,221.99,201000.0,21000.0,11-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,25-Mar-2021,0.0,XX,0.0,0.0,0.0,320.1,337.4,0.0,0.0,0.0,0.0,11-Jan-2021,,,N,,,,,
FUTSTK,TORNTPOWER,28-Jan-2021,0.0,XX,334.95,342.8,332.4,339.15,339.15,953.0,9670.3,4671000.0,-99000.0,12-Jan-2021,,,N,,,,,
