FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,TRENT,25-Mar-2021,0.0,XX,815.0,827.05,779.05,810.5,810.5,363.0,2121.05,92800.0,92800.0,26-Feb-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,0.0,0.0,0.0,824.6,814.5,0.0,0.0,0.0,0.0,26-Feb-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,817.15,817.15,817.15,817.15,817.15,1.0,5.92,725.0,725.0,26-Feb-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,811.1,842.0,806.95,836.95,836.95,272.0,1633.76,143550.0,50750.0,01-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,0.0,0.0,0.0,824.6,835.5,0.0,0.0,0.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,817.15,837.9,0.0,0.0,725.0,0.0,01-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,840.75,926.0,837.5,911.9,911.9,2863.0,18600.99,369025.0,225475.0,02-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,850.75,915.95,850.75,914.35,914.35,26.0,169.5,6525.0,6525.0,02-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,917.45,917.45,917.45,917.45,917.45,1.0,6.65,1450.0,725.0,02-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,922.95,923.0,896.65,914.05,914.05,779.0,5156.46,311025.0,-58000.0,03-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,914.35,925.25,903.0,922.0,922.0,10.0,66.33,7975.0,1450.0,03-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,918.85,0.0,0.0,1450.0,0.0,03-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,905.6,946.0,905.6,928.9,928.9,1292.0,8705.78,466900.0,155875.0,04-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,915.25,943.55,915.25,932.0,932.0,9.0,60.68,11600.0,3625.0,04-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,935.15,0.0,0.0,1450.0,0.0,04-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,930.45,938.0,879.55,884.55,884.55,1003.0,6648.72,413250.0,-53650.0,05-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,936.25,936.25,888.15,889.0,889.0,9.0,58.92,10150.0,-1450.0,05-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,888.95,0.0,0.0,1450.0,0.0,05-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,892.8,910.85,884.2,889.3,889.3,485.0,3148.73,442975.0,29725.0,08-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,894.55,910.0,890.05,893.55,893.55,8.0,51.98,9425.0,-725.0,08-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,891.9,0.0,0.0,1450.0,0.0,08-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,891.6,946.95,891.6,910.6,910.6,1486.0,9959.12,509675.0,66700.0,09-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,928.75,949.0,910.7,921.0,921.0,26.0,175.09,14500.0,5075.0,09-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,913.15,0.0,0.0,1450.0,0.0,09-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,913.7,934.7,900.0,915.65,915.65,687.0,4552.69,467625.0,-42050.0,10-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,921.0,936.15,907.85,910.0,917.0,19.0,126.27,11600.0,-2900.0,10-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,919.65,0.0,0.0,1450.0,0.0,10-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,920.65,923.8,876.6,880.1,880.1,582.0,3801.43,481400.0,13775.0,12-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,917.0,923.15,885.15,888.75,888.75,9.0,59.15,8700.0,-2900.0,12-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,917.45,883.45,0.0,0.0,1450.0,0.0,12-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,884.1,888.15,845.05,850.95,850.95,767.0,4806.48,524900.0,43500.0,15-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,885.0,885.0,851.65,853.6,853.6,17.0,106.24,14500.0,5800.0,15-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,865.0,865.0,865.0,865.0,852.25,2.0,12.54,2900.0,1450.0,15-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,839.8,868.7,839.8,853.6,853.6,568.0,3533.78,574925.0,50025.0,16-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,854.0,873.9,854.0,858.2,858.2,15.0,94.05,16675.0,2175.0,16-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,866.4,866.4,866.4,866.4,855.6,1.0,6.28,3625.0,725.0,16-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,856.85,864.0,823.0,826.65,826.65,366.0,2240.11,585800.0,10875.0,17-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,865.0,865.0,830.0,830.5,830.5,13.0,79.5,18125.0,1450.0,17-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,866.4,828.6,0.0,0.0,3625.0,0.0,17-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,842.4,848.3,823.15,826.5,826.5,327.0,1982.23,586525.0,725.0,18-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,846.9,852.1,828.0,834.0,834.0,36.0,219.96,25375.0,7250.0,18-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,866.4,829.15,0.0,0.0,3625.0,0.0,18-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,824.0,829.25,776.6,801.3,801.3,601.0,3467.68,615525.0,29000.0,19-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,813.65,822.95,781.7,806.8,806.8,130.0,752.21,55100.0,29725.0,19-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,0.0,0.0,0.0,866.4,804.85,0.0,0.0,3625.0,0.0,19-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,801.25,816.1,792.8,803.1,803.1,791.0,4592.49,445875.0,-169650.0,22-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,806.95,820.0,797.9,807.65,807.65,620.0,3619.34,298700.0,243600.0,22-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,807.15,812.5,807.15,812.5,805.4,2.0,11.74,4350.0,725.0,22-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,808.45,836.8,808.4,814.4,814.4,669.0,3985.87,255200.0,-190675.0,23-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,813.0,840.35,813.0,821.0,821.0,422.0,2530.33,411075.0,112375.0,23-Mar-2021,,,N,,,,,
FUTSTK,TRENT,27-May-2021,0.0,XX,832.0,835.0,823.35,834.95,819.35,4.0,24.1,3625.0,-725.0,23-Mar-2021,,,N,,,,,
FUTSTK,TRENT,25-Mar-2021,0.0,XX,817.8,846.05,780.4,787.15,787.15,598.0,3525.42,153700.0,-101500.0,24-Mar-2021,,,N,,,,,
FUTSTK,TRENT,29-Apr-2021,0.0,XX,822.9,850.95,786.1,792.2,792.2,640.0,3791.3,505325.0,94250.0,24-Mar-2021,,,N,,,,,
