FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,ULTRACEMCO,28-Jan-2021,0.0,XX,5321.0,5365.0,5289.75,5298.85,5298.85,2236.0,23814.07,1327400.0,10000.0,01-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Feb-2021,0.0,XX,5323.8,5381.65,5313.55,5315.9,5315.9,22.0,234.74,8400.0,-400.0,01-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5333.0,5342.2,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,28-Jan-2021,0.0,XX,5315.0,5398.0,5306.75,5357.1,5357.1,3231.0,34553.86,1386800.0,59400.0,04-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Feb-2021,0.0,XX,5350.0,5388.9,5345.0,5345.0,5359.55,4.0,42.86,8800.0,400.0,04-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5333.0,5377.05,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,28-Jan-2021,0.0,XX,5343.75,5385.0,5263.0,5349.8,5349.8,3843.0,40960.78,1415600.0,28800.0,05-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Feb-2021,0.0,XX,5310.35,5400.0,5300.0,5372.8,5372.8,10.0,107.08,9200.0,400.0,05-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,25-Mar-2021,0.0,XX,0.0,0.0,0.0,5333.0,5390.6,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,
FUTSTK,ULTRACEMCO,28-Jan-2021,0.0,XX,5358.0,5493.95,5312.35,5473.5,5473.5,6042.0,65339.86,1441000.0,25400.0,06-Jan-2021,,,N,,,,
