FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,UNIONBANK,26-Dec-2024,,XX,N,123.36,127.07,121.73,122.52,122.54,122.35,122.52,2102.0,1157808374.25,4734750.0,4734750.0,4425.0,29-Nov-2024,,121.6,
FUTSTK,UNIONBANK,30-Jan-2025,,XX,N,127.0,127.17,122.46,123.01,123.22,123.23,123.01,134.0,73857321.0,256650.0,256650.0,4425.0,29-Nov-2024,,121.6,
FUTSTK,UNIONBANK,27-Feb-2025,,XX,N,126.5,126.5,123.5,124.1,123.5,123.93,124.1,16.0,8832521.25,66375.0,66375.0,4425.0,29-Nov-2024,,121.6,
FUTSTK,UNIONBANK,26-Dec-2024,,XX,N,122.4,122.6,120.25,120.6,120.54,122.52,120.6,1268.0,679190329.5,7646400.0,2911650.0,4425.0,02-Dec-2024,,119.75,
FUTSTK,UNIONBANK,30-Jan-2025,,XX,N,122.31,123.01,121.06,121.34,121.64,123.01,121.34,67.0,36102645.75,407100.0,150450.0,4425.0,02-Dec-2024,,119.75,
FUTSTK,UNIONBANK,27-Feb-2025,,XX,N,123.21,123.21,122.0,122.0,122.0,124.1,122.0,2.0,1085054.25,75225.0,8850.0,4425.0,02-Dec-2024,,119.75,
FUTSTK,UNIONBANK,26-Dec-2024,,XX,N,121.31,127.19,121.31,126.72,126.75,120.6,126.72,3212.0,1781994183.75,14354700.0,6708300.0,4425.0,03-Dec-2024,,126.05,
FUTSTK,UNIONBANK,30-Jan-2025,,XX,N,122.04,127.8,122.04,127.42,127.25,121.34,127.42,176.0,98098444.5,619500.0,212400.0,4425.0,03-Dec-2024,,126.05,
FUTSTK,UNIONBANK,27-Feb-2025,,XX,N,125.4,128.23,125.0,127.91,128.23,122.0,127.91,19.0,10620929.25,61950.0,-13275.0,4425.0,03-Dec-2024,,126.05,
FUTSTK,UNIONBANK,26-Dec-2024,,XX,N,126.99,129.6,126.01,128.9,128.56,126.72,128.9,3637.0,2062125092.25,17938950.0,3584250.0,4425.0,04-Dec-2024,,128.35,
FUTSTK,UNIONBANK,30-Jan-2025,,XX,N,127.43,130.0,126.96,129.57,129.23,127.42,129.57,196.0,111565710.75,699150.0,79650.0,4425.0,04-Dec-2024,,128.35,
FUTSTK,UNIONBANK,27-Feb-2025,,XX,N,129.8,130.47,127.21,130.45,130.45,127.91,130.45,17.0,9726769.5,79650.0,17700.0,4425.0,04-Dec-2024,,128.35,
