FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,UPL,28-Jan-2021,0.0,XX,471.0,477.9,470.0,471.9,471.9,4224.0,26035.32,19376500.0,258700.0,01-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,476.0,478.05,473.1,473.95,473.95,62.0,383.6,237900.0,15600.0,01-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,478.75,478.75,475.75,476.25,476.25,20.0,124.04,26000.0,26000.0,01-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,474.85,476.7,468.5,475.8,475.8,3414.0,21041.17,18929300.0,-447200.0,04-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,475.9,478.0,470.5,477.4,477.4,255.0,1578.59,370500.0,132600.0,04-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,479.0,479.0,474.3,478.4,477.6,15.0,92.81,42900.0,16900.0,04-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,471.75,474.8,467.7,473.65,473.65,3461.0,21218.54,18822700.0,-106600.0,05-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,470.65,476.45,470.0,475.1,475.1,98.0,602.64,403000.0,32500.0,05-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,473.0,478.2,472.0,478.2,478.2,8.0,49.44,49400.0,6500.0,05-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,472.5,484.2,468.5,474.8,474.8,7306.0,45247.34,18720000.0,-102700.0,06-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,474.15,486.15,471.0,476.2,476.2,167.0,1037.12,419900.0,16900.0,06-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,478.2,485.35,474.4,477.8,477.8,19.0,118.49,55900.0,6500.0,06-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,477.75,488.85,476.5,483.55,483.55,7680.0,48263.91,18640700.0,-79300.0,07-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,478.55,490.0,478.3,485.85,485.85,508.0,3198.36,461500.0,41600.0,07-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,483.35,491.55,482.0,488.85,486.85,17.0,107.78,49400.0,-6500.0,07-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,488.7,508.7,487.1,504.3,504.3,12022.0,78566.47,17956900.0,-683800.0,08-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,491.25,510.15,491.25,506.4,506.4,401.0,2629.6,457600.0,-3900.0,08-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,500.55,511.2,500.35,507.25,507.25,12.0,78.87,58500.0,9100.0,08-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,506.9,509.6,494.65,498.6,498.6,4842.0,31544.81,18249400.0,292500.0,11-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,508.55,511.75,497.0,500.4,500.4,225.0,1470.91,478400.0,20800.0,11-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,508.0,512.9,498.25,503.1,503.1,20.0,131.23,78000.0,19500.0,11-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,494.65,507.85,493.1,503.85,503.85,4587.0,29919.53,18136300.0,-113100.0,12-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,495.35,509.45,494.9,505.55,505.55,394.0,2571.93,630500.0,152100.0,12-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,500.55,511.05,500.3,507.15,505.7,15.0,98.65,84500.0,6500.0,12-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,505.45,506.85,486.4,494.15,494.15,4822.0,31135.35,18465200.0,328900.0,13-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,505.9,508.75,488.15,495.6,495.6,342.0,2212.03,705900.0,75400.0,13-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,506.8,506.9,487.55,498.35,498.35,28.0,182.1,104000.0,19500.0,13-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,494.8,517.2,494.7,510.55,510.55,10527.0,69821.56,17738500.0,-726700.0,14-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,499.4,518.5,498.6,512.75,512.75,542.0,3611.47,752700.0,46800.0,14-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,505.0,520.0,501.75,517.0,513.55,50.0,333.96,89700.0,-14300.0,14-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,513.8,528.45,513.35,522.9,522.9,13412.0,90938.01,16052400.0,-1686100.0,15-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,519.05,530.0,517.0,524.8,524.8,688.0,4681.97,764400.0,11700.0,15-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,523.0,530.1,520.0,526.5,526.5,54.0,368.67,79300.0,-10400.0,15-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,526.05,567.5,524.25,560.9,560.9,21300.0,151633.95,15531100.0,-521300.0,18-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,528.05,569.0,526.85,562.65,562.65,1235.0,8837.49,911300.0,146900.0,18-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,540.95,569.6,538.0,563.6,563.6,64.0,460.74,66300.0,-13000.0,18-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,564.25,571.3,554.4,564.9,564.9,9069.0,66494.51,14963000.0,-568100.0,19-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,562.7,572.65,556.55,566.5,566.5,805.0,5918.85,938600.0,27300.0,19-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,563.6,574.95,559.85,568.55,568.55,89.0,658.22,71500.0,5200.0,19-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,561.9,583.0,557.3,577.85,577.85,7027.0,52239.11,14890200.0,-72800.0,20-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,564.0,585.0,559.4,579.2,579.2,1050.0,7849.93,1164800.0,226200.0,20-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,564.0,586.0,564.0,581.0,581.0,41.0,307.7,72800.0,1300.0,20-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,577.75,594.4,577.5,584.2,584.2,10120.0,77449.76,11831300.0,-3058900.0,21-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,581.1,596.25,581.0,586.9,586.9,3636.0,28036.59,4485000.0,3320200.0,21-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,585.95,595.2,585.0,591.0,591.0,47.0,361.97,87100.0,14300.0,21-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,583.0,593.3,565.1,568.85,568.85,6984.0,52431.69,9605700.0,-2225600.0,22-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,586.7,596.0,567.0,570.2,570.2,3701.0,27789.0,6619600.0,2134600.0,22-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,592.1,594.4,570.0,571.25,571.25,20.0,150.59,88400.0,1300.0,22-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,573.0,593.4,567.65,587.95,587.95,8374.0,63645.89,6987500.0,-2618200.0,25-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,575.0,594.9,570.0,589.3,589.3,4850.0,36987.67,9378200.0,2758600.0,25-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,583.0,595.65,575.0,589.45,589.45,26.0,199.24,89700.0,1300.0,25-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,587.2,601.55,570.55,576.35,576.35,9561.0,72268.96,2839200.0,-4148300.0,27-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,588.05,602.95,571.75,577.9,577.9,7631.0,57727.55,13204100.0,3825900.0,27-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,595.45,603.2,574.55,581.95,581.95,41.0,313.46,92300.0,2600.0,27-Jan-2021,,,N,,,,,
FUTSTK,UPL,28-Jan-2021,0.0,XX,568.55,571.6,559.1,566.6,565.45,3805.0,27933.39,926900.0,-1912300.0,28-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,569.9,573.0,560.5,568.55,568.55,5776.0,42552.34,14942200.0,1738100.0,28-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,569.7,573.15,563.5,569.9,569.9,83.0,613.38,118300.0,26000.0,28-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,572.05,578.45,559.7,563.65,563.65,5975.0,44150.08,15060500.0,118300.0,29-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,578.0,579.2,561.8,565.5,565.5,102.0,756.79,126100.0,7800.0,29-Jan-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,0.0,0.0,0.0,570.75,566.5,0.0,0.0,0.0,0.0,29-Jan-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,551.4,551.4,510.0,536.1,536.1,12890.0,88046.25,15966600.0,906100.0,01-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,547.1,547.25,512.2,538.5,538.5,373.0,2558.97,201500.0,75400.0,01-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,526.15,538.3,515.55,538.0,538.0,15.0,102.95,11700.0,11700.0,01-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,545.2,569.4,542.4,567.65,567.65,6639.0,48343.11,15316600.0,-650000.0,02-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,548.2,571.0,547.7,569.35,569.35,166.0,1211.77,204100.0,2600.0,02-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,558.9,572.0,558.9,571.75,571.75,12.0,88.31,18200.0,6500.0,02-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,565.05,581.8,558.25,561.2,561.2,4523.0,33524.93,15258100.0,-58500.0,03-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,568.15,582.9,560.7,562.8,562.8,173.0,1285.75,218400.0,14300.0,03-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,580.0,581.15,570.0,570.0,563.8,8.0,59.87,22100.0,3900.0,03-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,560.15,569.8,547.35,551.25,551.25,4141.0,29933.36,16077100.0,819000.0,04-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,565.2,570.7,550.0,553.3,553.3,166.0,1204.08,254800.0,36400.0,04-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,567.95,571.05,557.55,557.55,553.45,10.0,73.13,27300.0,5200.0,04-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,554.4,555.0,537.1,539.2,539.2,3680.0,25941.54,16629600.0,552500.0,05-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,554.65,554.65,539.15,541.35,541.35,133.0,940.19,288600.0,33800.0,05-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,556.0,556.0,543.0,543.1,543.1,11.0,78.06,39000.0,11700.0,05-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,540.3,548.75,530.65,541.1,541.1,6255.0,43931.58,17972500.0,1342900.0,08-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Mar-2021,0.0,XX,546.65,550.05,533.85,543.0,543.0,194.0,1368.09,360100.0,71500.0,08-Feb-2021,,,N,,,,,
FUTSTK,UPL,29-Apr-2021,0.0,XX,547.35,551.8,538.0,545.05,545.05,15.0,106.24,42900.0,3900.0,08-Feb-2021,,,N,,,,,
FUTSTK,UPL,25-Feb-2021,0.0,XX,542.9,558.2,537.9,540.8,540.8,6397.0,45691.95,18383300.0,410800.0,09-Feb-2021,,,N,,,,,
