FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,VBL,26-Dec-2024,,XX,N,630.0,635.0,615.05,624.0,622.05,634.15,624.0,1185.0,647665943.75,647500.0,647500.0,875.0,29-Nov-2024,,621.2,
FUTSTK,VBL,30-Jan-2025,,XX,N,630.75,630.75,620.0,628.3,627.6,638.7,628.3,34.0,18638768.75,17500.0,17500.0,875.0,29-Nov-2024,,621.2,
FUTSTK,VBL,27-Feb-2025,,XX,N,630.45,633.0,630.0,630.0,630.0,642.3,630.0,4.0,2208412.5,3500.0,3500.0,875.0,29-Nov-2024,,621.2,
FUTSTK,VBL,26-Dec-2024,,XX,N,627.0,648.1,627.0,636.25,637.0,624.0,636.25,2643.0,1485594600.0,1603000.0,955500.0,875.0,02-Dec-2024,,632.25,
FUTSTK,VBL,30-Jan-2025,,XX,N,633.9,652.0,633.9,639.6,640.45,628.3,639.6,114.0,64498831.25,44625.0,27125.0,875.0,02-Dec-2024,,632.25,
FUTSTK,VBL,27-Feb-2025,,XX,N,652.55,653.85,640.15,642.1,640.15,630.0,642.1,13.0,7397512.5,8750.0,5250.0,875.0,02-Dec-2024,,632.25,
FUTSTK,VBL,26-Dec-2024,,XX,N,604.75,631.75,601.45,624.3,625.2,636.25,624.3,5328.0,2891152293.75,3203375.0,1600375.0,875.0,03-Dec-2024,,621.1,
FUTSTK,VBL,30-Jan-2025,,XX,N,614.35,634.5,606.45,627.9,628.85,639.6,627.9,252.0,137728106.25,105000.0,60375.0,875.0,03-Dec-2024,,621.1,
FUTSTK,VBL,27-Feb-2025,,XX,N,624.0,637.65,616.95,631.5,631.8,642.1,631.5,23.0,12631106.25,21875.0,13125.0,875.0,03-Dec-2024,,621.1,
FUTSTK,VBL,26-Dec-2024,,XX,N,628.95,633.9,616.35,621.75,621.3,624.3,621.75,4173.0,2277210818.75,4501875.0,1298500.0,875.0,04-Dec-2024,,618.9,
FUTSTK,VBL,30-Jan-2025,,XX,N,632.15,633.0,620.1,624.55,624.55,627.9,624.55,193.0,105777962.5,154875.0,49875.0,875.0,04-Dec-2024,,618.9,
FUTSTK,VBL,27-Feb-2025,,XX,N,635.05,635.05,624.5,629.0,629.0,631.5,629.0,20.0,11011087.5,26250.0,4375.0,875.0,04-Dec-2024,,618.9,
FUTSTK,VBL,26-Dec-2024,,XX,N,621.35,643.25,618.65,636.65,635.75,621.75,636.65,5199.0,2887658418.75,5873000.0,1371125.0,875.0,05-Dec-2024,,633.5,
FUTSTK,VBL,30-Jan-2025,,XX,N,628.1,645.6,627.55,640.55,640.4,624.55,640.55,212.0,118343706.25,166250.0,11375.0,875.0,05-Dec-2024,,633.5,
FUTSTK,VBL,27-Feb-2025,,XX,N,637.5,648.0,633.0,641.0,641.0,629.0,641.0,20.0,11201793.75,19250.0,-7000.0,875.0,05-Dec-2024,,633.5,
FUTSTK,VBL,26-Dec-2024,,XX,N,630.1,648.45,630.1,647.0,646.5,636.65,647.0,3724.0,2100840962.5,6902000.0,1029000.0,875.0,06-Dec-2024,,644.05,
FUTSTK,VBL,30-Jan-2025,,XX,N,635.5,652.4,635.5,651.1,650.8,640.55,651.1,130.0,73717525.0,179375.0,13125.0,875.0,06-Dec-2024,,644.05,
FUTSTK,VBL,27-Feb-2025,,XX,N,641.0,654.45,641.0,653.1,653.1,641.0,653.1,8.0,4538231.25,21875.0,2625.0,875.0,06-Dec-2024,,644.05,
FUTSTK,VBL,26-Dec-2024,,XX,N,647.0,651.95,641.6,643.8,645.2,647.0,643.8,3662.0,2068620312.5,7749875.0,847875.0,875.0,09-Dec-2024,,641.6,
FUTSTK,VBL,30-Jan-2025,,XX,N,650.65,654.9,646.3,649.0,649.5,651.1,649.0,67.0,38126025.0,187250.0,7875.0,875.0,09-Dec-2024,,641.6,
FUTSTK,VBL,27-Feb-2025,,XX,N,654.75,655.55,651.2,651.3,651.4,653.1,651.3,11.0,6296106.25,28000.0,6125.0,875.0,09-Dec-2024,,641.6,
FUTSTK,VBL,26-Dec-2024,,XX,N,645.55,655.5,643.25,647.55,647.05,643.8,647.55,3402.0,1934086918.75,8640625.0,890750.0,875.0,10-Dec-2024,,645.35,
FUTSTK,VBL,30-Jan-2025,,XX,N,653.55,659.45,648.8,652.0,652.35,649.0,652.0,200.0,114688700.0,252875.0,65625.0,875.0,10-Dec-2024,,645.35,
FUTSTK,VBL,27-Feb-2025,,XX,N,658.9,661.2,655.0,655.5,655.5,651.3,655.5,12.0,6912281.25,27125.0,-875.0,875.0,10-Dec-2024,,645.35,
FUTSTK,VBL,26-Dec-2024,,XX,N,650.0,651.2,643.9,646.3,646.6,647.55,646.3,1188.0,672979693.75,8785875.0,145250.0,875.0,11-Dec-2024,,643.95,
FUTSTK,VBL,30-Jan-2025,,XX,N,652.0,654.6,649.5,650.35,650.3,652.0,650.35,46.0,26243962.5,256375.0,3500.0,875.0,11-Dec-2024,,643.95,
FUTSTK,VBL,27-Feb-2025,,XX,N,657.5,657.5,652.1,656.7,656.7,655.5,656.7,10.0,5732956.25,30625.0,3500.0,875.0,11-Dec-2024,,643.95,
FUTSTK,VBL,26-Dec-2024,,XX,N,640.0,651.55,637.05,648.9,649.95,646.3,648.9,2486.0,1403230150.0,8867250.0,81375.0,875.0,12-Dec-2024,,646.25,
FUTSTK,VBL,30-Jan-2025,,XX,N,648.0,656.0,642.25,653.5,654.0,650.35,653.5,169.0,95928306.25,260750.0,4375.0,875.0,12-Dec-2024,,646.25,
FUTSTK,VBL,27-Feb-2025,,XX,N,649.5,658.8,648.55,658.8,658.8,656.7,658.8,6.0,3439625.0,28000.0,-2625.0,875.0,12-Dec-2024,,646.25,
FUTSTK,VBL,26-Dec-2024,,XX,N,646.05,652.0,637.15,646.45,646.7,648.9,646.45,2363.0,1333220962.5,9056250.0,189000.0,875.0,13-Dec-2024,,645.65,
FUTSTK,VBL,30-Jan-2025,,XX,N,651.1,654.15,643.45,651.3,651.3,653.5,651.3,139.0,79021075.0,295750.0,35000.0,875.0,13-Dec-2024,,645.65,
FUTSTK,VBL,27-Feb-2025,,XX,N,652.15,656.5,648.65,655.55,655.6,658.8,655.55,17.0,9719106.25,35875.0,7875.0,875.0,13-Dec-2024,,645.65,
FUTSTK,VBL,26-Dec-2024,,XX,N,647.7,655.95,644.55,648.25,647.95,646.45,648.25,2442.0,1388570968.75,9835875.0,779625.0,875.0,16-Dec-2024,,645.4,
FUTSTK,VBL,30-Jan-2025,,XX,N,649.3,659.9,649.15,652.8,652.9,651.3,652.8,312.0,178722862.5,373625.0,77875.0,875.0,16-Dec-2024,,645.4,
FUTSTK,VBL,27-Feb-2025,,XX,N,655.3,662.3,655.0,657.0,657.0,655.55,657.0,12.0,6905981.25,32375.0,-3500.0,875.0,16-Dec-2024,,645.4,
FUTSTK,VBL,26-Dec-2024,,XX,N,650.4,659.5,644.2,648.5,647.0,648.25,648.5,3162.0,1799023756.25,9273250.0,-562625.0,875.0,17-Dec-2024,,647.85,
FUTSTK,VBL,30-Jan-2025,,XX,N,656.95,663.8,649.4,653.35,651.75,652.8,653.35,167.0,95830612.5,388500.0,14875.0,875.0,17-Dec-2024,,647.85,
FUTSTK,VBL,27-Feb-2025,,XX,N,664.0,664.0,657.0,657.4,657.4,657.0,657.4,10.0,5780337.5,31500.0,-875.0,875.0,17-Dec-2024,,647.85,
FUTSTK,VBL,26-Dec-2024,,XX,N,645.3,647.15,623.25,633.1,632.0,648.5,633.1,6065.0,3351980012.5,7727125.0,-1546125.0,875.0,18-Dec-2024,,633.45,
FUTSTK,VBL,30-Jan-2025,,XX,N,649.35,650.45,629.2,637.3,637.2,653.35,637.3,576.0,320865868.75,555625.0,167125.0,875.0,18-Dec-2024,,633.45,
FUTSTK,VBL,27-Feb-2025,,XX,N,653.65,653.65,635.45,644.3,644.3,657.4,644.3,19.0,10686856.25,43750.0,12250.0,875.0,18-Dec-2024,,633.45,
FUTSTK,VBL,26-Dec-2024,,XX,N,621.1,635.6,618.05,629.25,629.6,633.1,629.25,2758.0,1517540675.0,7553000.0,-174125.0,875.0,19-Dec-2024,,628.0,
FUTSTK,VBL,30-Jan-2025,,XX,N,626.5,640.85,621.3,634.15,634.7,637.3,634.15,1417.0,785831812.5,1092000.0,536375.0,875.0,19-Dec-2024,,628.0,
FUTSTK,VBL,27-Feb-2025,,XX,N,635.5,642.9,634.65,639.45,640.5,644.3,639.45,11.0,6151031.25,44625.0,875.0,875.0,19-Dec-2024,,628.0,
FUTSTK,VBL,26-Dec-2024,,XX,N,627.05,634.0,611.1,613.6,615.25,629.25,613.6,3028.0,1650356487.5,6899375.0,-653625.0,875.0,20-Dec-2024,,612.55,
FUTSTK,VBL,30-Jan-2025,,XX,N,634.35,637.25,615.35,618.2,620.4,634.15,618.2,4952.0,2714692006.25,3725750.0,2633750.0,875.0,20-Dec-2024,,612.55,
