FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_UNDERLYING_VALUE,SOURCE,FH_LAST_TRADED_PRICE,FH_PREV_CLS
FUTSTK,VEDL,28-Jan-2021,0.0,XX,163.8,163.8,160.65,161.3,161.3,2061.0,20662.33,75683400.0,-1097400.0,01-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,162.9,163.15,161.4,161.95,161.95,54.0,543.62,527000.0,24800.0,01-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,161.4,162.75,161.4,161.6,161.6,15.0,150.62,93000.0,93000.0,01-Jan-2021,,,N,,,,
FUTSTK,VEDL,28-Jan-2021,0.0,XX,162.0,171.8,161.85,171.0,171.0,6127.0,63657.87,77444200.0,1760800.0,04-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,162.6,172.0,162.6,171.6,171.6,156.0,1620.94,694400.0,167400.0,04-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,164.5,171.45,164.5,171.05,171.05,10.0,104.83,148800.0,55800.0,04-Jan-2021,,,N,,,,
FUTSTK,VEDL,28-Jan-2021,0.0,XX,168.3,171.05,167.05,169.7,169.7,3562.0,37396.28,76229000.0,-1215200.0,05-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,168.9,171.55,168.65,170.4,170.4,132.0,1389.65,781200.0,86800.0,05-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,169.95,169.95,168.9,169.95,169.95,8.0,84.07,167400.0,18600.0,05-Jan-2021,,,N,,,,
FUTSTK,VEDL,28-Jan-2021,0.0,XX,171.2,184.5,171.2,180.45,180.45,11031.0,122141.75,73470000.0,-2759000.0,06-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,173.1,184.85,173.1,181.05,181.05,271.0,3007.05,948600.0,167400.0,06-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,173.6,180.3,173.6,180.25,180.25,18.0,198.9,198400.0,31000.0,06-Jan-2021,,,N,,,,
FUTSTK,VEDL,28-Jan-2021,0.0,XX,181.95,187.95,181.95,186.1,186.1,7694.0,88467.31,71362000.0,-2108000.0,07-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,183.25,188.7,183.25,186.25,186.25,238.0,2745.0,1196600.0,248000.0,07-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,184.6,187.45,183.0,186.5,186.5,33.0,378.25,204600.0,6200.0,07-Jan-2021,,,N,,,,
FUTSTK,VEDL,28-Jan-2021,0.0,XX,188.25,189.95,176.85,182.2,182.2,7937.0,90999.86,74722400.0,3360400.0,08-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Feb-2021,0.0,XX,189.95,190.4,178.1,182.95,182.95,214.0,2457.83,1395000.0,198400.0,08-Jan-2021,,,N,,,,
FUTSTK,VEDL,25-Mar-2021,0.0,XX,188.4,189.55,178.35,181.65,181.65,52.0,602.48,421600.0,217000.0,08-Jan-2021,,,N,,,,
