FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,827.95,836.8,825.0,833.9,833.9,1134.0,9445.09,1826000.0,-28000.0,01-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,830.45,836.5,830.45,834.8,834.8,6.0,50.07,23000.0,2000.0,01-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,839.5,0.0,0.0,0.0,0.0,01-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,835.05,852.0,834.0,850.25,850.25,2450.0,20666.58,1799000.0,-27000.0,04-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,836.0,852.8,836.0,852.15,852.15,19.0,160.52,27000.0,4000.0,04-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,853.9,0.0,0.0,0.0,0.0,04-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,846.1,856.3,834.4,841.5,841.5,1743.0,14707.7,1780000.0,-19000.0,05-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,820.9,855.6,820.85,842.5,842.5,31.0,261.1,33000.0,6000.0,05-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,845.1,0.0,0.0,0.0,0.0,05-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,840.05,878.15,837.75,869.65,869.65,3761.0,32470.21,1731000.0,-49000.0,06-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,844.3,876.85,844.25,870.7,870.7,65.0,562.68,38000.0,5000.0,06-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,877.25,0.0,0.0,0.0,0.0,06-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,873.8,888.0,870.6,881.7,881.7,2354.0,20695.66,1785000.0,54000.0,07-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,879.55,886.8,875.0,883.1,883.1,25.0,220.48,42000.0,4000.0,07-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,889.45,0.0,0.0,0.0,0.0,07-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,884.1,908.15,882.05,903.0,903.0,2625.0,23565.59,1780000.0,-5000.0,08-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,886.0,908.0,886.0,904.85,904.85,35.0,314.14,44000.0,2000.0,08-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,832.65,910.25,0.0,0.0,0.0,0.0,08-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,903.25,916.6,882.0,914.4,914.4,2965.0,26782.45,1882000.0,102000.0,11-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,897.8,916.8,885.55,915.4,915.4,52.0,469.58,49000.0,5000.0,11-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,895.45,901.3,889.65,901.3,922.15,4.0,35.81,1000.0,1000.0,11-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,908.4,922.4,904.2,907.35,907.35,1602.0,14607.68,1851000.0,-31000.0,12-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,918.05,922.0,907.5,908.2,908.2,32.0,292.68,51000.0,2000.0,12-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,0.0,0.0,0.0,901.3,910.8,0.0,0.0,1000.0,0.0,12-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,909.0,915.1,886.3,901.2,901.2,2121.0,19087.66,1920000.0,69000.0,13-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,916.0,916.0,889.75,903.15,903.15,28.0,253.6,50000.0,-1000.0,13-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,912.0,912.55,912.0,912.55,904.25,2.0,18.24,2000.0,1000.0,13-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,901.0,928.55,901.0,914.35,914.35,4211.0,38619.89,2013000.0,93000.0,14-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,915.15,929.0,912.0,915.2,915.2,80.0,734.33,55000.0,5000.0,14-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,915.0,929.1,914.25,914.25,914.25,5.0,46.03,3000.0,1000.0,14-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,911.95,918.8,885.5,891.65,891.65,2687.0,24246.19,2190000.0,177000.0,15-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,912.55,919.5,888.0,893.3,893.3,190.0,1730.82,67000.0,12000.0,15-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,906.0,906.0,891.1,892.1,894.7,7.0,62.83,6000.0,3000.0,15-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,885.35,904.8,878.25,891.95,891.95,2327.0,20757.29,2149000.0,-41000.0,18-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,886.45,903.9,881.65,896.5,896.5,250.0,2234.23,121000.0,54000.0,18-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,888.25,901.8,882.55,901.8,897.75,7.0,62.23,9000.0,3000.0,18-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,896.0,915.0,894.05,913.0,913.0,1910.0,17313.01,2264000.0,115000.0,19-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,897.2,915.6,897.2,915.1,915.1,180.0,1631.84,130000.0,9000.0,19-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,897.75,910.0,897.75,910.0,915.95,2.0,18.07,10000.0,1000.0,19-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,912.1,920.0,904.4,914.45,914.45,1250.0,11394.94,2232000.0,-32000.0,20-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,913.35,921.15,907.6,916.3,916.3,139.0,1271.97,155000.0,25000.0,20-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,920.0,920.0,917.65,917.65,919.45,2.0,18.37,10000.0,0.0,20-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,940.9,997.7,939.05,958.45,958.45,10098.0,97642.72,2361000.0,129000.0,21-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,954.9,997.55,915.35,961.0,961.0,914.0,8871.44,297000.0,142000.0,21-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,950.0,992.15,946.9,964.65,964.65,10.0,97.05,11000.0,1000.0,21-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,952.3,970.5,920.25,935.95,935.95,3835.0,36146.87,2161000.0,-200000.0,22-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,952.35,972.15,922.35,938.6,938.6,973.0,9156.56,530000.0,233000.0,22-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,958.0,958.0,941.95,941.95,940.8,3.0,28.57,11000.0,0.0,22-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,940.25,960.0,915.2,940.55,940.55,4121.0,38770.11,1489000.0,-672000.0,25-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,932.0,961.75,918.6,942.85,942.85,2256.0,21265.17,1156000.0,626000.0,25-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,928.95,958.0,926.75,958.0,947.2,5.0,46.87,12000.0,1000.0,25-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,936.1,943.95,910.0,913.7,913.7,3114.0,28890.07,741000.0,-748000.0,27-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,938.45,945.9,912.7,916.7,916.7,2401.0,22329.08,1521000.0,365000.0,27-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,941.0,941.0,917.0,918.2,918.2,18.0,167.4,18000.0,6000.0,27-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,28-Jan-2021,0.0,XX,901.05,943.0,901.0,934.5,933.4,2688.0,24947.65,272000.0,-469000.0,28-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,888.3,945.95,888.25,936.85,936.85,3852.0,35849.55,1904000.0,383000.0,28-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,921.0,944.3,919.05,939.45,939.45,23.0,215.07,27000.0,9000.0,28-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,945.0,947.0,897.85,905.8,905.8,3967.0,36463.49,1800000.0,-104000.0,29-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,942.8,943.1,907.9,908.65,908.65,18.0,166.25,28000.0,1000.0,29-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,29-Apr-2021,0.0,XX,0.0,0.0,0.0,942.15,917.65,0.0,0.0,0.0,0.0,29-Jan-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,900.25,954.85,900.25,943.35,943.35,3026.0,28195.55,1838000.0,38000.0,01-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,908.65,949.15,908.65,949.15,943.95,11.0,101.84,29000.0,1000.0,01-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,29-Apr-2021,0.0,XX,0.0,0.0,0.0,942.15,947.8,0.0,0.0,0.0,0.0,01-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,946.5,998.0,946.5,986.8,986.8,4471.0,43846.17,1965000.0,127000.0,02-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,970.0,998.8,970.0,990.0,990.0,21.0,206.2,31000.0,2000.0,02-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,29-Apr-2021,0.0,XX,0.0,0.0,0.0,942.15,997.8,0.0,0.0,0.0,0.0,02-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Feb-2021,0.0,XX,996.55,1028.45,988.25,1002.8,1002.8,3852.0,38760.02,2467000.0,502000.0,03-Feb-2021,,,N,,,,,
FUTSTK,VOLTAS,25-Mar-2021,0.0,XX,1014.9,1025.0,992.0,1006.0,1010.3,35.0,353.95,33000.0,2000.0,03-Feb-2021,,,N,,,,,
