FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2994.0,3053.9,2956.1,2984.5,2985.5,2994.0,2984.5,2859.0,1498339150.0,233800.0,233800,175,31-Dec-2025,,2968.0,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2990.0,3046.8,2985.0,3006.5,2996.3,3008.1,3006.5,46.0,24194450.0,4725.0,4725,175,31-Dec-2025,,2968.0,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,0.0,0.0,0.0,3025.1,0.0,3025.1,3025.1,0.0,0.0,0.0,0,175,31-Dec-2025,,2968.0,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2985.5,3004.3,2965.1,2973.5,2968.6,2984.5,2973.5,665.0,346790447.5,266175.0,32375,175,01-Jan-2026,,2955.3,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,3004.7,3015.5,2978.8,2984.3,2986.6,3006.5,2984.3,17.0,8900850.0,6825.0,2100,175,01-Jan-2026,,2955.3,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,0.0,0.0,0.0,3025.1,0.0,3025.1,3025.1,0.0,0.0,0.0,0,175,01-Jan-2026,,2955.3,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2986.9,2986.9,2842.8,2866.7,2862.1,2973.5,2866.7,6424.0,3231407025.0,883750.0,617575,175,02-Jan-2026,,2866.3,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2960.7,2960.7,2850.0,2871.2,2865.0,2984.3,2871.2,314.0,157625265.0,27300.0,20475,175,02-Jan-2026,,2866.3,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2916.0,2916.0,2861.0,2880.6,2879.0,3025.1,2880.6,24.0,12079480.0,3500.0,3500,175,02-Jan-2026,,2866.3,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2870.5,2870.5,2697.0,2709.8,2712.0,2866.7,2709.8,8626.0,4130320442.5,1641850.0,758100,175,05-Jan-2026,,2714.3,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2869.0,2869.0,2691.4,2703.6,2708.0,2871.2,2703.6,779.0,371878587.5,95025.0,67725,175,05-Jan-2026,,2714.3,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2847.6,2847.6,2698.0,2703.4,2707.3,2880.6,2703.4,111.0,52922415.0,15050.0,11550,175,05-Jan-2026,,2714.3,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2696.0,2725.0,2591.1,2633.6,2644.0,2709.8,2633.6,8463.0,3923759665.0,2189075.0,547225,175,06-Jan-2026,,2634.4,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2680.1,2717.3,2586.6,2633.0,2638.7,2703.6,2633.0,1129.0,520348342.5,204050.0,109025,175,06-Jan-2026,,2634.4,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2662.0,2705.0,2594.9,2638.0,2641.0,2703.4,2638.0,80.0,36786522.5,22575.0,7525,175,06-Jan-2026,,2634.4,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2638.4,2680.0,2605.6,2674.2,2673.9,2633.6,2674.2,4069.0,1879881097.5,2298625.0,109550,175,07-Jan-2026,,2673.1,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2638.7,2683.7,2603.4,2676.3,2676.0,2633.0,2676.3,1383.0,638800312.5,364175.0,160125,175,07-Jan-2026,,2673.1,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2627.1,2681.8,2607.6,2675.5,2676.3,2638.0,2675.5,70.0,32285067.5,25025.0,2450,175,07-Jan-2026,,2673.1,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2677.0,2708.9,2593.0,2603.8,2600.1,2674.2,2603.8,4649.0,2150169857.5,2446850.0,148225,175,08-Jan-2026,,2612.3,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2679.2,2705.3,2586.2,2597.3,2598.0,2676.3,2597.3,739.0,341869972.5,404600.0,40425,175,08-Jan-2026,,2612.3,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2666.5,2699.0,2597.1,2599.8,2600.0,2675.5,2599.8,80.0,36846232.5,30625.0,5600,175,08-Jan-2026,,2612.3,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2590.0,2605.0,2528.1,2554.7,2555.0,2603.8,2554.7,5443.0,2442353585.0,2449475.0,2625,175,09-Jan-2026,,2544.6,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2580.0,2599.9,2529.0,2554.4,2552.6,2597.3,2554.4,567.0,254189092.5,436450.0,31850,175,09-Jan-2026,,2544.6,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2573.3,2585.0,2531.0,2558.3,2558.3,2599.8,2558.3,40.0,17934052.5,34475.0,3850,175,09-Jan-2026,,2544.6,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2604.0,2679.7,2515.0,2589.1,2600.5,2554.7,2589.1,5264.0,2385847940.0,2467150.0,17762,175,12-Jan-2026,,2576.95,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2645.0,2676.6,2513.6,2596.2,2605.1,2554.4,2596.2,552.0,250146085.0,452900.0,16450,175,12-Jan-2026,,2576.95,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2641.0,2650.0,2519.7,2594.5,2597.0,2558.3,2594.5,68.0,30716857.5,36225.0,1750,175,12-Jan-2026,,2576.95,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2604.4,2622.1,2547.7,2609.5,2607.2,2589.1,2609.5,2987.0,1351367587.5,2442825.0,-24325,175,13-Jan-2026,,2599.9,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2600.4,2618.0,2550.0,2606.9,2600.6,2596.2,2606.9,495.0,223858425.0,480200.0,27300,175,13-Jan-2026,,2599.9,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2608.0,2621.3,2560.0,2597.8,2589.6,2594.5,2597.8,75.0,33991545.0,39550.0,3325,175,13-Jan-2026,,2599.9,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2599.2,2652.4,2549.0,2564.0,2555.3,2609.5,2564.0,3490.0,1582781095.0,2457350.0,14525,175,14-Jan-2026,,2560.0,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2608.8,2649.0,2544.0,2560.4,2554.1,2606.9,2560.4,563.0,254465225.0,525000.0,44800,175,14-Jan-2026,,2560.0,
FUTSTK,WAAREEENER,30-Mar-2026,,XX,N,2612.0,2650.0,2551.0,2555.2,2580.0,2597.8,2555.2,47.0,21384597.5,40950.0,1400,175,14-Jan-2026,,2560.0,
FUTSTK,WAAREEENER,27-Jan-2026,,XX,N,2563.0,2635.0,2545.2,2559.0,2554.4,2564.0,2559.0,3442.0,1559854572.5,2377725.0,-79625,175,16-Jan-2026,,2552.15,
FUTSTK,WAAREEENER,24-Feb-2026,,XX,N,2565.0,2627.9,2542.8,2557.2,2548.7,2560.4,2557.2,624.0,281246805.0,564550.0,39550,175,16-Jan-2026,,2552.15,
