FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,WIPRO,28-Jan-2021,0.0,XX,387.8,391.35,386.15,388.9,388.9,1901.0,23654.11,26265600.0,124800.0,01-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Feb-2021,0.0,XX,387.45,391.3,387.45,389.45,389.45,41.0,510.62,243200.0,12800.0,01-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Mar-2021,0.0,XX,389.55,389.55,389.55,389.55,391.85,1.0,12.46,3200.0,3200.0,01-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,28-Jan-2021,0.0,XX,391.65,399.25,388.0,397.35,397.35,5722.0,72313.4,27811200.0,1545600.0,04-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Feb-2021,0.0,XX,389.7,399.65,388.85,398.05,398.05,120.0,1516.44,304000.0,60800.0,04-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Mar-2021,0.0,XX,393.9,399.2,393.4,398.95,398.95,15.0,190.02,16000.0,12800.0,04-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,28-Jan-2021,0.0,XX,394.7,411.3,394.7,407.15,407.15,11787.0,152227.8,30620800.0,2809600.0,05-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Feb-2021,0.0,XX,396.75,411.3,396.0,407.55,407.55,217.0,2803.66,345600.0,41600.0,05-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Mar-2021,0.0,XX,400.65,407.0,400.65,407.0,410.05,9.0,116.31,25600.0,9600.0,05-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,28-Jan-2021,0.0,XX,404.8,417.8,404.4,406.6,406.6,12105.0,158832.62,33427200.0,2806400.0,06-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Feb-2021,0.0,XX,406.3,417.95,405.5,407.7,407.7,238.0,3126.7,428800.0,83200.0,06-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,25-Mar-2021,0.0,XX,406.9,417.5,405.7,406.15,410.1,14.0,184.08,35200.0,9600.0,06-Jan-2021,,,N,,,,,
FUTSTK,WIPRO,28-Jan-2021,0.0,XX,409.5,413.9,404.6,407.95,407.95,5691.0,74237.03,33990400.0,563200.0,07-Jan-2021,,,N,,,,,
