FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,342.95,346.85,332.25,342.25,342.25,1266.0,4737.96,19346800.0,-107800.0,07-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,338.0,348.0,334.35,345.8,345.8,73.0,272.72,545600.0,4400.0,07-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,26-May-2022,0.0,XX,339.45,350.0,339.45,348.95,345.3,7.0,26.68,44000.0,3300.0,07-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,341.6,346.8,335.65,344.65,344.65,1167.0,4406.47,19072900.0,-273900.0,08-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,347.0,347.5,338.15,345.35,345.35,42.0,158.82,556600.0,11000.0,08-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,26-May-2022,0.0,XX,348.7,348.7,341.5,341.85,347.65,12.0,45.58,42900.0,-1100.0,08-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,349.85,362.95,348.05,360.05,360.05,2275.0,8968.02,18417300.0,-655600.0,09-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,350.0,364.0,350.0,360.9,360.9,166.0,656.27,586300.0,29700.0,09-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,26-May-2022,0.0,XX,354.0,365.0,354.0,362.9,362.9,13.0,51.59,45100.0,2200.0,09-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,366.05,367.6,361.8,366.05,366.05,2308.0,9258.92,17732000.0,-685300.0,10-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,369.0,370.0,363.0,367.6,367.6,209.0,841.62,665500.0,79200.0,10-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,26-May-2022,0.0,XX,368.55,370.4,365.0,368.7,368.7,33.0,133.31,53900.0,8800.0,10-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,366.8,375.95,363.35,371.65,371.65,2278.0,9305.89,17589000.0,-143000.0,11-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,364.75,377.5,364.2,373.0,373.0,219.0,898.28,713900.0,48400.0,11-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,26-May-2022,0.0,XX,372.4,378.8,371.35,375.2,375.2,22.0,90.57,59400.0,5500.0,11-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,31-Mar-2022,0.0,XX,373.7,374.0,363.35,366.05,366.05,1836.0,7407.14,17491100.0,-97900.0,14-Mar-2022,,,N,,,,,
FUTSTK,ZYDUSLIFE,28-Apr-2022,0.0,XX,374.8,374.8,365.0,367.5,367.5,153.0,617.86,805200.0,91300.0,14-Mar-2022,,,N,,,,,
