Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
22-Jan-2026,24-Feb-2026,XX,"-","987.90","1,003.40","967.20","983.20","982.90","983.20",3403500,"3,35,89,91,100.00","3,35,89,91,100.00",3997000,921000
22-Jan-2026,30-Mar-2026,XX,"-","982.70","982.70","956.00","957.50","962.00","957.50",86500,"8,36,74,450.00","8,36,74,450.00",195500,38000
22-Jan-2026,27-Jan-2026,XX,"-","1,008.90","1,053.00","1,006.70","1,035.30","1,033.60","1,035.30",3712000,"3,83,79,91,700.00","3,83,79,91,700.00",2620500,-1612500
21-Jan-2026,30-Mar-2026,XX,"-","956.00","956.00","924.00","951.00","951.00","951.00",37000,"3,45,00,800.00","3,45,00,800.00",157500,7500
21-Jan-2026,24-Feb-2026,XX,"-","967.60","977.20","935.10","956.80","961.00","956.80",2776000,"2,64,76,05,850.00","2,64,76,05,850.00",3076000,811500
21-Jan-2026,27-Jan-2026,XX,"-","1,005.10","1,018.10","981.80","996.80","1,000.10","996.80",3068500,"3,05,53,75,050.00","3,05,53,75,050.00",4233000,-1423500
20-Jan-2026,24-Feb-2026,XX,"-","988.00","988.00","970.10","973.40","972.00","973.40",970500,"94,58,72,700.00","94,58,72,700.00",2264500,436000
20-Jan-2026,27-Jan-2026,XX,"-","1,025.80","1,027.50","1,006.20","1,009.60","1,007.30","1,009.60",1388000,"1,40,52,11,550.00","1,40,52,11,550.00",5656500,26000
20-Jan-2026,30-Mar-2026,XX,"-","966.90","966.90","948.90","956.40","948.90","956.40",76000,"7,28,12,250.00","7,28,12,250.00",150000,31500
19-Jan-2026,27-Jan-2026,XX,"-","1,042.20","1,051.00","1,017.60","1,022.60","1,018.00","1,022.60",1341500,"1,38,76,32,550.00","1,38,76,32,550.00",5630500,292500
19-Jan-2026,24-Feb-2026,XX,"-","1,011.90","1,017.80","980.00","983.90","980.10","983.90",841500,"83,90,62,850.00","83,90,62,850.00",1828500,368000
19-Jan-2026,30-Mar-2026,XX,"-","1,004.00","1,004.00","962.10","966.90","962.10","966.90",44500,"4,36,74,000.00","4,36,74,000.00",118500,26500
16-Jan-2026,27-Jan-2026,XX,"-","1,056.10","1,070.00","1,046.10","1,053.40","1,052.80","1,053.40",1299000,"1,37,27,67,100.00","1,37,27,67,100.00",5338000,233500
16-Jan-2026,30-Mar-2026,XX,"-","1,026.00","1,026.00","1,001.40","1,004.90","1,002.30","1,004.90",46000,"4,65,63,050.00","4,65,63,050.00",92000,25000
16-Jan-2026,24-Feb-2026,XX,"-","1,031.90","1,040.00","1,013.50","1,021.10","1,017.10","1,021.10",597000,"61,23,28,200.00","61,23,28,200.00",1460500,235500
14-Jan-2026,30-Mar-2026,XX,"-","1,035.90","1,035.90","1,008.30","1,013.30","1,014.40","1,013.30",58500,"5,94,55,650.00","5,94,55,650.00",67000,32500
14-Jan-2026,27-Jan-2026,XX,"-","1,033.50","1,061.40","1,030.60","1,053.10","1,049.80","1,053.10",924000,"97,19,75,850.00","97,19,75,850.00",5104500,121500
14-Jan-2026,24-Feb-2026,XX,"-","1,019.10","1,035.50","1,012.20","1,026.80","1,025.80","1,026.80",423500,"43,49,09,050.00","43,49,09,050.00",1225000,188000
13-Jan-2026,27-Jan-2026,XX,"-","1,039.70","1,047.10","1,014.00","1,028.60","1,028.50","1,028.60",1253500,"1,28,66,86,150.00","1,28,66,86,150.00",4983000,379000
13-Jan-2026,24-Feb-2026,XX,"-","1,030.00","1,030.40","991.20","1,007.60","1,007.30","1,007.60",373000,"37,52,08,100.00","37,52,08,100.00",1037000,200000
13-Jan-2026,30-Mar-2026,XX,"-","1,012.00","1,012.00","990.00","994.70","994.70","1,066.90",17500,"1,74,54,350.00","1,74,54,350.00",34500,10500
12-Jan-2026,24-Feb-2026,XX,"-","1,021.90","1,037.50","1,000.00","1,019.40","1,020.50","1,019.40",320000,"32,40,46,000.00","32,40,46,000.00",837000,175500
12-Jan-2026,27-Jan-2026,XX,"-","1,039.00","1,051.10","1,017.00","1,034.60","1,033.50","1,034.60",1144500,"1,18,01,55,450.00","1,18,01,55,450.00",4604000,123000
12-Jan-2026,30-Mar-2026,XX,"-","1,037.20","1,037.20","1,005.00","1,006.90","1,006.90","1,063.30",6000,"60,64,600.00","60,64,600.00",24000,3000
09-Jan-2026,27-Jan-2026,XX,"-","1,055.90","1,067.00","1,031.20","1,040.40","1,039.00","1,040.40",1544500,"1,61,30,17,900.00","1,61,30,17,900.00",4481000,510500
09-Jan-2026,24-Feb-2026,XX,"-","1,052.20","1,057.50","1,017.20","1,028.00","1,029.20","1,028.00",572000,"59,05,43,750.00","59,05,43,750.00",661500,343000
