iteration,timestamp,accepted,score,net_pnl,win_rate,n_trades,min_monthly_pnl,description,params_json
0,2026-04-10T15:11:28.977814,True,539515.0,6754105.0,86.1,758,-1078471.0,baseline,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 4.0, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.3, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
1,2026-04-10T15:12:13.708868,False,548651.0,6868485.0,86.1,758,-1078471.0,PAIRS_MAX_Z_ENTRY: 4.0->5.037,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.3, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
2,2026-04-10T15:12:57.048948,False,495418.0,6327993.0,86.3,710,-1102800.0,PAIRS_MAX_POSITIONS: 8->7,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.3, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 7}"
3,2026-04-10T15:13:40.270991,False,573609.0,7236989.0,86.1,771,-1086565.0,CORR_MIN: 0.3->0.202,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
4,2026-04-10T15:14:23.416137,False,504309.0,6453763.0,86.2,717,-1103026.0,PAIRS_MAX_POSITIONS: 8->7,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 7}"
5,2026-04-10T15:15:06.940647,False,561865.0,6726291.0,87.0,753,-1041334.0,STRUCT_BREAK_Z_MULT: 1.5->1.641; CORR_MIN: 0.202->0.221,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.221, ""STRUCT_BREAK_Z_MULT"": 1.641, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
6,2026-04-10T15:15:50.106260,False,543009.0,6801924.0,86.0,764,-1077202.0,STRUCT_BREAK_CORR_FLOOR: 0.25->0.184; PAIRS_MAX_Z_ENTRY: 5.037->4.713,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 4.713, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.184, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
7,2026-04-10T15:16:33.386785,False,573609.0,7236989.0,86.1,771,-1086565.0,PAIRS_MAX_Z_ENTRY: 5.037->5.208,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.208, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
8,2026-04-10T15:17:16.970621,False,564957.0,7067962.0,86.1,770,-1077214.0,STRUCT_BREAK_Z_MULT: 1.5->1.519,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.519, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 8}"
9,2026-04-10T15:18:00.699122,False,588485.0,7548794.0,86.1,796,-1103874.0,PAIRS_MAX_POSITIONS: 8->9,"{""SSS_THRESHOLD"": 2.0, ""Z_EXIT"": 1.0, ""PAIRS_TIME_STOP"": 60, ""PAIRS_MIN_Z_ENTRY"": 1.5, ""PAIRS_MAX_Z_ENTRY"": 5.037, ""MAX_COMPOUND_SCALE"": 2.5, ""CORR_MIN"": 0.202, ""STRUCT_BREAK_Z_MULT"": 1.5, ""STRUCT_BREAK_CORR_FLOOR"": 0.25, ""SCALE_CONC_CAP"": 0.15, ""PAIRS_MAX_POSITIONS"": 9}"
