pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win
ULTRA/GRASIM,PAIRS,2025-10-03,2025-11-03,31,BUY_A,-2.506,-2.07,-152875.0,18345.0,-171220.0,TIME_STOP,False
ICICIB/HDFC,PAIRS,2024-06-19,2024-07-05,16,BUY_A,-2.511,0.044,135749.0,16290.0,119459.0,PROFIT,True
ICICIB/HDFC,PAIRS,2024-12-04,2025-01-03,30,BUY_A,-2.653,-0.15,79601.0,9552.0,70049.0,TIME_STOP,True
ICICIB/HDFC,PAIRS,2025-04-22,2025-05-16,24,BUY_A,-2.845,0.038,88728.0,10647.0,78080.0,PROFIT,True
ICICIB/HDFC,PAIRS,2025-06-26,2025-07-28,32,BUY_A,-3.258,-0.373,49704.0,5964.0,43739.0,TIME_STOP,True
ICICIB/HDFC,PAIRS,2025-10-20,2025-11-19,30,BUY_A,-2.842,-0.771,12882.0,1546.0,11337.0,TIME_STOP,True
ICICIB/HDFC,PAIRS,2026-01-06,2026-02-05,30,SELL_A,4.059,0.935,-13795.0,1655.0,-15450.0,TIME_STOP,False
LICHSGFIN/PFC,PAIRS,2024-05-03,2024-06-03,31,BUY_A,-2.563,-2.604,-189934.0,22792.0,-212726.0,TIME_STOP,False
LICHSGFIN/PFC,PAIRS,2025-08-06,2025-08-29,23,BUY_A,-2.688,0.378,89932.0,10792.0,79140.0,PROFIT,True
LICHSGFIN/PFC,PAIRS,2025-10-28,2025-10-30,2,SELL_A,2.552,-0.214,85985.0,10318.0,75667.0,PROFIT,True
LICHSGFIN/PFC,PAIRS,2025-11-10,2025-12-10,30,SELL_A,2.68,1.057,7336.0,880.0,6456.0,TIME_STOP,True
LICHSGFIN/PFC,PAIRS,2026-01-12,2026-02-11,30,BUY_A,-2.858,-2.068,-148378.0,17805.0,-166183.0,TIME_STOP,False
NMDC/COAL,PAIRS,2024-07-16,2024-08-16,31,BUY_A,-2.543,-1.876,-458521.0,55022.0,-513543.0,TIME_STOP,False
