pair,strategy,hl,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win,shares_a,shares_b
LICHSGFIN/PFC,PAIRS,42.3,2024-05-03,2024-05-06,3,BUY_A,-2.563,-1.322,96626.0,11595.0,85031.0,INTRADAY,True,3000,3900
LICHSGFIN/PFC,PAIRS,42.3,2024-05-24,2024-06-04,11,BUY_A,-2.745,-1.313,-46263.0,5552.0,-51815.0,INTRADAY,False,3000,3900
TATAPOWER/NHPC,PAIRS,10.0,2024-05-31,2024-06-04,4,BUY_A,-2.648,-1.439,42563.0,5108.0,37455.0,INTRADAY,True,7250,51200
LT/GMRAIRPORT,PAIRS,35.0,2024-06-18,2024-07-18,30,BUY_A,-3.087,-0.856,65146.0,7817.0,57328.0,TIME_STOP,True,350,34875
ICICIB/HDFC,PAIRS,124.0,2024-06-19,2024-07-05,16,BUY_A,-2.511,0.044,135749.0,16290.0,119459.0,PROFIT,True,1400,2750
KOTAKBANK_CAL,CALENDAR,,2024-06-19,2024-06-20,1,BUY_CAL,-2.616,0.981,1340.0,161.0,1179.0,PROFIT,True,400,400
AXISBANK_CAL,CALENDAR,,2024-07-02,2024-07-03,1,SELL_CAL,2.664,0.468,375.0,45.0,330.0,INTRADAY,True,625,625
TATAPOWER/NHPC,PAIRS,10.0,2024-07-11,2024-07-23,12,BUY_A,-2.771,-0.928,266827.0,32019.0,234808.0,INTRADAY,True,7250,51200
NMDC/COAL,PAIRS,28.0,2024-07-16,2024-08-16,31,BUY_A,-2.543,-1.876,-458521.0,55022.0,-513543.0,TIME_STOP,False,45000,12600
HINDUNILVR_CAL,CALENDAR,,2024-08-29,2024-08-30,1,BUY_CAL,-5.002,-1.167,1440.0,173.0,1267.0,INTRADAY,True,300,300
HINDUNILVR_CAL,CALENDAR,,2024-09-03,2024-09-04,1,BUY_CAL,-2.596,-1.728,338.0,41.0,297.0,INTRADAY,True,300,300
KOTAKBANK_CAL,CALENDAR,,2024-09-30,2024-10-01,1,SELL_CAL,2.724,0.732,290.0,35.0,255.0,INTRADAY,True,400,400
LT/GMRAIRPORT,PAIRS,35.0,2024-10-07,2024-11-06,30,SELL_A,3.123,1.668,-188706.0,22645.0,-211350.0,TIME_STOP,False,350,34875
KOTAKBANK_CAL,CALENDAR,,2024-10-09,2024-10-10,1,SELL_CAL,2.821,-0.491,1080.0,130.0,950.0,PROFIT,True,400,400
