pair,entry_date,exit_date,days_held,direction,entry_z,exit_z,entry_pa,entry_pb,exit_pa,exit_pb,lots_a,lots_b,shares_a,shares_b,gross_pnl,charges,net_pnl,exit_reason,win
ULTRA/GRASIM,2024-04-23,2024-05-23,30,BUY_A,-2.386,-0.844,9417.65,2352.52,10046.91,2435.55,5,5,250,1250,53529.0,6423.0,47105.0,TIME_STOP,True
ULTRA/GRASIM,2024-09-23,2024-09-27,4,SELL_A,2.019,0.218,11886.7,2657.23,11877.01,2773.06,5,5,250,1250,147208.0,17665.0,129543.0,MEAN_REVERT,True
ULTRA/GRASIM,2024-10-18,2024-10-25,7,BUY_A,-2.083,-0.117,10999.58,2750.94,10925.94,2605.72,5,5,250,1250,163119.0,19574.0,143544.0,MEAN_REVERT,True
ULTRA/GRASIM,2024-12-19,2025-01-20,32,SELL_A,2.344,0.231,11597.29,2529.85,10557.53,2393.29,5,5,250,1250,89248.0,10710.0,78538.0,MEAN_REVERT,True
ULTRA/GRASIM,2025-03-03,2025-04-02,30,BUY_A,-2.159,-2.281,10275.67,2368.83,11180.08,2607.02,5,5,250,1250,-71625.0,8595.0,-80220.0,TIME_STOP,False
ULTRA/GRASIM,2025-04-15,2025-05-15,30,BUY_A,-2.049,-2.036,11645.18,2708.75,11819.08,2814.56,5,5,250,1250,-88795.0,10655.0,-99450.0,TIME_STOP,False
ULTRA/GRASIM,2025-06-10,2025-07-02,22,BUY_A,-2.018,0.163,11319.25,2698.18,12357.67,2839.47,5,5,250,1250,82997.0,9960.0,73037.0,MEAN_REVERT,True
ULTRA/GRASIM,2025-07-18,2025-08-05,18,SELL_A,2.208,0.281,12419.28,2718.61,12298.0,2787.06,5,5,250,1250,115883.0,13906.0,101977.0,MEAN_REVERT,True
ULTRA/GRASIM,2025-10-01,2025-10-31,30,BUY_A,-2.175,-2.091,12095.0,2789.7,11947.0,2891.7,5,5,250,1250,-164500.0,19740.0,-184240.0,TIME_STOP,False
ULTRA/GRASIM,2025-11-03,2025-11-06,3,BUY_A,-2.07,0.352,11950.0,2899.9,11910.0,2700.1,5,5,250,1250,239750.0,28770.0,210980.0,MEAN_REVERT,True
ULTRA/GRASIM,2026-01-20,2026-02-19,30,SELL_A,2.111,0.788,12059.0,2713.6,12688.0,2864.3,5,5,250,1250,31125.0,3735.0,27390.0,TIME_STOP,True
ICICIB/HDFC,2024-06-06,2024-07-05,29,BUY_A,-2.005,0.044,1092.49,769.45,1213.51,813.06,2,5,1400,2750,49494.0,5939.0,43555.0,MEAN_REVERT,True
ICICIB/HDFC,2024-10-24,2024-10-28,4,BUY_A,-2.271,-0.17,1243.16,863.16,1282.95,855.54,2,5,1400,2750,76671.0,9200.0,67470.0,MEAN_REVERT,True
ICICIB/HDFC,2024-11-08,2024-11-13,5,BUY_A,-2.375,0.2,1249.21,865.53,1244.1,829.46,2,5,1400,2750,92017.0,11042.0,80975.0,MEAN_REVERT,True
ICICIB/HDFC,2024-11-19,2024-12-19,30,BUY_A,-2.095,-0.924,1239.54,859.51,1277.05,884.79,2,5,1400,2750,-17014.0,2042.0,-19056.0,TIME_STOP,False
ICICIB/HDFC,2025-01-09,2025-01-22,13,SELL_A,2.065,0.143,1252.73,822.78,1191.26,821.92,2,5,1400,2750,83692.0,10043.0,73649.0,MEAN_REVERT,True
ICICIB/HDFC,2025-04-15,2025-04-29,14,BUY_A,-2.187,-0.238,1339.86,920.01,1418.85,941.67,2,5,1400,2750,51029.0,6123.0,44906.0,MEAN_REVERT,True
ICICIB/HDFC,2025-06-09,2025-07-09,30,BUY_A,-2.432,-2.371,1423.81,976.25,1420.94,1003.1,2,5,1400,2750,-77866.0,9344.0,-87210.0,TIME_STOP,False
ICICIB/HDFC,2025-07-10,2025-08-11,32,BUY_A,-2.3,-1.091,1413.2,1000.61,1425.6,997.8,2,5,1400,2750,25093.0,3011.0,22082.0,TIME_STOP,True
ICICIB/HDFC,2025-09-01,2025-09-29,28,SELL_A,2.017,-0.598,1411.0,950.6,1348.1,950.3,2,5,1400,2750,87235.0,10468.0,76767.0,MEAN_REVERT,True
ICICIB/HDFC,2025-10-06,2025-11-06,31,BUY_A,-2.009,-2.013,1363.4,973.45,1320.4,984.65,2,5,1400,2750,-91000.0,10920.0,-101920.0,TIME_STOP,False
ICICIB/HDFC,2026-01-06,2026-02-05,30,SELL_A,4.059,0.935,1411.2,962.2,1396.5,949.7,2,5,1400,2750,-13795.0,1655.0,-15450.0,TIME_STOP,False
ICICIB/HDFC,2026-02-13,2026-03-16,31,SELL_A,2.006,0.874,1414.6,903.9,1272.9,840.6,2,5,1400,2750,24305.0,2917.0,21388.0,TIME_STOP,True
LICHSGFIN/PFC,2024-04-23,2024-04-30,7,SELL_A,2.037,0.018,650.88,369.13,653.45,408.39,3,3,3000,3900,145414.0,17450.0,127964.0,MEAN_REVERT,True
LICHSGFIN/PFC,2024-05-03,2024-06-03,31,BUY_A,-2.563,-2.604,634.25,444.37,660.34,513.14,3,3,3000,3900,-189934.0,22792.0,-212726.0,TIME_STOP,False
LICHSGFIN/PFC,2024-12-02,2024-12-27,25,BUY_A,-2.01,0.086,616.0,466.85,586.28,425.7,3,3,3000,3900,71316.0,8558.0,62758.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-01-27,2025-02-25,29,SELL_A,2.048,0.197,554.14,366.98,512.43,359.69,3,3,3000,3900,96683.0,11602.0,85081.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-05-14,2025-06-10,27,SELL_A,2.262,0.295,605.83,388.92,607.45,413.81,3,3,3000,3900,92204.0,11064.0,81139.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-07-11,2025-07-15,4,BUY_A,-2.137,-0.145,594.19,415.38,608.29,409.74,3,3,3000,3900,64296.0,7715.0,56580.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-08-01,2025-08-26,25,BUY_A,-2.223,-0.069,560.38,389.26,560.4,377.87,3,3,3000,3900,44478.0,5337.0,39141.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-10-23,2025-10-30,7,SELL_A,2.124,-0.214,580.75,385.7,570.45,393.92,3,3,3000,3900,62949.0,7554.0,55395.0,MEAN_REVERT,True
LICHSGFIN/PFC,2025-11-07,2025-12-08,31,SELL_A,2.471,0.696,571.2,369.8,522.8,336.44,3,3,3000,3900,15084.0,1810.0,13274.0,TIME_STOP,True
LICHSGFIN/PFC,2026-01-07,2026-02-06,30,BUY_A,-2.01,-2.864,538.2,370.33,518.1,411.84,3,3,3000,3900,-222181.0,26662.0,-248843.0,TIME_STOP,False
LICHSGFIN/PFC,2026-02-09,2026-03-11,30,BUY_A,-2.354,-1.314,523.65,407.91,505.4,403.7,3,3,3000,3900,-38326.0,4599.0,-42925.0,TIME_STOP,False
NMDC/COAL,2024-05-06,2024-05-22,16,SELL_A,2.357,-0.44,82.51,404.97,83.67,441.1,10,12,45000,12600,402940.0,48353.0,354587.0,MEAN_REVERT,True
NMDC/COAL,2024-07-10,2024-08-09,30,BUY_A,-2.023,-2.421,75.01,431.47,67.85,465.81,10,12,45000,12600,-754820.0,90578.0,-845398.0,TIME_STOP,False
NMDC/COAL,2024-08-23,2024-09-13,21,BUY_A,-2.011,-0.157,67.92,478.51,67.59,435.35,10,12,45000,12600,529035.0,63484.0,465551.0,MEAN_REVERT,True
NMDC/COAL,2024-10-28,2024-11-27,30,SELL_A,3.244,1.427,70.3,392.19,70.22,384.08,10,12,45000,12600,-98859.0,11863.0,-110722.0,TIME_STOP,False
NMDC/COAL,2025-03-24,2025-04-07,14,SELL_A,2.517,-1.207,66.55,379.33,58.67,352.7,10,12,135000,12600,727903.0,87348.0,640555.0,MEAN_REVERT,True
NMDC/COAL,2025-07-24,2025-08-11,18,SELL_A,2.231,0.237,69.63,360.22,67.62,362.63,10,12,67500,12600,165987.0,19918.0,146069.0,MEAN_REVERT,True
NMDC/COAL,2025-09-23,2025-10-17,24,SELL_A,2.207,0.157,75.8,378.65,72.7,373.6,10,12,67500,12600,145407.0,17449.0,127959.0,MEAN_REVERT,True
NMDC/COAL,2026-01-22,2026-02-10,19,BUY_A,-2.664,-0.21,75.92,417.68,82.56,425.33,10,12,67500,16200,324167.0,38900.0,285267.0,MEAN_REVERT,True
