pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win,shares_a,shares_b,entry_spread,exit_spread
LICHSGFIN/PFC,PAIRS,2024-05-03,2024-05-06,3,BUY_A,-2.563,-1.322,95661.0,11479.0,84182.0,PROFIT,True,3000,3900,,
LICHSGFIN/PFC,PAIRS,2024-05-24,2024-06-04,11,BUY_A,-2.745,-1.313,24351.0,2922.0,21429.0,PROFIT,True,3000,3900,,
TATAPOWER/NHPC,PAIRS,2024-05-31,2024-06-04,4,BUY_A,-2.648,-1.439,214103.0,25692.0,188410.0,PROFIT,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2024-06-19,2024-06-21,2,BUY_A,-2.511,-2.111,4421.0,531.0,3890.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2024-06-18,2024-07-02,14,BUY_A,-3.087,-1.441,56939.0,6833.0,50107.0,PROFIT,True,350,34875,,
TATAPOWER/NHPC,PAIRS,2024-07-11,2024-07-18,7,BUY_A,-2.771,-1.512,103114.0,12374.0,90740.0,INTRADAY,True,7250,51200,,
NMDC/COALINDIA,PAIRS,2024-07-16,2024-07-19,3,BUY_A,-2.543,-2.146,11669.0,1400.0,10268.0,INTRADAY,True,45000,12600,,
NMDC/COALINDIA,PAIRS,2024-08-01,2024-08-05,4,BUY_A,-2.576,-1.972,59044.0,7085.0,51959.0,INTRADAY,True,45000,12600,,
LT/GMRAIRPORT,PAIRS,2024-10-07,2024-10-09,2,SELL_A,3.123,2.003,38948.0,4674.0,34274.0,INTRADAY,True,350,34875,,
NMDC/COALINDIA,PAIRS,2024-10-28,2024-11-04,7,SELL_A,3.244,2.29,19361.0,2323.0,17038.0,INTRADAY,True,45000,12600,,
LT/GMRAIRPORT,PAIRS,2024-10-21,2024-11-06,16,SELL_A,2.966,1.668,-33743.0,4049.0,-37792.0,INTRADAY,False,350,34875,,
ICICIBANK/HDFCBANK,PAIRS,2024-12-04,2024-12-05,1,BUY_A,-2.653,-2.102,10373.0,1245.0,9128.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2025-01-13,2025-01-15,2,SELL_A,3.377,1.679,74129.0,8895.0,65233.0,INTRADAY,True,350,34875,,
TATAPOWER/NHPC,PAIRS,2025-02-20,2025-02-24,4,BUY_A,-2.896,-1.531,51915.0,6230.0,45685.0,INTRADAY,True,7250,51200,,
NMDC/COALINDIA,PAIRS,2025-03-24,2025-03-25,1,SELL_A,2.517,2.011,41248.0,4950.0,36298.0,INTRADAY,True,135000,12600,,
NMDC/COALINDIA,PAIRS,2025-04-01,2025-04-02,1,SELL_A,2.543,2.592,-29309.0,3517.0,-32827.0,INTRADAY,False,135000,12600,,
NMDC/COALINDIA,PAIRS,2025-04-02,2025-04-04,2,SELL_A,2.592,0.317,524044.0,62885.0,461159.0,PROFIT,True,135000,12600,,
TATAPOWER/NHPC,PAIRS,2025-04-07,2025-04-08,1,BUY_A,-2.828,-2.728,-7517.0,902.0,-8419.0,INTRADAY,False,7250,51200,,
TATAPOWER/NHPC,PAIRS,2025-04-08,2025-04-16,8,BUY_A,-2.728,-1.635,34170.0,4100.0,30070.0,INTRADAY,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2025-04-22,2025-04-23,1,BUY_A,-2.845,-1.128,62257.0,7471.0,54786.0,PROFIT,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2025-04-03,2025-04-25,22,BUY_A,-3.509,-1.607,-74494.0,8939.0,-83434.0,INTRADAY,False,350,34875,,
TATAPOWER/NHPC,PAIRS,2025-04-22,2025-04-25,3,BUY_A,-2.568,-1.092,183255.0,21991.0,161264.0,PROFIT,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2025-06-26,2025-07-02,6,BUY_A,-3.258,-2.313,1615.0,194.0,1421.0,INTRADAY,True,1400,2750,,
LICHSGFIN/PFC,PAIRS,2025-08-06,2025-08-07,1,BUY_A,-2.688,-1.741,16171.0,1941.0,14231.0,INTRADAY,True,3000,3900,,
