pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,entry_spread,exit_spread,gross,charges,net,reason,win,shares_a,shares_b
ITC_CAL,CALENDAR,2024-04-01,2024-04-02,1,SELL_NEAR,3.471,2.133,-0.8,-2.95,3440.0,413.0,3027.0,INTRADAY,True,1600,1600
ITC_CAL,CALENDAR,2024-04-02,2024-04-03,1,SELL_NEAR,2.133,2.282,-1.5,-5.57,6520.0,782.0,5738.0,INTRADAY,True,1600,1600
ITC_CAL,CALENDAR,2024-04-03,2024-04-04,1,SELL_NEAR,2.282,1.85,-1.25,-5.07,6120.0,734.0,5386.0,INTRADAY,True,1600,1600
DABUR/COLPAL,PAIRS,2024-04-02,2024-04-04,2,BUY_A,-2.223,-2.166,,,11100.0,1332.0,9768.0,INTRADAY,True,1251,350
DABUR/COLPAL,PAIRS,2024-04-04,2024-04-09,5,BUY_A,-2.166,-1.311,,,26908.0,3229.0,23679.0,PROFIT,True,1261,353
CONCOR/GODREJPROP,PAIRS,2024-04-08,2024-04-15,7,BUY_A,-2.552,-2.221,,,7521.0,903.0,6619.0,INTRADAY,True,1009,479
GMRAIRPORT/IRCTC,PAIRS,2024-04-12,2024-04-15,3,BUY_A,-2.337,-2.138,,,16182.0,1942.0,14240.0,INTRADAY,True,7107,891
CONCOR/GODREJPROP,PAIRS,2024-04-15,2024-04-16,1,BUY_A,-2.221,-1.538,,,54841.0,6581.0,48260.0,INTRADAY,True,1027,488
TCS/WIPRO,PAIRS,2024-04-12,2024-04-18,6,SELL_A,2.0,2.224,,,-14230.0,1708.0,-15938.0,TIME_STOP,False,178,1528
GMRAIRPORT/IRCTC,PAIRS,2024-04-15,2024-04-18,3,BUY_A,-2.138,-1.365,,,27275.0,3273.0,24002.0,PROFIT,True,7165,898
SAIL/NATIONALUM,PAIRS,2024-04-18,2024-04-22,4,BUY_A,-1.904,-1.717,,,10945.0,1313.0,9632.0,INTRADAY,True,8399,7874
SAIL/NATIONALUM,PAIRS,2024-04-22,2024-04-23,1,BUY_A,-1.717,-0.662,,,49868.0,5984.0,43884.0,PROFIT,True,8430,7903
HINDUNILVR_CAL,CALENDAR,2024-04-25,2024-04-26,1,SELL_NEAR,5.849,4.277,5.8,-12.73,5557.0,667.0,4891.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-04-25,2024-04-26,1,SELL_NEAR,3.423,3.153,1.15,-1.65,4480.0,538.0,3942.0,INTRADAY,True,1600,1600
HCLTECH/PERSISTENT,PAIRS,2024-04-25,2024-04-26,1,SELL_A,2.88,2.259,,,15041.0,1805.0,13236.0,INTRADAY,True,374,107
ITC_CAL,CALENDAR,2024-04-26,2024-04-29,3,SELL_NEAR,3.153,2.778,1.5,-2.6,6560.0,787.0,5773.0,INTRADAY,True,1600,1600
TECHM/MPHASIS,PAIRS,2024-04-26,2024-04-29,3,SELL_A,2.362,2.009,,,14654.0,1759.0,12896.0,INTRADAY,True,648,297
ITC_CAL,CALENDAR,2024-04-29,2024-04-30,1,SELL_NEAR,2.778,2.448,1.55,-0.47,3240.0,389.0,2851.0,INTRADAY,True,1600,1600
NHPC/HUDCO,PAIRS,2024-04-26,2024-04-30,4,BUY_A,-3.016,-1.595,,,37624.0,4515.0,33109.0,INTRADAY,True,6912,2997
TECHM/MPHASIS,PAIRS,2024-04-29,2024-04-30,1,SELL_A,2.009,1.668,,,16530.0,1984.0,14547.0,INTRADAY,True,652,299
HINDUNILVR_CAL,CALENDAR,2024-04-26,2024-05-02,6,SELL_NEAR,4.277,2.65,6.7,-3.92,3187.0,382.0,2805.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-04-30,2024-05-02,2,SELL_NEAR,2.448,2.253,1.5,-2.87,7000.0,840.0,6160.0,INTRADAY,True,1600,1600
HINDUNILVR_CAL,CALENDAR,2024-05-02,2024-05-03,1,SELL_NEAR,2.65,2.48,7.6,-5.48,3923.0,471.0,3452.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-05-02,2024-05-03,1,SELL_NEAR,2.253,2.15,1.55,-3.22,7640.0,917.0,6723.0,INTRADAY,True,1600,1600
OBEROIRLTY_CAL,CALENDAR,2024-05-02,2024-05-03,1,SELL_NEAR,2.044,1.584,-6.1,-42.35,25375.0,3045.0,22330.0,INTRADAY,True,700,700
HINDUNILVR_CAL,CALENDAR,2024-05-03,2024-05-06,3,SELL_NEAR,2.48,2.223,8.7,-12.32,6307.0,757.0,5551.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-05-03,2024-05-06,3,SELL_NEAR,2.15,1.958,1.7,-1.07,4440.0,533.0,3907.0,INTRADAY,True,1600,1600
HINDUNILVR_CAL,CALENDAR,2024-05-06,2024-05-07,1,SELL_NEAR,2.223,1.906,8.4,-56.8,19560.0,2347.0,17213.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-05-07,2024-05-08,1,SELL_NEAR,2.117,2.141,2.25,-0.2,3920.0,470.0,3450.0,INTRADAY,True,1600,1600
CIPLA/DRREDDY,PAIRS,2024-05-07,2024-05-08,1,BUY_A,-1.935,-0.636,,,28661.0,3439.0,25222.0,PROFIT,True,737,141
ITC_CAL,CALENDAR,2024-05-08,2024-05-09,1,SELL_NEAR,2.141,1.933,2.65,-6.03,13880.0,1666.0,12214.0,INTRADAY,True,1600,1600
TECHM/MPHASIS,PAIRS,2024-05-07,2024-05-09,2,SELL_A,2.287,1.976,,,13240.0,1589.0,11652.0,INTRADAY,True,681,312
GODREJPROP/IRCTC,PAIRS,2024-05-06,2024-05-10,4,SELL_A,3.224,1.65,,,66062.0,7927.0,58135.0,INTRADAY,True,535,987
OBEROIRLTY_CAL,CALENDAR,2024-05-14,2024-05-15,1,SELL_NEAR,2.225,0.168,-4.55,-8.65,2870.0,344.0,2526.0,PROFIT,True,700,700
NHPC/HUDCO,PAIRS,2024-05-14,2024-05-15,1,BUY_A,-2.014,-1.851,,,14452.0,1734.0,12718.0,INTRADAY,True,7547,3272
SAIL_CAL,CALENDAR,2024-05-16,2024-05-17,1,SELL_NEAR,3.368,1.202,0.1,-2.52,10500.0,1260.0,9240.0,INTRADAY,True,4000,4000
COLPAL_CAL,CALENDAR,2024-05-16,2024-05-17,1,BUY_NEAR,-2.005,-2.118,-13.65,3.9,6142.0,737.0,5405.0,INTRADAY,True,350,350
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-05-16,2024-05-17,1,BUY_A,-2.1,-1.569,,,17169.0,2060.0,15108.0,INTRADAY,True,355,1185
COLPAL_CAL,CALENDAR,2024-05-17,2024-05-21,4,BUY_NEAR,-2.118,-1.257,-15.65,15.97,11069.0,1328.0,9740.0,INTRADAY,True,350,350
NHPC/HUDCO,PAIRS,2024-05-16,2024-05-21,5,BUY_A,-2.155,-3.939,,,-74176.0,8901.0,-83078.0,TIME_STOP,False,7586,3289
GMRAIRPORT/IRCTC,PAIRS,2024-05-17,2024-05-22,5,BUY_A,-1.887,-2.116,,,-20792.0,2495.0,-23287.0,TIME_STOP,False,8351,1047
NHPC/IRFC,PAIRS,2024-05-21,2024-05-22,1,BUY_A,-2.972,-1.357,,,37101.0,4452.0,32648.0,PROFIT,True,7475,4964
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-05-22,2024-05-23,1,BUY_A,-2.049,-1.115,,,23654.0,2839.0,20816.0,PROFIT,True,351,1171
CIPLA/DRREDDY,PAIRS,2024-05-21,2024-05-27,6,SELL_A,2.263,2.054,,,-13289.0,1595.0,-14884.0,TIME_STOP,False,759,146
NHPC/IRFC,PAIRS,2024-05-23,2024-05-28,5,BUY_A,-3.383,-2.715,,,13729.0,1647.0,12082.0,INTRADAY,True,7552,5015
NHPC/IRFC,PAIRS,2024-05-28,2024-05-29,1,BUY_A,-2.715,-2.276,,,24441.0,2933.0,21508.0,INTRADAY,True,7545,5010
NHPC/HUDCO,PAIRS,2024-05-29,2024-05-31,2,BUY_A,-2.404,-2.01,,,42828.0,5139.0,37688.0,INTRADAY,True,7600,3295
NHPC/HUDCO,PAIRS,2024-05-31,2024-06-03,3,BUY_A,-2.01,-1.887,,,24441.0,2933.0,21508.0,INTRADAY,True,7696,3337
CONCOR/IRCTC,PAIRS,2024-06-03,2024-06-04,1,SELL_A,2.969,0.849,,,133114.0,15974.0,117140.0,PROFIT,True,1211,1059
NHPC/HUDCO,PAIRS,2024-06-03,2024-06-04,1,BUY_A,-1.887,-0.479,,,66554.0,7986.0,58567.0,PROFIT,True,7751,3361
SAIL_CAL,CALENDAR,2024-06-05,2024-06-06,1,SELL_NEAR,2.165,0.88,-0.55,-4.9,17400.0,2088.0,15312.0,INTRADAY,True,4000,4000
CIPLA/DRREDDY,PAIRS,2024-06-05,2024-06-06,1,SELL_A,2.078,1.407,,,25936.0,3112.0,22824.0,PROFIT,True,832,160
CONCOR/IRCTC,PAIRS,2024-06-06,2024-06-07,1,SELL_A,1.89,1.742,,,19054.0,2287.0,16768.0,INTRADAY,True,1296,1134
