SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
20MICRONS, EQ, 12-Mar-2026,166.61,164.1,166.25,161.72,164.0,163.09,163.8,102669,168.18,2478,52980,51.6,2026-03-12
21STCENMGM, EQ, 12-Mar-2026,33.94,34.26,34.61,33.31,34.0,33.64,33.82,1484,0.5,40,1329,89.56,2026-03-12
360ONE, EQ, 12-Mar-2026,1048.1,1040.0,1049.1,1017.3,1046.7,1043.4,1037.1,934229,9688.92,29095,489037,52.35,2026-03-12
3IINFOLTD, EQ, 12-Mar-2026,13.24,13.3,13.35,13.1,13.1,13.14,13.2,606858,80.11,1083,493623,81.34,2026-03-12
3MINDIA, EQ, 12-Mar-2026,33720.0,33720.0,35175.0,33045.0,34250.0,34305.0,34211.37,8868,3033.86,3554,4402,49.64,2026-03-12
3PLAND, EQ, 12-Mar-2026,31.36,31.18,32.0,30.4,31.98,31.22,31.7,1006,0.32,71,823,81.81,2026-03-12
5PAISA, EQ, 12-Mar-2026,304.0,309.0,310.15,297.05,303.0,301.8,301.8,45409,137.04,1672,17457,38.44,2026-03-12
63MOONS, EQ, 12-Mar-2026,595.75,595.0,605.0,584.5,594.9,594.05,595.81,114090,679.76,3794,69732,61.12,2026-03-12
AAATECH, EQ, 12-Mar-2026,94.76,94.25,94.25,90.25,93.9,93.17,92.94,5703,5.3,203,3341,58.58,2026-03-12
AADHARHFC, EQ, 12-Mar-2026,482.35,476.0,482.0,470.1,475.0,475.95,476.64,248394,1183.95,13954,108734,43.77,2026-03-12
AAREYDRUGS, EQ, 12-Mar-2026,67.65,68.0,69.45,66.8,68.93,68.26,68.74,132551,91.12,504,119558,90.2,2026-03-12
AARNAV, EQ, 12-Mar-2026,26.29,26.82,27.0,24.8,25.6,25.31,25.33,18118,4.59,316,12026,66.38,2026-03-12
AARON, EQ, 12-Mar-2026,145.9,145.9,147.97,140.85,141.7,142.52,144.29,9152,13.21,327,6504,71.07,2026-03-12
AARTECH, EQ, 12-Mar-2026,40.34,40.5,41.48,39.05,39.8,39.8,40.18,13897,5.58,241,10188,73.31,2026-03-12
AARTIDRUGS, EQ, 12-Mar-2026,352.75,353.15,358.75,345.0,356.0,356.45,353.17,85129,300.65,4167,40400,47.46,2026-03-12
AARTIIND, EQ, 12-Mar-2026,430.15,430.0,456.75,420.3,445.9,446.2,447.41,3142764,14061.17,97106,847082,26.95,2026-03-12
AARTIPHARM, EQ, 12-Mar-2026,681.05,671.5,684.8,665.2,678.15,678.65,676.53,107706,728.67,9765,49248,45.72,2026-03-12
AARTISURF, EQ, 12-Mar-2026,367.15,369.85,385.0,363.2,370.9,376.15,375.82,12500,46.98,974,6919,55.35,2026-03-12
AARVI, EQ, 12-Mar-2026,129.82,131.81,131.9,127.2,131.35,128.88,129.19,11542,14.91,708,4186,36.27,2026-03-12
AAVAS, EQ, 12-Mar-2026,1211.8,1202.7,1211.0,1163.0,1182.0,1179.8,1179.18,347566,4098.42,27873,235083,67.64,2026-03-12
ABB, EQ, 12-Mar-2026,6280.0,6242.0,6429.5,6146.0,6415.5,6409.0,6339.68,596298,37803.36,55915,271347,45.51,2026-03-12
