Symbol,Spot,Lot,Near_Exp,Near_Price,Near_DTE,Near_Prem,Near_Ann_Basis,Near_OI,Near_Vol,Far_Exp,Far_Price,Far_DTE,Far_Prem,Far_Ann_Basis,Far_OI,Far_Vol,Spread,Theo_Spread,Spread_Dev,Z_Score,Z_Score_Dev,Hurst,ADF_p,Half_Life,Convergence_Prob,Basis_Slope,Is_Classic,Near_PnL,Far_PnL,Est_PnL,Potential_Gain,Est_Margin,Return_Pct,Slippage,Vol_20d,Vol_Pctile,Composite
OBEROIRLTY,1455.2,350,30-MAR-2026,1457.4,9,2.2,6.13,7288750,868350,28-APR-2026,1434.0,38,-21.2,-13.99,1081150,438550,-23.4,7.55,-30.95,-0.39,-0.22,0.927,0.0023,16.9,56.7,-20.12,True,770.0,1757.0,2527.0,8190.0,102018.0,2.48,1330.0,27.8,30.0,73.0
ASHOKLEY,167.99,5000,30-MAR-2026,168.43,9,0.44,10.62,139565000,27635000,28-APR-2026,167.32,38,-0.67,-3.83,20055000,6620000,-1.11,0.87,-1.98,-0.19,-0.08,0.953,0.0321,18.2,51.7,-14.45,True,2200.0,793.0,2993.0,5550.0,168430.0,1.78,1500.0,45.3,92.0,73.0
PPLPHARMA,139.05,2625,30-MAR-2026,139.56,9,0.51,14.87,15361500,2905875,28-APR-2026,138.82,38,-0.23,-1.59,3024000,609000,-0.74,0.72,-1.46,0.66,-0.08,0.991,0.0432,6.6,52.5,-16.46,True,1339.0,143.0,1482.0,1943.0,73269.0,2.02,1050.0,40.4,98.0,73.0
DMART,3816.7,150,30-MAR-2026,3818.4,9,1.7,1.81,5659050,239850,28-APR-2026,3806.6,38,-10.1,-2.54,1310100,37950,-11.8,19.79,-31.59,-0.13,-0.1,0.941,0.0691,13.7,51.7,-4.35,True,255.0,359.0,614.0,1770.0,114552.0,0.54,1230.0,23.0,28.0,66.0
JUBLFOOD,454.35,1250,30-MAR-2026,455.4,9,1.05,9.37,25727500,2127500,28-APR-2026,444.0,38,-10.35,-21.88,4473750,766250,-11.4,2.36,-13.76,0.06,-0.36,0.853,0.2145,10.6,63.0,-31.25,True,1312.0,3064.0,4377.0,14250.0,113850.0,3.84,312.0,24.1,45.0,66.0
KFINTECH,915.55,500,30-MAR-2026,916.0,9,0.45,1.99,2025000,247500,28-APR-2026,908.7,38,-6.85,-7.19,416500,69500,-7.3,4.75,-12.05,0.64,-0.11,0.958,0.0128,4.2,53.2,-9.18,True,225.0,811.0,1036.0,3650.0,91600.0,1.13,1075.0,36.0,64.0,63.0
SRF,2474.9,200,30-MAR-2026,2476.3,9,1.4,2.29,3792400,442200,28-APR-2026,2472.5,38,-2.4,-0.93,225800,87000,-3.8,12.83,-16.63,-0.21,-0.04,0.877,0.0071,12.9,50.8,-3.23,True,280.0,114.0,394.0,760.0,99052.0,0.4,1180.0,43.0,95.0,63.0
PAGEIND,32375.0,15,30-MAR-2026,32500.0,9,125.0,15.66,255795,44610,28-APR-2026,32240.0,38,-135.0,-4.01,21975,10200,-260.0,167.9,-427.9,-0.05,-0.12,0.942,0.0005,11.2,54.2,-19.66,True,1875.0,480.0,2355.0,3900.0,97500.0,2.41,975.0,31.6,81.0,63.0
SUPREMEIND,3852.1,175,30-MAR-2026,3852.3,9,0.2,0.21,2225475,197400,28-APR-2026,3846.8,38,-5.3,-1.32,410550,60200,-5.5,19.98,-25.48,-0.16,-0.06,1.062,0.2582,21.4,50.7,-1.53,True,35.0,220.0,255.0,962.0,134830.0,0.19,2205.0,31.1,52.0,56.0
KEI,4223.5,175,30-MAR-2026,4231.5,9,8.0,7.68,1559425,252175,28-APR-2026,4179.5,38,-44.0,-10.01,495250,70350,-52.0,21.9,-73.9,-0.19,-0.11,0.968,0.1373,18.5,54.3,-17.69,True,1400.0,1824.0,3224.0,9100.0,148102.0,2.18,1400.0,44.8,72.0,56.0
OIL,480.95,1400,30-MAR-2026,480.8,9,-0.15,-1.26,23044000,5740000,28-APR-2026,479.6,38,-1.35,-2.7,2310000,525000,-1.2,2.49,-3.69,-0.11,-0.09,1.01,0.0363,12.9,51.1,-1.43,False,-210.0,448.0,238.0,1680.0,134624.0,0.18,1470.0,23.8,24.0,48.0
