Pair,SymA,SymB,Days,ADF_p,Coint_p,Hurst,HalfLife,Corr,R2,Z_30d,Passes,Sector
SUNPHARMA/CIPLA,SUNPHARMA,CIPLA,742,0.7575,0.6512,1.0148,92.5,0.452,0.832,2.08,False,PHARMA
SUNPHARMA/DRREDDY,SUNPHARMA,DRREDDY,725,0.7555,0.5202,1.0383,238.3,0.106,0.209,-0.66,False,PHARMA
SUNPHARMA/LUPIN,SUNPHARMA,LUPIN,725,0.0129,0.0242,0.9995,68.0,0.555,0.961,-0.21,False,PHARMA
SUNPHARMA/AUROPHARMA,SUNPHARMA,AUROPHARMA,475,0.0002,0.3368,0.9929,22.9,0.558,0.825,1.51,False,PHARMA
SUNPHARMA/BIOCON,SUNPHARMA,BIOCON,501,0.0942,0.437,1.022,28.4,0.333,0.249,0.58,False,PHARMA
SUNPHARMA/DIVISLAB,SUNPHARMA,DIVISLAB,501,0.4042,0.3584,1.0337,114.4,0.415,0.299,-0.11,False,PHARMA
SUNPHARMA/TORNTPHARM,SUNPHARMA,TORNTPHARM,501,0.656,0.4043,0.9896,81.9,0.398,0.29,0.02,False,PHARMA
SUNPHARMA/ALKEM,SUNPHARMA,ALKEM,251,0.6573,0.1203,0.9999,46.0,0.469,0.038,-0.3,False,PHARMA
SUNPHARMA/GLENMARK,SUNPHARMA,GLENMARK,529,0.1619,0.8401,1.0162,71.4,0.364,0.801,0.43,False,PHARMA
SUNPHARMA/LAURUSLABS,SUNPHARMA,LAURUSLABS,251,0.8366,0.1126,1.0316,172.8,0.429,0.007,0.69,False,PHARMA
SUNPHARMA/ZYDUSLIFE,SUNPHARMA,ZYDUSLIFE,725,0.2386,0.6769,1.0239,54.5,0.47,0.773,0.6,False,PHARMA
SUNPHARMA/SYNGENE,SUNPHARMA,SYNGENE,725,0.9924,0.8284,1.0048,DIV,0.334,0.022,1.54,False,PHARMA
CIPLA/DRREDDY,CIPLA,DRREDDY,725,0.7416,0.2729,1.0441,247.1,0.158,0.088,-1.23,False,PHARMA
CIPLA/LUPIN,CIPLA,LUPIN,725,0.2685,0.3669,1.0113,120.9,0.48,0.841,-0.89,False,PHARMA
CIPLA/AUROPHARMA,CIPLA,AUROPHARMA,475,0.0008,0.5795,1.0109,20.6,0.399,0.85,-0.15,False,PHARMA
CIPLA/BIOCON,CIPLA,BIOCON,501,0.1397,0.1847,0.9934,31.8,0.273,0.088,-0.98,False,PHARMA
CIPLA/DIVISLAB,CIPLA,DIVISLAB,501,0.5442,0.0983,1.0134,127.0,0.407,0.045,-1.57,False,PHARMA
CIPLA/TORNTPHARM,CIPLA,TORNTPHARM,501,0.8702,0.4694,1.0096,122.3,0.373,0.063,-0.76,False,PHARMA
CIPLA/ALKEM,CIPLA,ALKEM,251,0.8901,0.6004,1.0055,108.5,0.364,0.002,-0.98,False,PHARMA
CIPLA/GLENMARK,CIPLA,GLENMARK,529,0.57,0.8798,1.0304,127.8,0.337,0.615,-1.33,False,PHARMA
CIPLA/LAURUSLABS,CIPLA,LAURUSLABS,251,0.9366,0.6011,1.0298,594.3,0.452,0.005,-0.69,False,PHARMA
CIPLA/ZYDUSLIFE,CIPLA,ZYDUSLIFE,725,0.3954,0.0964,1.0286,67.6,0.43,0.84,-0.73,False,PHARMA
CIPLA/SYNGENE,CIPLA,SYNGENE,725,0.9316,0.3573,1.0148,687.8,0.28,0.029,1.49,False,PHARMA
DRREDDY/LUPIN,DRREDDY,LUPIN,743,0.5505,0.7728,1.0005,262.6,0.118,0.25,0.46,False,PHARMA
DRREDDY/AUROPHARMA,DRREDDY,AUROPHARMA,493,0.4719,0.5635,1.0226,119.9,-0.223,0.417,1.97,False,PHARMA
DRREDDY/BIOCON,DRREDDY,BIOCON,501,0.5502,0.6533,1.0209,106.3,0.034,0.229,1.26,False,PHARMA
DRREDDY/DIVISLAB,DRREDDY,DIVISLAB,501,0.5583,0.3337,1.0286,155.2,0.102,0.655,0.5,False,PHARMA
DRREDDY/TORNTPHARM,DRREDDY,TORNTPHARM,501,0.6059,0.6745,1.0199,144.7,0.217,0.33,0.64,False,PHARMA
DRREDDY/ALKEM,DRREDDY,ALKEM,251,0.4354,0.2644,1.0253,35.7,0.408,0.095,0.31,False,PHARMA
DRREDDY/GLENMARK,DRREDDY,GLENMARK,546,0.7774,0.7448,1.0184,278.3,0.071,0.218,1.08,False,PHARMA
DRREDDY/LAURUSLABS,DRREDDY,LAURUSLABS,251,0.3869,0.1912,1.0123,143.9,0.41,0.184,0.83,False,PHARMA
DRREDDY/ZYDUSLIFE,DRREDDY,ZYDUSLIFE,743,0.7209,0.9074,1.012,276.8,0.158,0.033,1.99,False,PHARMA
DRREDDY/SYNGENE,DRREDDY,SYNGENE,743,0.7027,0.7585,1.0214,210.4,0.107,0.105,1.48,False,PHARMA
LUPIN/AUROPHARMA,LUPIN,AUROPHARMA,493,0.8315,0.6139,1.0166,181.5,0.597,0.861,1.52,False,PHARMA
LUPIN/BIOCON,LUPIN,BIOCON,501,0.0626,0.2948,1.0262,21.4,0.393,0.436,0.63,False,PHARMA
LUPIN/DIVISLAB,LUPIN,DIVISLAB,501,0.3982,0.4253,1.0491,68.6,0.463,0.5,0.11,False,PHARMA
LUPIN/TORNTPHARM,LUPIN,TORNTPHARM,501,0.1851,0.2919,0.9696,31.7,0.47,0.569,0.66,False,PHARMA
LUPIN/ALKEM,LUPIN,ALKEM,251,0.2024,0.0644,0.9815,19.7,0.506,0.255,-0.24,False,PHARMA
LUPIN/GLENMARK,LUPIN,GLENMARK,546,0.4033,0.4687,1.003,53.0,0.28,0.879,0.56,False,PHARMA
LUPIN/LAURUSLABS,LUPIN,LAURUSLABS,251,0.657,0.0839,1.0025,107.8,0.548,0.129,0.57,False,PHARMA
LUPIN/ZYDUSLIFE,LUPIN,ZYDUSLIFE,743,0.6455,0.8596,1.0269,169.8,0.542,0.757,0.82,False,PHARMA
LUPIN/SYNGENE,LUPIN,SYNGENE,743,0.9958,0.9329,1.0244,DIV,0.37,0.031,1.4,False,PHARMA
AUROPHARMA/BIOCON,AUROPHARMA,BIOCON,251,0.2338,0.1067,0.9787,19.3,0.464,0.1,-1.1,False,PHARMA
AUROPHARMA/DIVISLAB,AUROPHARMA,DIVISLAB,251,0.2583,0.0876,1.0016,15.2,0.428,0.088,-1.43,False,PHARMA
AUROPHARMA/TORNTPHARM,AUROPHARMA,TORNTPHARM,251,0.5088,0.0795,0.989,36.9,0.446,0.031,-1.18,False,PHARMA
AUROPHARMA/ALKEM,AUROPHARMA,ALKEM,251,0.473,0.0891,0.9729,28.6,0.463,0.079,-1.35,False,PHARMA
AUROPHARMA/GLENMARK,AUROPHARMA,GLENMARK,301,0.8599,0.7034,0.9895,111.9,0.626,0.641,-1.09,False,PHARMA
AUROPHARMA/LAURUSLABS,AUROPHARMA,LAURUSLABS,251,0.8286,0.0763,1.0442,166.0,0.503,0.019,-0.22,False,PHARMA
AUROPHARMA/ZYDUSLIFE,AUROPHARMA,ZYDUSLIFE,498,0.1258,0.3728,1.0117,46.7,0.584,0.767,-1.27,False,PHARMA
AUROPHARMA/SYNGENE,AUROPHARMA,SYNGENE,498,0.9623,0.3068,1.0104,DIV,0.277,0.003,1.11,False,PHARMA
BIOCON/DIVISLAB,BIOCON,DIVISLAB,501,0.3804,0.1146,1.0111,41.9,0.402,0.582,-0.74,False,PHARMA
BIOCON/TORNTPHARM,BIOCON,TORNTPHARM,501,0.0122,0.0441,1.0077,14.4,0.293,0.653,-0.4,False,PHARMA
BIOCON/ALKEM,BIOCON,ALKEM,251,0.1552,0.2023,1.0074,16.7,0.432,0.353,-0.71,False,PHARMA
