strategy,symbol,entry_date,exit_date,pnl_pct,portfolio_pnl,days_held,exit_reason
BREAKOUT,ULTRACEMCO,2023-03-29,2023-04-05,2.2962,8037.0,7,time_stop
BREAKOUT,ZYDUSLIFE,2023-03-29,2023-04-05,1.5863,5597.0,7,time_stop
PAIR,DRREDDY/AUROPHARMA,2023-03-29,2023-04-13,-2.236,-7933.0,15,time_stop
PAIR,BAJAJFINSV/MUTHOOTFIN,2023-03-29,2023-04-13,1.6941,5963.0,15,time_stop
PAIR,WIPRO/LTIM,2023-04-05,2023-04-13,1.7259,6111.0,8,z_revert
PAIR,HDFCLIFE/SBILIFE,2023-04-05,2023-04-20,-1.0545,-3757.0,15,time_stop
BREAKOUT,GODREJPROP,2023-04-13,2023-04-20,-0.0934,-331.0,7,time_stop
BREAKOUT,TVSMOTOR,2023-04-13,2023-04-20,-2.7027,-9589.0,7,time_stop
BREAKOUT,ICICIPRULI,2023-04-20,2023-04-21,-2.9701,-10438.0,1,stoploss
BREAKOUT,PAGEIND,2023-04-20,2023-04-25,3.3122,11519.0,5,target
BREAKOUT,TRENT,2023-04-20,2023-04-27,-0.9253,-3255.0,7,time_stop
PAIR,DRREDDY/AUROPHARMA,2023-04-13,2023-04-28,-3.8665,-13559.0,15,time_stop
BREAKOUT,PNB,2023-04-28,2023-05-05,0.0,0.0,7,time_stop
PAIR,WIPRO/LTIM,2023-04-21,2023-05-08,2.483,8589.0,17,time_stop
PAIR,AXISBANK/BANKBARODA,2023-04-25,2023-05-09,2.1995,7675.0,14,z_revert
PAIR,ICICIGI/SBILIFE,2023-04-27,2023-05-12,0.5054,1777.0,15,time_stop
BREAKOUT,TVSMOTOR,2023-05-05,2023-05-12,1.6969,5977.0,7,time_stop
PAIR,CIPLA/AUROPHARMA,2023-05-09,2023-05-18,-0.1187,-421.0,9,z_revert
PAIR,BAJFINANCE/BAJAJFINSV,2023-05-08,2023-05-23,0.0868,307.0,15,time_stop
PAIR,DRREDDY/ZYDUSLIFE,2023-05-12,2023-05-29,1.114,3947.0,17,time_stop
PAIR,SUNPHARMA/LUPIN,2023-05-12,2023-05-29,-1.624,-5776.0,17,time_stop
PAIR,ONGC/GAIL,2023-05-18,2023-05-29,2.3133,8181.0,11,z_revert
BREAKOUT,COALINDIA,2023-05-29,2023-05-31,-3.0645,-10926.0,2,stoploss
