Symbol,Status,MinDate,MaxDate,Rows,Note
360ONE,PARTIAL,2025-06-26,2026-02-02,454,Starts late (2025-06-26).
ABB,OK,2023-01-31,2026-01-29,2241,
ABCAPITAL,OK,2023-01-31,2026-01-29,2241,
ADANIENSOL,PARTIAL,2024-11-29,2026-02-02,886,Starts late (2024-11-29).
ADANIENT,GAPS,2023-01-02,2025-01-29,1494,Gap of 33 days.
ADANIGREEN,PARTIAL,2024-11-29,2026-02-02,886,Starts late (2024-11-29).
ADANIPORTS,OK,2023-01-31,2025-01-29,1498,
ALKEM,OK,2023-01-31,2026-01-29,2241,
AMBER,PARTIAL,2025-06-26,2026-02-02,454,Starts late (2025-06-26).
AMBUJACEM,OK,2023-01-31,2025-01-29,1498,
ANGELONE,PARTIAL,2024-12-02,2026-02-02,788,Starts late (2024-12-02).
APLAPOLLO,PARTIAL,2024-11-29,2026-02-02,886,Starts late (2024-11-29).
APOLLOHOSP,OK,2023-01-02,2024-12-31,1495,
ASHOKLEY,OK,2023-01-31,2025-01-29,1498,
ASIANPAINT,GAPS,2023-01-31,2026-01-29,1491,Gap of 367 days.
ASTRAL,OK,2023-01-02,2026-02-02,2263,
AUBANK,PARTIAL,2024-02-05,2026-02-02,1499,Starts late (2024-02-05).
AUROPHARMA,GAPS,2023-01-02,2026-02-02,1203,Gap of 37 days.
AXISBANK,PARTIAL,2024-01-31,2026-01-29,1495,Starts late (2024-01-31).
BAJAJ-AUTO,OK,2023-01-02,2026-02-02,1745,
BAJAJFINSV,OK,2023-01-02,2026-02-02,1225,
BAJAJHLDNG,PARTIAL,2025-12-31,2026-02-02,69,Starts late (2025-12-31).
BAJFINANCE,OK,2023-01-02,2026-02-02,1745,
BANDHANBNK,PARTIAL,2024-01-31,2026-01-29,1495,Starts late (2024-01-31).
BANKBARODA,PARTIAL,2024-01-31,2026-01-29,1495,Starts late (2024-01-31).
BANKINDIA,PARTIAL,2024-11-29,2026-02-02,886,Starts late (2024-11-29).
BDL,PARTIAL,2025-05-29,2026-02-02,515,Starts late (2025-05-29).
BEL,OK,2023-01-31,2026-01-29,2242,
BHARATFORG,OK,2023-01-31,2026-01-29,2242,
