symbol,win,pnl_pct,pnl_inr,dte_to_exit
360ONE,True,0.5239,3106.0,3
ABB,False,0.0,0.0,0
ABB,False,-1.9953,-25400.0,8
ABB,True,0.9446,12025.0,7
ABB,False,0.0,0.0,0
ABB,True,1.144,7281.0,9
ABB,False,-0.217,-1381.0,5
ABB,False,-2.9802,-18969.0,3
ABB,False,0.0,0.0,0
ADANIENT,True,0.5687,3852.0,1
ADANIGREEN,True,0.5866,2198.0,1
ADANIPORTS,False,-1.115,-13200.0,3
ADANIPORTS,True,4.0512,47960.0,6
ADANIPORTS,True,0.6285,7440.0,3
ADANIPORTS,False,-3.6863,-21820.0,3
ADANIPORTS,True,1.5779,9340.0,3
ADANIPORTS,True,2.997,17740.0,1
ADANIPORTS,True,0.9258,5480.0,3
ALKEM,True,0.2598,1197.0,1
ALKEM,True,0.4347,2196.0,1
AMBER,True,0.724,5910.0,4
AMBER,True,0.687,4943.0,3
AMBUJACEM,True,0.5205,5130.0,3
AMBUJACEM,False,-3.7987,-37440.0,6
AMBUJACEM,False,0.0,0.0,0
AMBUJACEM,True,0.0183,90.0,12
AMBUJACEM,True,2.913,14355.0,3
AMBUJACEM,False,-0.3013,-1485.0,3
ANGELONE,True,1.1939,5283.0,1
ANGELONE,True,0.6663,3029.0,1
ANGELONE,True,0.2963,1408.0,2
ANGELONE,True,0.377,2306.0,3
ANGELONE,True,1.762,9411.0,3
ANGELONE,True,0.1373,857.0,4
APOLLOHOSP,False,-3.1965,-29531.0,2
APOLLOHOSP,False,-0.2659,-2456.0,6
APOLLOHOSP,True,0.3653,3375.0,9
APOLLOHOSP,False,-0.4796,-4431.0,3
APOLLOHOSP,True,0.8172,7550.0,3
APOLLOHOSP,False,-0.0805,-744.0,3
ASHOKLEY,True,0.3021,1774.0,1
ASHOKLEY,True,0.4692,4098.0,3
ASHOKLEY,True,0.3109,3000.0,4
ASIANPAINT,False,-4.2029,-24180.0,3
ASIANPAINT,False,-1.1576,-6660.0,5
ASIANPAINT,False,-0.2173,-1250.0,3
ASIANPAINT,False,-0.9264,-5330.0,3
ASIANPAINT,False,0.0,0.0,0
ASIANPAINT,False,-0.073,-420.0,3
ASIANPAINT,True,3.8674,22250.0,6
ASIANPAINT,True,4.0152,23100.0,3
ASIANPAINT,True,0.2677,1540.0,6
ASIANPAINT,True,4.5853,26380.0,4
ASIANPAINT,False,-1.3923,-8010.0,3
ASIANPAINT,False,-0.1877,-1080.0,6
ASIANPAINT,True,0.9595,5520.0,1
ASIANPAINT,True,1.1941,6870.0,1
ASIANPAINT,True,1.3766,7920.0,1
ASIANPAINT,True,1.6773,9650.0,3
ASIANPAINT,True,0.3424,1970.0,3
ASIANPAINT,True,0.3758,1837.0,1
ASIANPAINT,True,0.0259,120.0,3
ASTRAL,True,0.5266,2808.0,5
ASTRAL,False,-0.2478,-1321.0,3
ASTRAL,False,0.0,0.0,0
ASTRAL,True,0.1083,714.0,2
ASTRAL,True,0.2407,1162.0,2
ASTRAL,True,0.3123,1729.0,2
AUBANK,True,0.7493,4222.0,1
AUBANK,True,0.2464,1355.0,3
AUBANK,True,1.6472,10272.0,1
AUROPHARMA,True,0.8624,11440.0,6
AUROPHARMA,True,0.1778,2086.0,4
AUROPHARMA,True,0.0415,550.0,5
AXISBANK,True,0.1707,1161.0,4
AXISBANK,False,0.0,0.0,0
AXISBANK,False,-1.5245,-12156.0,3
AXISBANK,True,2.9942,23875.0,1
AXISBANK,True,1.7322,13812.0,1
AXISBANK,True,0.337,2687.0,3
AXISBANK,True,1.4383,11469.0,2
BAJAJ-AUTO,False,-4.8639,-54062.0,3
BAJAJ-AUTO,False,-2.1491,-23887.0,6
BAJAJ-AUTO,False,-0.7085,-7875.0,3
BAJAJ-AUTO,True,0.7473,8306.0,3
BAJAJ-AUTO,True,3.6685,40775.0,3
BAJAJ-AUTO,True,1.5222,10151.0,3
BAJAJ-AUTO,False,0.0,0.0,0
BANDHANBNK,True,0.4067,1872.0,1
BANDHANBNK,True,0.3549,1486.0,1
BANDHANBNK,True,0.237,1099.0,1
BANDHANBNK,True,0.5832,3135.0,4
BANKNIFTY,True,0.1609,1609.0,5
BANKNIFTY,True,0.3886,3136.0,3
BANKNIFTY,True,0.3655,2828.0,4
BDL,True,0.2841,1365.0,3
BHARATFORG,True,0.366,2199.0,4
BHARATFORG,False,-1.6416,-11575.0,5
BHARATFORG,True,0.4631,3001.0,3
BHARTIARTL,True,0.0692,711.0,4
BHEL,True,4.1062,60900.0,3
BHEL,True,3.115,23100.0,3
BHEL,False,-0.7434,-5512.0,3
BHEL,False,-2.2832,-16931.0,3
BHEL,True,2.2832,16931.0,3
BHEL,True,2.885,21394.0,1
BLUESTARCO,True,0.3163,1788.0,2
BLUESTARCO,True,0.1024,634.0,3
BLUESTARCO,True,0.65,3993.0,4
BLUESTARCO,True,0.1722,994.0,4
BLUESTARCO,True,0.3049,1683.0,4
BOSCHLTD,True,0.1668,1126.0,1
BOSCHLTD,True,1.5785,15088.0,1
BPCL,False,-1.6459,-10800.0,3
BPCL,False,-1.7419,-11430.0,5
BPCL,True,2.0299,13320.0,3
BPCL,True,1.2893,8460.0,1
BPCL,True,0.2469,1620.0,1
BPCL,True,3.3054,21690.0,3
BPCL,False,-3.9912,-26190.0,3
BPCL,False,-2.4277,-15930.0,3
BPCL,False,-2.071,-13590.0,3
BPCL,False,0.0,0.0,0
BPCL,True,2.2219,14580.0,7
BPCL,True,1.4676,9630.0,3
BPCL,True,1.9339,12690.0,3
BPCL,True,1.8717,8803.0,2
BPCL,True,1.1694,7700.0,3
BRITANNIA,False,-0.0017,-20.0,7
BRITANNIA,False,-0.2572,-2990.0,8
BRITANNIA,False,-0.504,-5860.0,3
BRITANNIA,True,1.8699,21740.0,3
BRITANNIA,True,1.0915,12690.0,2
BRITANNIA,False,-0.3681,-4280.0,3
BRITANNIA,True,0.6104,3160.0,3
BSE,True,0.2519,1930.0,3
CAMS,True,0.1897,903.0,2
CDSL,True,0.3765,2271.0,3
CGPOWER,True,0.4477,1933.0,1
CHOLAFIN,True,1.5312,15884.0,1
CHOLAFIN,True,0.7615,8251.0,3
CIPLA,True,7.0214,68998.0,4
CIPLA,True,0.8301,8157.0,3
CIPLA,True,0.7904,7768.0,6
CIPLA,True,3.1618,31070.0,3
CIPLA,False,-1.2733,-12512.0,3
CIPLA,False,-1.5974,-15697.0,3
CIPLA,True,0.7673,7540.0,2
CIPLA,False,-1.5677,-15405.0,3
CIPLA,True,2.0241,19890.0,3
COALINDIA,True,2.4061,19110.0,6
COALINDIA,True,6.5706,52185.0,3
COALINDIA,True,0.3834,3045.0,7
COALINDIA,False,-0.4759,-3780.0,6
COLPAL,True,5.3426,40775.0,3
COLPAL,True,0.0986,752.0,3
COLPAL,False,-1.08,-8242.0,3
COLPAL,False,-2.1049,-16065.0,3
COLPAL,True,0.6008,4585.0,4
COLPAL,True,0.2797,2135.0,6
COLPAL,True,0.1317,586.0,3
COLPAL,True,1.1518,5060.0,2
COLPAL,True,0.4582,1932.0,3
CONCOR,True,2.279,11650.0,5
CONCOR,True,0.3244,2700.0,5
CROMPTON,True,0.1496,600.0,3
CROMPTON,True,0.5237,2100.0,5
CROMPTON,True,12.8296,51450.0,1
CROMPTON,True,2.3939,9600.0,1
CROMPTON,False,-0.4114,-1650.0,1
CROMPTON,True,0.6359,3060.0,3
CROMPTON,True,0.8042,3870.0,3
CROMPTON,False,-4.6755,-22500.0,3
CROMPTON,False,-2.8053,-13500.0,3
CROMPTON,False,-0.1496,-720.0,6
CROMPTON,False,-1.3278,-6390.0,3
CROMPTON,True,1.571,7560.0,5
CROMPTON,False,0.0,0.0,0
CUMMINSIND,True,0.3157,2450.0,3
DABUR,False,-0.6885,-4438.0,3
DABUR,True,0.3297,2125.0,5
DABUR,False,-0.8436,-5437.0,3
DABUR,False,-1.3284,-8563.0,3
DABUR,False,-0.1745,-1125.0,1
DABUR,False,-1.1927,-7687.0,3
DABUR,True,0.2133,1375.0,3
DABUR,True,1.2702,8187.0,3
DABUR,True,0.5818,3750.0,2
DABUR,False,-0.3685,-2375.0,6
DABUR,True,0.2182,1443.0,5
DABUR,True,2.6278,16937.0,3
DABUR,True,0.2814,1689.0,1
DABUR,True,0.5564,3631.0,1
DABUR,True,0.3278,2000.0,3
