symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
ABB,2023-02-23,2023-02-20,2023-02-23,BUY,-37.533,-38.562,-1.029,-13100.0,5092.0,250,3,2023-02
ABB,2023-03-29,2023-03-24,2023-03-29,BUY,-34.4,-33.53,0.87,11075.0,5092.0,250,5,2023-03
ABB,2023-04-27,2023-04-24,2023-04-27,BUY,-36.89,-32.879,4.011,51062.0,5092.0,250,3,2023-04
ABB,2023-05-25,2023-05-22,2023-05-25,BUY,-23.642,-22.47,1.172,14925.0,5092.0,250,3,2023-05
ABB,2023-06-29,2023-06-26,2023-06-27,BUY,-15.684,-15.523,0.161,2050.0,5092.0,250,1,2023-06
ABB,2023-07-27,2023-07-24,2023-07-27,BUY,-15.131,-13.389,1.742,22175.0,5092.0,250,3,2023-07
ABB,2023-08-31,2023-08-28,2023-08-31,BUY,-16.065,-13.908,2.157,27463.0,5092.0,250,3,2023-08
ABB,2023-09-28,2023-09-25,2023-09-28,BUY,-17.9,-19.245,-1.345,-17125.0,5092.0,250,3,2023-09
ABB,2023-10-26,2023-10-23,2023-10-26,BUY,-22.517,-22.38,0.136,1738.0,5092.0,250,3,2023-10
ABB,2023-11-30,2023-11-24,2023-11-30,BUY,-16.374,-13.365,3.009,19150.0,5092.0,125,6,2023-11
ABB,2024-01-25,2024-01-20,2024-01-25,BUY,-6.827,-7.044,-0.217,-1381.0,5092.0,125,5,2024-01
ABB,2024-02-29,2024-02-26,2024-02-29,SELL,4.086,7.066,-2.98,-18969.0,5092.0,125,3,2024-02
ABB,2024-03-28,2024-03-22,2024-03-28,SELL,17.57,25.11,-7.54,-47994.0,5092.0,125,6,2024-03
ABB,2024-04-25,2024-04-22,2024-04-25,SELL,27.982,26.377,1.605,10219.0,5092.0,125,3,2024-04
ABB,2024-05-30,2024-05-27,2024-05-30,SELL,65.612,62.223,3.389,21569.0,5092.0,125,3,2024-05
ABB,2024-06-27,2024-06-24,2024-06-27,SELL,66.466,68.926,-2.46,-15656.0,5092.0,125,3,2024-06
ABB,2024-07-25,2024-07-22,2024-07-25,SELL,51.545,49.206,2.339,14887.0,5092.0,125,3,2024-07
ABB,2024-08-29,2024-08-26,2024-08-29,SELL,52.923,54.182,-1.259,-8012.0,5092.0,125,3,2024-08
ABB,2024-09-26,2024-09-23,2024-09-26,SELL,56.033,58.128,-2.095,-13337.0,5092.0,125,3,2024-09
ABCAPITAL,2023-02-23,2023-02-20,2023-02-23,BUY,-55.581,-57.147,-1.566,-27540.0,325.65,5400,3,2023-02
ABCAPITAL,2023-03-29,2023-03-24,2023-03-29,BUY,-55.858,-52.94,2.917,51300.0,325.65,5400,5,2023-03
ABCAPITAL,2023-04-27,2023-04-24,2023-04-27,BUY,-50.729,-50.269,0.461,8100.0,325.65,5400,3,2023-04
ABCAPITAL,2023-05-25,2023-05-22,2023-05-25,BUY,-48.979,-49.486,-0.507,-8910.0,325.65,5400,3,2023-05
