Entry_Date,Exit_Date,Return,Duration,Reason,Type
2023-04-25,2023-06-09,-0.061373225257573744,45,Time Stop,Long Ratio
2023-06-23,2023-08-09,0.023040820335365076,47,Target,Short Ratio
2023-08-17,2023-10-03,-0.0653864863834395,47,Time Stop,Long Ratio
2023-11-07,2023-11-17,0.014921156676223327,10,Target,Long Ratio
2023-11-24,2023-12-15,0.015561773263492031,21,Target,Short Ratio
2023-12-21,2024-01-11,0.01279721398330633,21,Target,Short Ratio
2024-01-12,2024-01-16,0.014495444301177931,4,Target,Long Ratio
2024-01-17,2024-03-02,-0.09548466576945637,45,Time Stop,Long Ratio
2024-03-19,2024-03-28,0.025375932049727608,9,Target,Short Ratio
2024-04-02,2024-04-25,0.0043633562242856245,23,Target,Short Ratio
2024-04-30,2024-05-24,0.01216378799332919,24,Target,Long Ratio
2024-06-04,2024-07-05,0.005561893763856092,31,Target,Short Ratio
2024-07-18,2024-08-01,0.036497420728117895,14,Target,Long Ratio
2024-09-23,2024-10-04,0.01259152537390728,11,Target,Short Ratio
2024-10-16,2024-10-18,0.013237106029947505,2,Target,Short Ratio
2024-10-21,2024-12-05,-0.046701489256535944,45,Time Stop,Short Ratio
2024-12-09,2025-01-02,0.006398299622549745,24,Target,Short Ratio
2025-01-06,2025-01-30,0.0001758725497224555,24,Target,Long Ratio
2025-02-17,2025-02-20,0.018513934320719856,3,Target,Short Ratio
2025-02-28,2025-03-24,0.027037945846972417,24,Target,Short Ratio
2025-04-23,2025-05-05,0.01731240372948932,12,Target,Long Ratio
2025-05-06,2025-05-13,0.018012541989273826,7,Target,Short Ratio
2025-06-26,2025-07-16,0.013622560837972069,20,Target,Short Ratio
2025-07-22,2025-08-26,0.49459334957738316,35,Target,Short Ratio
2025-08-28,2025-10-13,-0.03034455817539773,46,Time Stop,Long Ratio
2025-10-30,2025-12-15,-0.026687249245031183,46,Time Stop,Long Ratio
2025-12-17,2025-12-24,0.008012864979116605,7,Target,Long Ratio
