strategy,symbol,entry_date,exit_date,pnl_pct,pnl_rupees,entry_premium,exit_premium,days_held,pnl_leg_a,pnl_leg_b,direction
EXPIRY_CONV,360ONE,2025-10-24,2025-10-28,0.157,931.0,-0.43,-0.273,4,,,
EXPIRY_CONV,ADANIGREEN,2025-01-27,2025-01-30,0.624,2338.0,-0.501,0.123,3,,,
EXPIRY_CONV,ALKEM,2025-02-24,2025-02-27,0.1986,915.0,0.317,0.118,3,,,
EXPIRY_CONV,ALKEM,2025-03-24,2025-03-27,0.248,1253.0,0.377,0.129,3,,,
EXPIRY_CONV,AMBER,2025-09-26,2025-09-30,0.724,5910.0,-0.588,0.136,4,,,
EXPIRY_CONV,AMBER,2025-11-21,2025-11-25,0.6972,5017.0,-0.403,0.294,4,,,
EXPIRY_CONV,ANGELONE,2025-01-27,2025-01-30,1.5984,7073.0,-1.317,0.281,3,,,
EXPIRY_CONV,ANGELONE,2025-02-24,2025-02-27,0.5642,2565.0,-0.339,0.225,3,,,
EXPIRY_CONV,ANGELONE,2025-03-24,2025-03-27,0.5378,2555.0,-0.32,0.218,3,,,
EXPIRY_CONV,ANGELONE,2025-08-25,2025-08-28,0.377,2306.0,0.311,-0.066,3,,,
EXPIRY_CONV,ANGELONE,2025-09-26,2025-09-30,1.2308,6573.0,-1.386,-0.155,4,,,
EXPIRY_CONV,ANGELONE,2025-12-26,2025-12-30,0.1373,857.0,0.321,0.183,4,,,
EXPIRY_CONV,ASHOKLEY,2024-11-25,2024-11-28,0.1683,988.0,-0.311,-0.142,3,,,
EXPIRY_CONV,ASHOKLEY,2025-12-26,2025-12-30,0.186,1624.0,-0.309,-0.123,4,,,
EXPIRY_CONV,ASHOKLEY,2026-01-23,2026-01-27,0.3109,3000.0,0.311,0.0,4,,,
EXPIRY_CONV,BANDHANBNK,2024-12-23,2024-12-26,0.8711,4010.0,0.803,-0.068,3,,,
EXPIRY_CONV,BANDHANBNK,2025-01-27,2025-01-30,0.4216,1765.0,0.395,-0.027,3,,,
EXPIRY_CONV,BANDHANBNK,2025-05-26,2025-05-29,0.1326,615.0,0.314,0.181,3,,,
EXPIRY_CONV,BANDHANBNK,2026-01-23,2026-01-27,0.5832,3135.0,0.301,-0.282,4,,,
EXPIRY_CONV,BANKNIFTY,2023-03-22,2023-03-28,0.2477,2477.0,0.301,0.053,6,,,
EXPIRY_CONV,BANKNIFTY,2024-09-20,2024-09-25,0.4513,3641.0,-0.451,0.001,5,,,
EXPIRY_CONV,BANKNIFTY,2024-12-19,2024-12-24,0.3484,2695.0,0.337,-0.011,5,,,
EXPIRY_CONV,BDL,2025-12-26,2025-12-30,0.373,1792.0,0.318,-0.055,4,,,
EXPIRY_CONV,BHARTIARTL,2025-11-21,2025-11-25,0.0692,711.0,-0.31,-0.241,4,,,
EXPIRY_CONV,BLUESTARCO,2025-07-28,2025-07-31,0.2473,1397.0,0.316,0.069,3,,,
EXPIRY_CONV,BLUESTARCO,2025-08-25,2025-08-28,0.1024,634.0,0.305,0.202,3,,,
EXPIRY_CONV,BLUESTARCO,2025-09-26,2025-09-30,0.65,3993.0,-0.799,-0.149,4,,,
EXPIRY_CONV,BLUESTARCO,2025-11-21,2025-11-25,0.1722,994.0,-0.31,-0.137,4,,,
EXPIRY_CONV,BLUESTARCO,2026-01-23,2026-01-27,0.3049,1683.0,0.377,0.072,4,,,
EXPIRY_CONV,BOSCHLTD,2025-02-24,2025-02-27,0.4888,3299.0,0.313,-0.176,3,,,
EXPIRY_CONV,BOSCHLTD,2025-07-28,2025-07-31,1.3051,12475.0,-1.491,-0.186,3,,,
EXPIRY_CONV,BSE,2025-09-26,2025-09-30,0.4112,3151.0,0.338,-0.074,4,,,
EXPIRY_CONV,CAMS,2025-01-27,2025-01-30,0.4108,1956.0,0.356,-0.055,3,,,
