symbol,sector,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,days_held,reason,lot_size,month
KOTAKBANK,BANKING,SHORT,2023-04-13,2023-04-24,1871.75,1895.95,-1.293,-48400.0,11,Time Stop,2000,2023-04
ITC,FMCG,SHORT,2023-05-03,2023-05-15,426.3,428.95,-0.622,-4240.0,12,Time Stop,1600,2023-05
NESTLEIND,FMCG,SHORT,2023-05-03,2023-05-15,21940.6,21866.6,0.337,37000.0,12,Time Stop,500,2023-05
MARICO,FMCG,SHORT,2023-05-08,2023-05-18,533.95,533.0,0.178,1140.0,10,Time Stop,1200,2023-05
LUPIN,PHARMA,SHORT,2023-05-29,2023-06-08,811.3,814.65,-0.413,-1424.0,10,Time Stop,425,2023-06
AXISBANK,BANKING,SHORT,2023-06-06,2023-06-16,971.1,979.1,-0.824,-5000.0,10,Time Stop,625,2023-06
HDFCBANK,BANKING,SHORT,2023-07-03,2023-07-11,1727.1,1650.9,4.412,41910.0,8,RSI Target,550,2023-07
PNB,BANKING,SHORT,2023-07-05,2023-07-17,58.85,62.5,-6.202,-29200.0,12,Time Stop,8000,2023-07
TECHM,IT,SHORT,2023-07-17,2023-07-24,1244.15,1160.0,6.764,50490.0,7,RSI Target,600,2023-07
ITC,FMCG,SHORT,2023-07-20,2023-07-25,492.65,463.4,5.937,46800.0,5,RSI Target,1600,2023-07
MPHASIS,IT,SHORT,2023-07-17,2023-07-27,2132.4,2284.75,-7.145,-41896.0,10,Time Stop,275,2023-07
COLPAL,FMCG,SHORT,2023-07-20,2023-07-31,1843.5,2032.1,-10.231,-42435.0,11,Time Stop,225,2023-07
PFC,POWER,SHORT,2023-07-24,2023-08-03,240.1,260.9,-8.663,-27040.0,10,Time Stop,1300,2023-08
MPHASIS,IT,SHORT,2023-07-27,2023-08-07,2284.75,2339.0,-2.374,-14919.0,11,Time Stop,275,2023-08
COLPAL,FMCG,SHORT,2023-07-31,2023-08-10,2032.1,1969.7,3.071,14040.0,10,Time Stop,225,2023-08
DABUR,FMCG,LONG,2023-10-25,2023-11-06,518.4,538.1,3.8,24625.0,12,RSI Target,1250,2023-11
NMDC,METALS,SHORT,2023-11-13,2023-11-23,175.4,173.0,1.368,16200.0,10,Time Stop,6750,2023-11
COALINDIA,METALS,SHORT,2023-11-13,2023-11-23,349.8,335.7,4.031,0.0,10,Time Stop,0,2023-11
