Ticker,Date,Type,Description
360ONE,2021-02-11,Dividend, Interim Dividend - Rs 30 Per Share
360ONE,2021-08-10,Dividend, Interim Dividend - Rs 35 Per Share
360ONE,2021-11-03,Dividend, Interim Dividend - Rs 20 Per Share
360ONE,2022-06-01,Dividend,Interim Dividend Rs - 20 Per Share
360ONE,2022-08-01,Dividend,Interim Dividend - Rs 15 Per Share
360ONE,2022-10-28,Dividend,Interim Dividend - Rs 17 Per Share
360ONE,2023-01-30,Dividend,Interim Dividend - Rs 17 Per Share
360ONE,2023-03-02,Split,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
360ONE,2023-03-02,Bonus,Bonus 1:1
360ONE,2023-05-12,Dividend,Interim Dividend - Rs 4 Per Share
360ONE,2023-07-28,Dividend,Interim Dividend - Rs 4 Per Share
360ONE,2023-11-10,Dividend,Interim Dividend - Rs 4 Per Share
360ONE,2024-01-29,Dividend,Interim Dividend - Rs 4.50 Per Share
360ONE,2024-05-02,Dividend,Interim Dividend - Rs 3.5 Per Share
360ONE,2024-08-07,Dividend,Interim Dividend - Rs 2.50 Per Share
360ONE,2025-04-29,Dividend,Interim Dividend - Rs 6 Per Share
360ONE,2025-10-27,Dividend,Interim Dividend - Rs 6 Per Share
ABB,2021-04-19,Dividend, Annual General Meeting/Dividend - Rs 5 Per Share
ABB,2022-04-27,Dividend,Annual General Meeting/Dividend - Rs 5.20 Per Share
ABB,2023-04-27,Dividend,Annual General Meeting/Dividend - Rs 5.50 Per Share
ABB,2023-08-25,Dividend,Special Dividend - Rs  5.50 Per Share
ABB,2024-05-03,Dividend,Annual General Meeting/Dividend - Rs 23.80 Per Share
ABB,2024-08-23,Dividend,Interim Dividend - Rs 10.66 Per Share
ABB,2025-05-02,Dividend,Dividend - Rs 33.50 Per Share
ABB,2025-08-08,Dividend,Interim Dividend - Rs 9.77 Per Share
ADANIENT,2021-07-01,Dividend, Dividend - Re 1 Per Share
ADANIENT,2022-07-14,Dividend,Dividend - Re 1 Per Share
ADANIENT,2023-07-07,Dividend,Dividend - Rs 1.20 Per Share
ADANIENT,2024-06-14,Dividend,Dividend - Rs 1.30 Per Share
ADANIENT,2025-06-13,Dividend,Dividend - Rs 1.30 Per Share
ADANIPORTS,2021-06-24,Dividend, Dividend - Rs 5 Per Sh
ADANIPORTS,2022-07-14,Dividend,Dividend - Rs 5 Per Share
ADANIPORTS,2023-07-28,Dividend,Dividend - Rs 5 Per Share
ADANIPORTS,2024-06-14,Dividend,Dividend - Rs 6 Per Share
ADANIPORTS,2025-06-13,Dividend,Dividend - Rs 7 Per Share
ALKEM,2021-02-11,Dividend, Interim Dividend - Rs 25 Per Share
ALKEM,2021-08-09,Dividend, Dividend - Rs 5 Per Share
ALKEM,2022-02-10,Dividend,Interim Dividend - Rs 30 Per Sh
ALKEM,2022-08-08,Dividend,Dividend - Rs 4 Per Share
ALKEM,2023-02-17,Dividend,Interim Dividend - Rs 15 Per Share & Special Dividend Rs 25 Per Share
ALKEM,2023-08-10,Dividend,Dividend - Rs 10 Per Share
ALKEM,2024-02-16,Dividend,Interim Dividend - Rs 35 Per Share
ALKEM,2024-08-09,Dividend,Dividend - Rs 5 Per Share
ALKEM,2025-02-14,Dividend,Interim Dividend - Rs 37 Per Share
ALKEM,2025-08-08,Dividend,Dividend - Rs 8 Per Share
ALKEM,2026-02-20,Dividend,Interim Dividend - Rs 43 Per Share
AMBUJACEM,2021-03-19,Dividend, Dividend - Re 1 Per Share
AMBUJACEM,2022-03-30,Dividend,Dividend - Rs 6.30 Per Share
AMBUJACEM,2023-07-07,Dividend,Dividend - Rs 2.50 Per Share
AMBUJACEM,2024-06-14,Dividend,Dividend - Rs 2 Per Share
AMBUJACEM,2025-06-13,Dividend,Dividend - Rs 2 Per Share
ANGELONE,2021-04-29,Dividend, Interim Dividend - Rs 7.50 Per Share
