Ticker,Date,Type,Description
360ONE,2021-02-11,Dividend, Interim Dividend - Rs 30 Per Share
360ONE,2021-08-10,Dividend, Interim Dividend - Rs 35 Per Share
360ONE,2021-11-03,Dividend, Interim Dividend - Rs 20 Per Share
360ONE,2022-06-01,Dividend,Interim Dividend Rs - 20 Per Share
360ONE,2022-08-01,Dividend,Interim Dividend - Rs 15 Per Share
360ONE,2022-10-28,Dividend,Interim Dividend - Rs 17 Per Share
360ONE,2023-01-30,Dividend,Interim Dividend - Rs 17 Per Share
360ONE,2023-03-02,Split,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
360ONE,2023-03-02,Bonus,Bonus 1:1
ABB,2021-04-19,Dividend, Annual General Meeting/Dividend - Rs 5 Per Share
ABB,2022-04-27,Dividend,Annual General Meeting/Dividend - Rs 5.20 Per Share
ADANIENT,2021-07-01,Dividend, Dividend - Re 1 Per Share
ADANIENT,2022-07-14,Dividend,Dividend - Re 1 Per Share
ADANIPORTS,2021-06-24,Dividend, Dividend - Rs 5 Per Sh
ADANIPORTS,2022-07-14,Dividend,Dividend - Rs 5 Per Share
ALKEM,2021-02-11,Dividend, Interim Dividend - Rs 25 Per Share
ALKEM,2021-08-09,Dividend, Dividend - Rs 5 Per Share
ALKEM,2022-02-10,Dividend,Interim Dividend - Rs 30 Per Sh
ALKEM,2022-08-08,Dividend,Dividend - Rs 4 Per Share
ALKEM,2023-02-17,Dividend,Interim Dividend - Rs 15 Per Share & Special Dividend Rs 25 Per Share
AMBUJACEM,2021-03-19,Dividend, Dividend - Re 1 Per Share
AMBUJACEM,2022-03-30,Dividend,Dividend - Rs 6.30 Per Share
ANGELONE,2021-04-29,Dividend, Interim Dividend - Rs 7.50 Per Share
ANGELONE,2021-07-23,Dividend, Interim Dividend - Rs 5.15 Per Share
ANGELONE,2021-10-27,Dividend, Interim Dividend - Rs 5.70 Per Share
ANGELONE,2022-01-24,Dividend,Interim Dividend - Rs 7 Per Share
ANGELONE,2022-04-08,Dividend,Interim Dividend - Rs 7 Per Share
ANGELONE,2022-07-21,Dividend,Interim Dividend - Rs 7.65 Per Share
ANGELONE,2022-10-20,Dividend,Interim Dividend - Rs 9 Per Share
ANGELONE,2023-01-24,Dividend,Interim Dividend - Rs  9.60 Per Share
ANGELONE,2023-03-31,Dividend,Interim Dividend - Rs 9.60 Per Share
APLAPOLLO,2021-09-16,Bonus, Bonus 1:1
APLAPOLLO,2022-09-02,Dividend,Dividend - Rs 3.50 Per Share
APOLLOHOSP,2021-08-18,Dividend, Annual General Meeting/Dividend - Rs 3 Per Share
APOLLOHOSP,2022-08-18,Dividend,Annual General Meeting/Dividend - Rs 11.75 Per Share
APOLLOHOSP,2023-02-24,Dividend,Interim Dividend - Rs  6 Per Share
ASHOKLEY,2021-08-31,Dividend, Annual General Meeting/Dividend - Rs 0.60 Per Share
ASHOKLEY,2022-07-14,Dividend,Annual General Meeting/Dividend - Rs 1 Per Share
ASIANPAINT,2021-06-10,Dividend, Dividend - Rs 14.50 Per Sh
ASIANPAINT,2021-10-28,Dividend, Interim Dividend - Rs 3.65 Per Share
ASIANPAINT,2022-06-09,Dividend,Dividend - Rs 15.50 Per Share
ASIANPAINT,2022-10-31,Dividend,Interim Dividend - Rs 4.40 Per Share
ASTRAL,2021-03-18,Bonus, Bonus 1:3
ASTRAL,2021-08-23,Dividend, Annual General Meeting/Dividend - Re 1 Per Share
ASTRAL,2021-11-17,Dividend, Interim Dividend - Rs 1.25 Per Share
ASTRAL,2022-08-19,Dividend,Dividend - Rs 1.75 Per Share
ASTRAL,2022-11-18,Dividend,Interim Dividend - Rs 1.25 Per Share
ASTRAL,2023-03-14,Bonus,Bonus 1:3
AUBANK,2022-06-09,Bonus,Bonus 1:1
AUBANK,2022-07-28,Dividend,Dividend - Rs 0.50 Per Share
AUROPHARMA,2021-02-22,Dividend, Interim Dividend - Rs 1.50 Per Share
