pair,entry_z,exit_z,direction,pnl_pct,pnl_inr,days_held,stop_hit
ULTRACEMCO/GRASIM,-2.06,-0.62,LONG_A,-1.707,-0.0,20,True
ULTRACEMCO/GRASIM,2.18,0.34,SHORT_A,1.587,0.0,14,False
ULTRACEMCO/GRASIM,-2.06,-0.12,LONG_A,3.974,0.0,12,False
ULTRACEMCO/GRASIM,2.33,0.36,SHORT_A,0.27,0.0,4,False
ULTRACEMCO/GRASIM,-2.01,-0.08,LONG_A,-0.264,0.0,5,False
ULTRACEMCO/GRASIM,2.06,0.44,SHORT_A,1.817,0.0,5,False
ULTRACEMCO/GRASIM,2.28,-0.1,SHORT_A,-1.578,0.0,19,False
ULTRACEMCO/GRASIM,-2.67,-0.45,LONG_A,1.89,0.0,14,False
ULTRACEMCO/GRASIM,-2.35,0.6,LONG_A,-1.189,0.0,12,False
ULTRACEMCO/GRASIM,-2.07,-0.65,LONG_A,0.685,0.0,20,True
ULTRACEMCO/GRASIM,-2.27,1.15,LONG_A,-0.84,-0.0,9,False
ULTRACEMCO/GRASIM,-2.05,-0.29,LONG_A,-0.952,-0.0,5,False
ULTRACEMCO/GRASIM,2.25,0.26,SHORT_A,1.66,0.0,18,False
LT/GMRAIRPORT,-3.46,-0.3,LONG_A,2.363,0.0,6,False
LT/GMRAIRPORT,2.06,-0.27,SHORT_A,0.293,0.0,4,False
LT/GMRAIRPORT,-2.26,-0.45,LONG_A,-0.524,0.0,18,False
LT/GMRAIRPORT,2.35,1.27,SHORT_A,-1.307,0.0,20,True
LT/GMRAIRPORT,2.12,3.76,SHORT_A,0.968,0.0,7,True
LT/GMRAIRPORT,2.07,-0.53,SHORT_A,0.348,0.0,5,False
LT/GMRAIRPORT,-2.32,-0.06,LONG_A,1.547,0.0,12,False
LT/GMRAIRPORT,-2.33,-0.44,LONG_A,-2.751,0.0,19,False
LT/GMRAIRPORT,-2.07,0.22,LONG_A,5.56,0.0,20,True
LT/GMRAIRPORT,3.02,0.26,SHORT_A,1.303,0.0,3,False
LT/GMRAIRPORT,-2.38,-0.1,LONG_A,0.95,0.0,4,False
LT/GMRAIRPORT,-3.89,0.15,LONG_A,0.338,0.0,14,False
LT/GMRAIRPORT,2.29,1.59,SHORT_A,0.698,0.0,20,True
AXISBANK/BANKBARODA,-2.22,0.19,LONG_A,-1.454,-0.0,14,False
AXISBANK/BANKBARODA,-2.4,-0.24,LONG_A,1.413,0.0,12,False
AXISBANK/BANKBARODA,2.4,0.39,SHORT_A,-0.469,0.0,7,False
AXISBANK/BANKBARODA,-2.24,0.28,LONG_A,1.388,0.0,15,False
AXISBANK/BANKBARODA,2.8,0.5,SHORT_A,2.258,0.0,5,False
AXISBANK/BANKBARODA,2.4,0.31,SHORT_A,0.59,0.0,9,False
AXISBANK/BANKBARODA,-2.09,-0.12,LONG_A,-0.568,0.0,11,False
AXISBANK/BANKBARODA,-2.06,-1.04,LONG_A,-0.539,0.0,20,True
AXISBANK/BANKBARODA,-2.13,-0.18,LONG_A,1.794,0.0,4,False
AXISBANK/BANKBARODA,2.26,-1.3,SHORT_A,2.259,0.0,20,True
AXISBANK/BANKBARODA,2.18,0.31,SHORT_A,-1.775,0.0,2,False
AXISBANK/BANKBARODA,-2.05,-0.14,LONG_A,-0.019,0.0,2,False
AXISBANK/BANKBARODA,2.13,0.2,SHORT_A,1.084,0.0,16,False
AXISBANK/BANKBARODA,2.51,0.26,SHORT_A,1.205,0.0,16,False
AXISBANK/BANKBARODA,3.16,0.4,SHORT_A,1.451,0.0,3,False
AXISBANK/BANKBARODA,-2.0,-0.13,LONG_A,0.206,0.0,3,False
