Symbol_A,Symbol_B,Live_A,Live_B,Live_Ratio,Mean,Std,Z_Score,Correlation,Sector,Signal,Direction
HDFCBANK,ICICIBANK,951.9,1400.8,0.6795,1.3603,0.0272,-25.01,0.88,Private Banks,BUY HDFCBANK / SELL ICICIBANK,LONG_SPREAD
HDFCBANK,KOTAKBANK,951.9,412.3,2.3088,0.953,0.0529,25.62,-0.17,Private Banks,,
ICICIBANK,KOTAKBANK,1400.8,412.3,3.3975,0.7005,0.034,79.33,-0.05,Private Banks,,
AXISBANK,ICICIBANK,1333.8,1400.8,0.9522,0.9076,0.059,0.76,0.19,Private Banks,,
AXISBANK,HDFCBANK,1333.8,951.9,1.4012,1.1576,0.2451,0.99,-0.56,Private Banks,,
INDUSINDBK,AXISBANK,916.05,1333.8,0.6868,0.6778,0.0362,0.25,0.74,Private Banks,,
FEDERALBNK,IDFCFIRSTB,287.8,85.45,3.3681,2.9316,0.2697,1.62,-0.3,Private Banks,,
SBIN,BANKBARODA,1074.9,291.0,3.6938,3.3722,0.0572,5.62,0.98,PSU Banks,SELL SBIN / BUY BANKBARODA,SHORT_SPREAD
SBIN,PNB,1074.9,124.23,8.6525,7.6137,0.3884,2.67,0.41,PSU Banks,,
SBIN,CANBK,1074.9,148.77,7.2252,6.954,0.3886,0.7,0.97,PSU Banks,,
BANKBARODA,PNB,291.0,124.23,2.3424,2.3024,0.1173,0.34,0.45,PSU Banks,,
BANKBARODA,CANBK,291.0,148.77,1.956,2.061,0.1034,-1.01,0.98,PSU Banks,,
BANKINDIA,UNIONBANK,163.7,177.56,0.9219,0.911,0.0372,0.29,0.95,PSU Banks,,
INDIANB,CANBK,880.0,148.77,5.9152,5.8719,0.3488,0.12,0.89,PSU Banks,,
BANDHANBNK,RBLBANK,157.94,306.5,0.5153,0.5387,0.0682,-0.34,-0.54,Small Finance / NBFC Banks,,
AUBANK,IDFCFIRSTB,987.3,85.45,11.5541,11.0646,0.7105,0.69,0.95,Small Finance / NBFC Banks,,
BAJFINANCE,BAJAJFINSV,966.7,2006.7,0.4817,0.4849,0.0168,-0.19,0.92,NBFCs,,
CHOLAFIN,SHRIRAMFIN,1729.5,993.3,1.7412,0.4469,0.0309,41.85,0.7,NBFCs,SELL CHOLAFIN / BUY SHRIRAMFIN,SHORT_SPREAD
MUTHOOTFIN,MANAPPURAM,3598.0,295.25,12.1863,11.7316,1.3189,0.34,0.65,NBFCs,,
LTF,CHOLAFIN,284.3,1729.5,0.1644,0.1652,0.0137,-0.06,0.94,NBFCs,,
LICHSGFIN,PNBHOUSING,517.45,849.1,0.6094,0.6374,0.0579,-0.48,-0.28,NBFCs,,
HDFCLIFE,SBILIFE,722.25,2022.4,0.3571,0.3949,0.0246,-1.54,-0.2,Life Insurance,,
HDFCLIFE,ICICIPRULI,722.25,657.55,1.0984,0.9646,0.0308,4.35,0.9,Life Insurance,SELL HDFCLIFE / BUY ICICIPRULI,SHORT_SPREAD
SBILIFE,ICICIPRULI,2022.4,657.55,3.0757,2.2967,0.1323,5.89,0.87,Life Insurance,SELL SBILIFE / BUY ICICIPRULI,SHORT_SPREAD
LICI,SBILIFE,839.05,2022.4,0.4149,0.4556,0.0337,-1.21,-0.51,Life Insurance,,
ICICIGI,HDFCAMC,1862.7,2762.5,0.6743,0.4914,0.1923,0.95,-0.02,General Insurance / AMC,,
HDFCAMC,CAMS,2762.5,731.3,3.7775,2.0585,1.0167,1.69,0.88,General Insurance / AMC,,
TCS,INFY,2999.6,1527.0,1.9644,2.2531,0.08,-3.61,0.43,IT Services,,
TCS,HCLTECH,2999.6,1611.5,1.8614,2.0087,0.088,-1.67,0.75,IT Services,,
INFY,HCLTECH,1527.0,1611.5,0.9476,1.0435,0.046,-2.09,0.59,IT Services,BUY INFY / SELL HCLTECH,LONG_SPREAD
WIPRO,TECHM,233.45,1653.9,0.1412,0.2791,0.0726,-1.9,-0.37,IT Services,,
WIPRO,HCLTECH,233.45,1611.5,0.1449,0.1599,0.0088,-1.7,0.46,IT Services,,
