date,capital
2023-02-20,1000000.0
2023-02-23,999245.1471508167
2023-02-23,1000335.888815523
2023-02-23,999128.0121124057
2023-02-23,998484.4913328221
2023-02-23,997690.4967675623
2023-02-23,996111.8211389054
2023-02-23,995054.4595027689
2023-02-23,995258.1158629085
2023-02-23,996372.9793411471
2023-02-23,997185.0296281644
2023-02-23,996309.4073064433
2023-02-23,1000359.8983511801
2023-02-23,999490.294312713
2023-02-23,998918.3942979544
2023-02-23,998881.0222316785
2023-02-23,998903.737735813
2023-02-23,999659.2286180258
2023-02-23,999136.3649884101
2023-02-23,999016.8948699563
2023-02-23,996839.5741345921
2023-02-23,996530.2508862752
2023-02-23,996457.147514149
2023-02-23,995688.1564550932
2023-02-23,994519.4908896149
2023-02-23,993272.6751228567
2023-02-23,992100.2868755183
2023-02-23,992751.6535487545
2023-02-23,992180.6962807829
2023-02-23,995611.0202412736
2023-02-23,995912.6586705466
2023-02-23,996012.7482221376
2023-02-23,996935.5643405181
2023-02-23,995864.8956822588
2023-02-23,997356.6698599836
2023-02-23,996548.2076987544
2023-02-23,1009336.411015563
2023-02-23,1019902.3193194271
2023-02-23,1021406.9072505658
2023-02-23,1020164.5965084858
2023-02-23,1022162.7480990287
2023-02-23,1019788.0137360832
2023-02-23,1019506.7299675826
2023-02-23,1016363.3534037678
2023-02-23,1015815.3499943947
2023-02-23,1017690.2250534302
2023-02-23,1016011.9666368169
2023-02-23,1018776.377432429
2023-02-23,1022219.4327669399
2023-02-23,1020460.2171793944
2023-02-23,1019945.1884679637
2023-02-23,1020462.2018744596
2023-02-23,1020272.8086805394
2023-02-23,1020877.5568981818
2023-02-23,1020112.9357208502
2023-02-23,1019173.0288637481
2023-02-23,1018002.2183770235
2023-02-23,1020391.9307191555
2023-02-23,1019209.2404424058
2023-02-23,1017257.8202990127
2023-02-23,1014996.716031821
2023-02-23,1014310.9575448135
2023-02-23,1012567.5844888383
2023-02-23,1012523.0165864393
2023-02-23,1014765.4261720531
2023-02-23,1015742.092963148
2023-02-23,1014261.5253632943
2023-02-23,1016483.9758687203
2023-02-23,1016955.2401657182
2023-02-23,1016989.5569507371
2023-02-23,1017101.4632866925
2023-02-23,1016433.6820096895
2023-02-23,1016441.8839887659
2023-02-23,1015101.9680492827
2023-02-23,1013941.0469381601
2023-02-23,1012680.2959095169
