date,capital,phase,profit
2023-02-20,1000000.0,1,0.0
2023-02-23,1000038.7276670453,1,38.727667045313865
2023-02-23,1001048.6897808507,1,1048.689780850662
2023-02-23,1001235.906666914,1,1235.906666914001
2023-02-23,999737.3069092446,1,-262.69309075537603
2023-02-23,1000527.7219227665,1,527.7219227665337
2023-02-23,998514.9733682711,1,-1485.0266317288624
2023-02-23,993269.1771035739,1,-6730.822896426078
2023-02-23,993782.3078968886,1,-6217.692103111418
2023-02-23,1000666.9198810203,1,666.9198810203234
2023-02-23,1001016.203252209,1,1016.2032522090012
2023-02-23,1000941.7228799432,1,941.722879943205
2023-02-23,996978.8179415658,1,-3021.182058434235
2023-02-23,995863.4627603961,1,-4136.537239603931
2023-02-23,993814.6420305365,1,-6185.357969463454
2023-02-23,997131.5296897065,1,-2868.4703102934873
2023-02-23,996215.2369643722,1,-3784.7630356277805
2023-02-23,994864.9452275229,1,-5135.054772477131
2023-02-23,992874.8969293401,1,-7125.103070659912
2023-02-23,989967.1253623248,1,-10032.874637675239
2023-02-23,989001.8943272181,1,-10998.105672781938
2023-02-23,988938.3092755062,1,-11061.69072449382
2023-02-23,986985.6481237961,1,-13014.351876203902
2023-03-28,987180.3063046973,1,-12819.693695302703
2023-03-29,987826.487541291,1,-12173.512458708952
2023-03-29,989406.285913259,1,-10593.714086740976
2023-03-29,987974.5944493384,1,-12025.405550661613
2023-03-29,989199.9125190016,1,-10800.087480998365
2023-03-29,987186.3170761388,1,-12813.682923861197
2023-03-29,987994.2820677934,1,-12005.717932206579
2023-03-29,985843.0806924229,1,-14156.919307577075
2023-03-29,983887.5355386564,1,-16112.464461343596
2023-03-29,985041.9514400188,1,-14958.048559981165
2023-03-29,985179.7015637473,1,-14820.29843625275
2023-03-29,986128.6815481381,1,-13871.318451861851
2023-03-29,988362.7844471233,1,-11637.215552876703
2023-03-29,988412.0685336303,1,-11587.931466369657
2023-03-29,988649.3253911756,1,-11350.674608824425
2023-03-29,989008.7379348468,1,-10991.26206515322
2023-03-29,989004.2243863896,1,-10995.7756136104
2023-03-29,989887.0476708282,1,-10112.952329171821
2023-03-29,991490.1971966147,1,-8509.802803385304
2023-03-29,992770.4195326273,1,-7229.580467372667
2023-03-29,993090.816884795,1,-6909.183115205029
2023-03-29,994944.0529484528,1,-5055.947051547235
2023-03-29,996587.5895692965,1,-3412.410430703545
2023-03-29,997668.3107193657,1,-2331.6892806342803
2023-04-06,1001556.7229603945,1,1556.722960394458
2023-04-06,1008821.7650395684,1,8821.765039568418
2023-04-27,1009354.4950086378,1,9354.49500863778
2023-04-27,1009841.1967389042,1,9841.196738904226
2023-04-27,1012871.2051304636,1,12871.205130463582
2023-04-27,1013662.5107594718,1,13662.5107594718
2023-04-27,1014559.305049815,1,14559.305049814982
2023-04-27,1016924.7653334521,1,16924.765333452146
2023-04-27,1017754.7047485615,1,17754.70474856149
2023-04-27,1017450.2065721767,1,17450.206572176656
2023-04-27,1017213.0696467934,1,17213.069646793418
2023-04-27,1018415.8200375952,1,18415.82003759523
2023-04-27,1018836.5421588628,1,18836.54215886281
2023-04-27,1018559.8383945016,1,18559.838394501596
2023-04-27,1021144.3065072843,1,21144.306507284287
2023-04-27,1023476.7923500139,1,23476.792350013857
