,entry_date,exit_date,pair,strategy,direction,days,entry_z,exit_z,gross,charges,net,reason,win
1,2024-04-01,2024-04-02,ITC_CAL,CALENDAR,SELL_NEAR,1,3.471,2.133,3440.0,413.0,3027.0,INTRADAY,True
2,2024-04-02,2024-04-03,ITC_CAL,CALENDAR,SELL_NEAR,1,2.133,2.282,6520.0,782.0,5738.0,INTRADAY,True
3,2024-04-02,2024-04-04,DABUR/COLPAL,PAIRS,BUY_A,2,-2.223,-2.166,11100.0,1332.0,9768.0,INTRADAY,True
4,2024-04-03,2024-04-04,ITC_CAL,CALENDAR,SELL_NEAR,1,2.282,1.85,6120.0,734.0,5386.0,INTRADAY,True
5,2024-04-04,2024-04-09,DABUR/COLPAL,PAIRS,BUY_A,5,-2.166,-1.311,26908.0,3229.0,23679.0,PROFIT,True
6,2024-04-08,2024-04-15,CONCOR/GODREJPROP,PAIRS,BUY_A,7,-2.552,-2.221,7521.0,903.0,6619.0,INTRADAY,True
7,2024-04-12,2024-04-15,GMRAIRPORT/IRCTC,PAIRS,BUY_A,3,-2.337,-2.138,16182.0,1942.0,14240.0,INTRADAY,True
8,2024-04-12,2024-04-18,TCS/WIPRO,PAIRS,SELL_A,6,2.0,2.224,-14230.0,1708.0,-15938.0,TIME_STOP,False
9,2024-04-15,2024-04-16,CONCOR/GODREJPROP,PAIRS,BUY_A,1,-2.221,-1.538,54841.0,6581.0,48260.0,INTRADAY,True
10,2024-04-15,2024-04-18,GMRAIRPORT/IRCTC,PAIRS,BUY_A,3,-2.138,-1.365,27275.0,3273.0,24002.0,PROFIT,True
11,2024-04-18,2024-04-22,SAIL/NATIONALUM,PAIRS,BUY_A,4,-1.904,-1.717,10945.0,1313.0,9632.0,INTRADAY,True
12,2024-04-22,2024-04-23,SAIL/NATIONALUM,PAIRS,BUY_A,1,-1.717,-0.662,49868.0,5984.0,43884.0,PROFIT,True
13,2024-04-25,2024-04-26,ITC_CAL,CALENDAR,SELL_NEAR,1,3.423,3.153,4480.0,538.0,3942.0,INTRADAY,True
14,2024-04-25,2024-04-26,HCLTECH/PERSISTENT,PAIRS,SELL_A,1,2.88,2.259,15041.0,1805.0,13236.0,INTRADAY,True
15,2024-04-25,2024-04-26,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,1,5.849,4.277,5557.0,667.0,4891.0,INTRADAY,True
16,2024-04-26,2024-04-29,ITC_CAL,CALENDAR,SELL_NEAR,3,3.153,2.778,6560.0,787.0,5773.0,INTRADAY,True
17,2024-04-26,2024-04-29,TECHM/MPHASIS,PAIRS,SELL_A,3,2.362,2.009,14654.0,1759.0,12896.0,INTRADAY,True
18,2024-04-26,2024-04-30,NHPC/HUDCO,PAIRS,BUY_A,4,-3.016,-1.595,37624.0,4515.0,33109.0,INTRADAY,True
19,2024-04-26,2024-05-02,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,6,4.277,2.65,3187.0,382.0,2805.0,INTRADAY,True
20,2024-04-29,2024-04-30,ITC_CAL,CALENDAR,SELL_NEAR,1,2.778,2.448,3240.0,389.0,2851.0,INTRADAY,True
21,2024-04-29,2024-04-30,TECHM/MPHASIS,PAIRS,SELL_A,1,2.009,1.668,16530.0,1984.0,14547.0,INTRADAY,True
22,2024-04-30,2024-05-02,ITC_CAL,CALENDAR,SELL_NEAR,2,2.448,2.253,7000.0,840.0,6160.0,INTRADAY,True
23,2024-05-02,2024-05-03,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,1,2.65,2.48,3923.0,471.0,3452.0,INTRADAY,True
24,2024-05-02,2024-05-03,ITC_CAL,CALENDAR,SELL_NEAR,1,2.253,2.15,7640.0,917.0,6723.0,INTRADAY,True
25,2024-05-02,2024-05-03,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.044,1.584,25375.0,3045.0,22330.0,INTRADAY,True
26,2024-05-03,2024-05-06,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,3,2.48,2.223,6307.0,757.0,5551.0,INTRADAY,True
27,2024-05-03,2024-05-06,ITC_CAL,CALENDAR,SELL_NEAR,3,2.15,1.958,4440.0,533.0,3907.0,INTRADAY,True
28,2024-05-06,2024-05-10,GODREJPROP/IRCTC,PAIRS,SELL_A,4,3.224,1.65,66062.0,7927.0,58135.0,INTRADAY,True
29,2024-05-06,2024-05-07,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,1,2.223,1.906,19560.0,2347.0,17213.0,INTRADAY,True
30,2024-05-07,2024-05-09,TECHM/MPHASIS,PAIRS,SELL_A,2,2.287,1.976,13240.0,1589.0,11652.0,INTRADAY,True
31,2024-05-07,2024-05-08,ITC_CAL,CALENDAR,SELL_NEAR,1,2.117,2.141,3920.0,470.0,3450.0,INTRADAY,True
32,2024-05-07,2024-05-08,CIPLA/DRREDDY,PAIRS,BUY_A,1,-1.935,-0.636,28661.0,3439.0,25222.0,PROFIT,True
33,2024-05-08,2024-05-09,ITC_CAL,CALENDAR,SELL_NEAR,1,2.141,1.933,13880.0,1666.0,12214.0,INTRADAY,True
34,2024-05-14,2024-05-15,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.225,0.168,2870.0,344.0,2526.0,PROFIT,True
35,2024-05-14,2024-05-15,NHPC/HUDCO,PAIRS,BUY_A,1,-2.014,-1.851,14452.0,1734.0,12718.0,INTRADAY,True
36,2024-05-16,2024-05-17,SAIL_CAL,CALENDAR,SELL_NEAR,1,3.368,1.202,10500.0,1260.0,9240.0,INTRADAY,True
37,2024-05-16,2024-05-17,COLPAL_CAL,CALENDAR,BUY_NEAR,1,-2.005,-2.118,6142.0,737.0,5405.0,INTRADAY,True
38,2024-05-16,2024-05-17,SHRIRAMFIN/LICHSGFIN,PAIRS,BUY_A,1,-2.1,-1.569,17169.0,2060.0,15108.0,INTRADAY,True
39,2024-05-16,2024-05-21,NHPC/HUDCO,PAIRS,BUY_A,5,-2.155,-3.939,-74176.0,8901.0,-83078.0,TIME_STOP,False
40,2024-05-17,2024-05-21,COLPAL_CAL,CALENDAR,BUY_NEAR,4,-2.118,-1.257,11069.0,1328.0,9740.0,INTRADAY,True
41,2024-05-17,2024-05-22,GMRAIRPORT/IRCTC,PAIRS,BUY_A,5,-1.887,-2.116,-20792.0,2495.0,-23287.0,TIME_STOP,False
42,2024-05-21,2024-05-27,CIPLA/DRREDDY,PAIRS,SELL_A,6,2.263,2.054,-13289.0,1595.0,-14884.0,TIME_STOP,False
43,2024-05-21,2024-05-22,NHPC/IRFC,PAIRS,BUY_A,1,-2.972,-1.357,37101.0,4452.0,32648.0,PROFIT,True
44,2024-05-22,2024-05-23,SHRIRAMFIN/LICHSGFIN,PAIRS,BUY_A,1,-2.049,-1.115,23654.0,2839.0,20816.0,PROFIT,True
