Symbol,Spot,Lot,Near_Expiry,Near_DTE,Near_Price,Near_Prem,Near_Prem_Pct,Near_OI,Near_Vol,Far_Expiry,Far_DTE,Far_Price,Far_Prem,Far_Prem_Pct,Far_OI,Far_Vol,Spread,Spread_Pct,Potential_Gain,Near_CoC_Ann,Far_CoC_Ann,Signal,Far2_Expiry,Far2_DTE,Far2_Price,Far2_Prem,Far2_Spread,Far2_OI
RVNL,309.9,1525,24-FEB-2026,3,309.5,-0.4,-0.13,28639500,24035525,30-MAR-2026,37,284.6,-25.3,-8.16,39904675,22297025,-24.9,-8.045,37972.0,-15.7,-80.54,BUY,28-APR-2026,66.0,277.85,-32.05,-31.65,5003525.0
JUBLFOOD,529.5,1250,24-FEB-2026,3,531.15,1.65,0.31,13410000,8832500,30-MAR-2026,37,515.75,-13.75,-2.6,17155000,9001250,-15.4,-2.899,19250.0,37.91,-25.62,STRONG_BUY,28-APR-2026,66.0,510.0,-19.5,-21.15,713750.0
SBICARD,793.75,800,24-FEB-2026,3,791.35,-2.4,-0.3,11230400,4825600,30-MAR-2026,37,770.2,-23.55,-2.97,11299200,4900800,-21.15,-2.673,16920.0,-36.79,-29.27,BUY,28-APR-2026,66.0,760.0,-33.75,-31.35,420800.0
ASTRAL,1640.0,425,24-FEB-2026,3,1638.6,-1.4,-0.09,4369425,2011100,30-MAR-2026,37,1611.8,-28.2,-1.72,5501625,1978375,-26.8,-1.636,11390.0,-10.39,-16.96,WATCH,28-APR-2026,66.0,1600.0,-40.0,-38.6,77350.0
SHREECEM,26550.0,25,24-FEB-2026,3,26600.0,50.0,0.19,174425,73225,30-MAR-2026,37,26155.0,-395.0,-1.49,216725,74150,-445.0,-1.673,11125.0,22.91,-14.68,STRONG_BUY,28-APR-2026,66.0,26085.0,-465.0,-515.0,5775.0
IREDA,126.82,3450,24-FEB-2026,3,126.95,0.13,0.1,33240750,12437250,30-MAR-2026,37,124.08,-2.74,-2.16,37711950,11626500,-2.87,-2.261,9902.0,12.47,-21.31,STRONG_BUY,28-APR-2026,66.0,123.7,-3.12,-3.25,4184850.0
PIIND,3044.4,175,24-FEB-2026,3,3042.0,-2.4,-0.08,1808975,732025,30-MAR-2026,37,2992.7,-51.7,-1.7,1949500,743225,-49.3,-1.621,8628.0,-9.59,-16.75,WATCH,28-APR-2026,66.0,2975.0,-69.4,-67.0,102550.0
ASHOKLEY,207.83,5000,24-FEB-2026,3,208.1,0.27,0.13,96430000,33800000,30-MAR-2026,37,206.42,-1.41,-0.68,77860000,31515000,-1.68,-0.807,8400.0,15.81,-6.69,STRONG_BUY,28-APR-2026,66.0,205.31,-2.52,-2.79,1340000.0
IRFC,112.12,4250,24-FEB-2026,3,112.45,0.33,0.29,36116500,11466500,30-MAR-2026,37,110.73,-1.39,-1.24,36303500,9779250,-1.72,-1.53,7310.0,35.81,-12.23,STRONG_BUY,28-APR-2026,66.0,110.99,-1.13,-1.46,6001000.0
KEI,4661.0,175,24-FEB-2026,3,4666.5,5.5,0.12,1103200,389550,30-MAR-2026,37,4629.4,-31.6,-0.68,1076775,369075,-37.1,-0.795,6493.0,14.36,-6.69,STRONG_BUY,28-APR-2026,66.0,4603.0,-58.0,-63.5,6475.0
BDL,1313.0,350,24-FEB-2026,3,1316.1,3.1,0.24,3522050,2245250,30-MAR-2026,37,1301.6,-11.4,-0.87,2976050,1718500,-14.5,-1.102,5075.0,28.73,-8.57,STRONG_BUY,28-APR-2026,66.0,1295.2,-17.8,-20.9,266350.0
PPLPHARMA,162.17,2625,24-FEB-2026,3,162.33,0.16,0.1,13264125,4824750,30-MAR-2026,37,160.64,-1.53,-0.94,12983250,4753875,-1.69,-1.041,4436.0,12.0,-9.31,STRONG_BUY,28-APR-2026,66.0,159.9,-2.27,-2.43,525000.0
PAGEIND,32635.0,15,24-FEB-2026,3,32640.0,5.0,0.02,186885,63810,30-MAR-2026,37,32345.0,-290.0,-0.89,127965,59865,-295.0,-0.904,4425.0,1.86,-8.77,STRONG_BUY,28-APR-2026,66.0,32320.0,-315.0,-320.0,4860.0
DMART,3865.4,150,24-FEB-2026,3,3870.0,4.6,0.12,2718600,1058100,30-MAR-2026,37,3853.2,-12.2,-0.32,3542850,1084500,-16.8,-0.434,2520.0,14.48,-3.11,STRONG_BUY,28-APR-2026,66.0,3858.0,-7.4,-12.0,54600.0
NUVAMA,1306.8,500,24-FEB-2026,3,1308.0,1.2,0.09,1328000,566000,30-MAR-2026,37,1303.0,-3.8,-0.29,837000,373000,-5.0,-0.382,2500.0,11.17,-2.87,STRONG_BUY,28-APR-2026,66.0,1305.1,-1.7,-2.9,14000.0
SWIGGY,324.65,1300,24-FEB-2026,3,325.0,0.35,0.11,25886900,10238800,30-MAR-2026,37,323.25,-1.4,-0.43,31534100,10019100,-1.75,-0.538,2275.0,13.12,-4.25,STRONG_BUY,28-APR-2026,66.0,322.0,-2.65,-3.0,306800.0
OFSS,6640.5,75,24-FEB-2026,3,6648.0,7.5,0.11,813525,427350,30-MAR-2026,37,6620.0,-20.5,-0.31,945450,428850,-28.0,-0.421,2100.0,13.74,-3.05,STRONG_BUY,28-APR-2026,66.0,6632.0,-8.5,-16.0,29325.0
LTF,298.05,2250,24-FEB-2026,3,297.95,-0.1,-0.03,32850000,10491750,30-MAR-2026,37,297.05,-1.0,-0.34,26401500,10784250,-0.9,-0.302,2025.0,-4.08,-3.31,WATCH,28-APR-2026,66.0,297.1,-0.95,-0.85,389250.0
CDSL,1323.3,475,24-FEB-2026,3,1324.7,1.4,0.11,5933700,2058650,30-MAR-2026,37,1320.9,-2.4,-0.18,5527100,2135125,-3.8,-0.287,1805.0,12.87,-1.79,STRONG_BUY,28-APR-2026,66.0,1326.1,2.8,1.4,427025.0
OBEROIRLTY,1514.0,350,24-FEB-2026,3,1512.6,-1.4,-0.09,3756200,1394400,30-MAR-2026,37,1508.0,-6.0,-0.4,2887850,1396850,-4.6,-0.304,1610.0,-11.25,-3.91,WATCH,28-APR-2026,66.0,1506.4,-7.6,-6.2,24500.0
TATAELXSI,4848.5,100,24-FEB-2026,3,4848.0,-0.5,-0.01,810700,478600,30-MAR-2026,37,4835.5,-13.0,-0.27,987400,483600,-12.5,-0.258,1250.0,-1.25,-2.65,WATCH,28-APR-2026,66.0,4832.5,-16.0,-15.5,35700.0
